,t,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,roles
Chennai Super Kings,Chennai Super Kings,70,24,79,76,0,14,32,79,15,14,NA,36,36,4,5.2,r
Delhi Capitals,Delhi Capitals,NA,NA,NA,105,NA,32,NA,NA,NA,16,NA,NA,36,4,5.2,b
Kings XI Punjab,Kings XI Punjab,58,22,95,98,NA,46,1,39,10,11,11,6,36,4,5.2,b
Kolkata Knight Riders,Kolkata Knight Riders,93,99,97,72,NA,28,21,46,31,45,NA,10,36,4,5.2,b
Mumbai Indians,Mumbai Indians,83,20,82,68,5,29,26,78,25,23,44,6,36,4,5.2,os
Rajasthan Royals,Rajasthan Royals,50,47,78,3,1,31,24,78,21,46,NA,6,36,4,5.2,os
Royal Challengers Bangalore,Royal Challengers Bangalore,67,28,73,103,NA,34,40,85,8,33,NA,NA,36,4,5.2,ars
Sunrisers Hyderabad,Sunrisers Hyderabad,60,65,17,70,75,NA,36,128,1,29,3,24,36,4,5.2,r
Chennai Super Kings1,Chennai Super Kings,30.7,11.8,36.3,23.9,0,14,15.6,37,11.6,7,NA,12.7,36,4,5.2,s
Delhi Capitals1,Delhi Capitals,NA,NA,NA,107,NA,47,NA,NA,NA,9.5,NA,NA,36,4,5.2,ars
Kings XI Punjab1,Kings XI Punjab,30.6,11.7,31.4,32.5,NA,46,1,16.5,27,14,5.5,3,36,4,5.2,r
Kolkata Knight Riders1,Kolkata Knight Riders,32.2,58.3,29.8,25.2,NA,27,8.6,21.1,31,21.7,NA,19,36,4,5.2,bl
Mumbai Indians1,Mumbai Indians,22.8,13,41.5,39.6,5,10.3,13.7,36.5,17.6,6.8,17.7,6,36,4,5.2,os
Rajasthan Royals1,Rajasthan Royals,23.6,32.3,32.3,3,1,32.5,16.7,110,5,28.7,NA,6,36,4,5.2,os
Royal Challengers Bangalore1,Royal Challengers Bangalore,31.9,16,32.6,36.2,NA,23.5,38.2,39.1,5.7,11.3,NA,NA,36,4,5.2,bl
Sunrisers Hyderabad1,Sunrisers Hyderabad,35.8,29,12,26.5,42,NA,25.6,46.9,1,11,5,13.5,36,4,5.2,
