,t,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,roles
Chennai Super Kings,Chennai Super Kings,32,57,21,39,88,32,74,0,8,NA,0,5,1,3,r
Delhi Capitals,Delhi Capitals,NA,65,11,NA,62,NA,50,10,NA,NA,NA,5,1,3,b
Kings XI Punjab,Kings XI Punjab,47,65,63,50,66,75,69,NA,12,NA,NA,5,1,3,b
Kolkata Knight Riders,Kolkata Knight Riders,51,NA,50,93,4,NA,56,NA,3,NA,NA,5,1,3,b
Mumbai Indians,Mumbai Indians,31,76,31,45,80,11,56,16,10,NA,1,5,1,3,os
Rajasthan Royals,Rajasthan Royals,63,28,35,NA,49,47,97,NA,NA,NA,NA,5,1,3,r
Royal Challengers Bangalore,Royal Challengers Bangalore,22,9,85,80,65,54,60,4,7,NA,NA,5,1,3,r
Sunrisers Hyderabad,Sunrisers Hyderabad,47,30,68,59,49,29,39,0,NA,7,NA,5,1,3,s
Chennai Super Kings1,Chennai Super Kings,19.5,40.5,12.3,18,56.8,13.2,29.1,0,4,NA,0,5,1,3,os
Delhi Capitals1,Delhi Capitals,NA,34.5,6,NA,53.5,NA,26,10,NA,NA,NA,5,1,3,ar
Kings XI Punjab1,Kings XI Punjab,31.8,65,35.2,22.5,35.1,23.4,33.3,NA,12,NA,NA,5,1,3,bl
Kolkata Knight Riders1,Kolkata Knight Riders,22,NA,50,33.2,4,NA,29.3,NA,3,NA,NA,5,1,3,s
Mumbai Indians1,Mumbai Indians,15.8,30.7,26,11.6,25.2,6.1,22.8,10.5,18,NA,1,5,1,3,os
Rajasthan Royals1,Rajasthan Royals,47,24,26.7,NA,29.8,20.2,35.7,NA,NA,NA,NA,5,1,3,bl
Royal Challengers Bangalore1,Royal Challengers Bangalore,10.8,17,43.6,98,53.8,32.3,21.9,4,6.5,NA,NA,5,1,3,
Sunrisers Hyderabad1,Sunrisers Hyderabad,23.8,18,25.7,20.2,14.6,12.2,15.3,0,NA,6.5,NA,5,1,3,
