,t,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,roles
Chennai Super Kings,Chennai Super Kings,71,75,45,56,67,21,54,95,22,1,36,1,NA,6,1,9,r
Delhi Capitals,Delhi Capitals,15,69,6,30,39,10,NA,NA,NA,1,NA,0,NA,6,1,9,os
Kings XI Punjab,Kings XI Punjab,42,117,68,46,11,34,25,12,12,NA,NA,2,NA,6,1,9,b
Kolkata Knight Riders,Kolkata Knight Riders,66,102,58,52,13,21,68,68,8,NA,48,7,0,6,1,9,b
Mumbai Indians,Mumbai Indians,100,92,64,24,28,32,50,56,NA,NA,15,7,NA,6,1,9,r
Rajasthan Royals,Rajasthan Royals,95,79,37,54,46,0,31,89,32,NA,12,5,NA,6,1,9,ars
Royal Challengers Bangalore,Royal Challengers Bangalore,47,99,35,43,15,16,56,43,NA,1,46,21,NA,6,1,9,b
Sunrisers Hyderabad,Sunrisers Hyderabad,79,104,55,24,35,7,83,95,21,1,21,1,3,6,1,9,os
Chennai Super Kings1,Chennai Super Kings,33.3,31.1,17.4,18,29.2,13.2,25.5,30.7,22,1,36,1,NA,6,1,9,os
Delhi Capitals1,Delhi Capitals,13.5,69,4,59,39,5.7,NA,NA,NA,1,NA,0,NA,6,1,9,s
Kings XI Punjab1,Kings XI Punjab,36.7,53.1,22.7,24,7.5,19.8,13,6,12,NA,NA,1.5,NA,6,1,9,os
Kolkata Knight Riders1,Kolkata Knight Riders,32.5,44.9,16.6,29.8,9.5,13.2,21.4,27.4,8,NA,48,7,0,6,1,9,r
Mumbai Indians1,Mumbai Indians,69.4,40.3,18.9,13.1,16.5,23,17.2,24.3,NA,NA,15,7,NA,6,1,9,os
Rajasthan Royals1,Rajasthan Royals,55,30.8,20.5,25.6,29,0,17,25.6,32,NA,8.5,5,NA,6,1,9,s
Royal Challengers Bangalore1,Royal Challengers Bangalore,35.6,53.5,18.7,30.5,15,8,24.1,14,NA,1,46,22,NA,6,1,9,bl
Sunrisers Hyderabad1,Sunrisers Hyderabad,52.4,30.6,20.4,8.9,35,7,27.2,21.4,21,1,13.5,1,3,6,1,9,os
