,t,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,roles
Chennai Super Kings,Chennai Super Kings,44,80,11,46,16,NA,26,95,24,2,16,2,0,19,4,13.5,r
Delhi Capitals,Delhi Capitals,50,28,NA,8,50,8,5,NA,NA,NA,NA,NA,3,12,4,13.5,b
Kings XI Punjab,Kings XI Punjab,38,70,24,50,NA,9,52,82,2,1,6,NA,17,24,4,13.5,ars
Kolkata Knight Riders,Kolkata Knight Riders,73,50,15,14,47,NA,60,41,27,NA,26,NA,4,18,4,13.5,os
Mumbai Indians,Mumbai Indians,84,80,9,40,43,NA,76,94,8,18,NA,4,7,13,4,13.5,b
Rajasthan Royals,Rajasthan Royals,37,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,13.5,ars
Royal Challengers Bangalore,Royal Challengers Bangalore,48,83,13,27,NA,NA,92,59,0,NA,2,1,0,NA,4,13.5,r
Sunrisers Hyderabad,Sunrisers Hyderabad,68,68,5,39,NA,11,102,14,1,NA,1,8,6,18,4,13.5,wk
Chennai Super Kings1,Chennai Super Kings,27.9,30.6,11,32.5,16,NA,11.2,48.7,24,2,17,2,0,27,4,13.5,r
Delhi Capitals1,Delhi Capitals,50,19.5,NA,8,27,8,2.5,NA,NA,NA,NA,NA,3,12,4,13.5,os
Kings XI Punjab1,Kings XI Punjab,29,29.9,16.3,20.5,NA,9,34.5,47.9,0.8,1,2.3,NA,17,12.5,4,13.5,bl
Kolkata Knight Riders1,Kolkata Knight Riders,36,27,16,14.2,47,NA,27.1,36.8,33,NA,27,NA,2.5,9,4,13.5,bl
Mumbai Indians1,Mumbai Indians,55.3,25.2,9,19.5,43,NA,31.6,69.3,8,18,NA,6,7,13,4,13.5,bl
Rajasthan Royals1,Rajasthan Royals,55,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,13.5,ars
Royal Challengers Bangalore1,Royal Challengers Bangalore,32.2,36,13,15,NA,NA,22.4,29.7,0,NA,2,1,0,NA,4,13.5,bl
Sunrisers Hyderabad1,Sunrisers Hyderabad,35.6,29.5,5,17.5,NA,11,42.3,8,1,NA,2,8,6,18,4,13.5,b
