,t,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,roles
Chennai Super Kings,Chennai Super Kings,135,84,83,2,54,61,17,24,NA,1,NA,27,3,30,50,3,r
Delhi Capitals,Delhi Capitals,51,28,30,2,25,48,0,2,0,1,NA,8,NA,30,50,3,r
Kings XI Punjab,Kings XI Punjab,81,54,94,5,26,1,6,8,NA,NA,12,59,3,30,50,3,b
Kolkata Knight Riders,Kolkata Knight Riders,126,50,66,NA,40,80,34,11,NA,2,16,115,6,30,50,3,ars
Mumbai Indians,Mumbai Indians,90,53,81,15,43,16,6,10,NA,5,NA,93,2,30,50,3,ar
Rajasthan Royals,Rajasthan Royals,77,63,61,NA,35,45,17,3,NA,NA,NA,27,1,30,50,3,wk
Royal Challengers Bangalore,Royal Challengers Bangalore,123,81,62,46,27,114,1,7,NA,7,NA,31,2,30,50,3,os
Sunrisers Hyderabad,Sunrisers Hyderabad,8,NA,48,NA,23,NA,NA,3,NA,5,6,54,0,30,50,3,bl
Chennai Super Kings1,Chennai Super Kings,41.4,47,20.9,2,61.5,61,17,33,NA,1,NA,19.6,5,15,30,3,bl
Delhi Capitals1,Delhi Capitals,30.5,15.5,20,2,14,44.5,0,2,0,1,NA,8,NA,15,30,3,bl
Kings XI Punjab1,Kings XI Punjab,54.6,35.5,34.7,5,23,1,7,4.5,NA,NA,12,22.7,3,15,30,3,os
Kolkata Knight Riders1,Kolkata Knight Riders,43.6,28,19.7,NA,32,119,34,9.2,NA,2,16,35,10,15,30,3,b
Mumbai Indians1,Mumbai Indians,35.1,18.6,36.5,17,25.3,16,2,8,NA,5,NA,32.8,1.5,15,30,3,bl
Rajasthan Royals1,Rajasthan Royals,33.7,42,23,NA,15.8,45,33,2,NA,NA,NA,12.7,1,15,30,3,b
Royal Challengers Bangalore1,Royal Challengers Bangalore,60.9,65.5,21.3,46,28.5,114,1,6.3,NA,6,NA,19.6,1.3,15,30,3,b
Sunrisers Hyderabad1,Sunrisers Hyderabad,4,NA,38.1,NA,23,NA,NA,1.5,NA,5,4.5,21.7,0,15,30,3,r
