Team,Opponent,Matches,Won
Afghanistan,Australia,3,0
Afghanistan,Bangladesh,8,3
Afghanistan,England,2,0
Afghanistan,India,3,0
Afghanistan,Ireland,27,13
Afghanistan,New Zealand,2,0
Afghanistan,Pakistan,4,0
Afghanistan,South Africa,1,0
Afghanistan,Sri Lanka,4,1
Afghanistan,West Indies,9,3
Afghanistan,Zimbabwe,25,15
Australia,Afghanistan,3,3
Australia,Bangladesh,20,18
Australia,England,92,55
Australia,India,86,49
Australia,Ireland,5,4
Australia,New Zealand,65,41
Australia,Pakistan,55,43
Australia,South Africa,66,30
Australia,Sri Lanka,62,39
Australia,West Indies,56,41
Australia,Zimbabwe,19,17
Bangladesh,Afghanistan,8,5
Bangladesh,Australia,20,1
Bangladesh,England,21,4
Bangladesh,India,29,5
Bangladesh,Ireland,10,7
Bangladesh,New Zealand,34,10
Bangladesh,Pakistan,32,5
Bangladesh,South Africa,21,4
Bangladesh,Sri Lanka,43,7
Bangladesh,West Indies,38,15
Bangladesh,Zimbabwe,73,47
England,Afghanistan,2,2
England,Australia,92,34
England,Bangladesh,21,17
England,India,67,23
England,Ireland,13,10
England,New Zealand,44,18
England,Pakistan,47,27
England,South Africa,46,22
England,Sri Lanka,61,27
England,West Indies,44,27
England,Zimbabwe,24,20
India,Afghanistan,3,2
India,Australia,86,30
India,Bangladesh,29,23
India,England,67,40
India,Ireland,3,3
India,New Zealand,64,30
India,Pakistan,61,30
India,South Africa,57,27
India,Sri Lanka,102,61
India,West Indies,76,45
India,Zimbabwe,39,33
Ireland,Afghanistan,27,13
Ireland,Australia,5,0
Ireland,Bangladesh,10,2
Ireland,England,13,2
Ireland,India,3,0
Ireland,New Zealand,4,0
Ireland,Pakistan,7,1
Ireland,South Africa,5,0
Ireland,Sri Lanka,4,0
Ireland,West Indies,12,1
Ireland,Zimbabwe,13,6
New Zealand,Afghanistan,2,2
New Zealand,Australia,65,19
New Zealand,Bangladesh,34,24
New Zealand,England,44,23
New Zealand,India,64,30
New Zealand,Ireland,4,4
New Zealand,Pakistan,59,30
New Zealand,South Africa,59,20
New Zealand,Sri Lanka,59,25
New Zealand,West Indies,41,24
New Zealand,Zimbabwe,21,14
Pakistan,Afghanistan,4,4
Pakistan,Australia,55,11
Pakistan,Bangladesh,32,27
Pakistan,England,47,18
Pakistan,India,61,31
Pakistan,Ireland,7,5
Pakistan,New Zealand,59,27
Pakistan,South Africa,58,21
Pakistan,Sri Lanka,84,46
Pakistan,West Indies,50,34
Pakistan,Zimbabwe,43,38
South Africa,Afghanistan,1,1
South Africa,Australia,66,32
South Africa,Bangladesh,21,17
South Africa,England,46,19
South Africa,India,57,28
South Africa,Ireland,5,5
South Africa,New Zealand,59,34
South Africa,Pakistan,58,36
South Africa,Sri Lanka,62,36
South Africa,West Indies,51,38
South Africa,Zimbabwe,34,32
Sri Lanka,Afghanistan,4,3
Sri Lanka,Australia,62,21
Sri Lanka,Bangladesh,43,34
Sri Lanka,England,61,31
Sri Lanka,India,102,34
Sri Lanka,Ireland,4,4
Sri Lanka,New Zealand,59,28
Sri Lanka,Pakistan,84,35
Sri Lanka,South Africa,62,25
Sri Lanka,West Indies,31,21
Sri Lanka,Zimbabwe,42,33
West Indies,Afghanistan,9,5
West Indies,Australia,56,11
West Indies,Bangladesh,38,21
West Indies,England,44,13
West Indies,India,76,26
West Indies,Ireland,12,10
West Indies,New Zealand,41,12
West Indies,Pakistan,50,15
West Indies,South Africa,51,10
West Indies,Sri Lanka,31,8
West Indies,Zimbabwe,43,31
Zimbabwe,Afghanistan,25,10
Zimbabwe,Australia,19,1
Zimbabwe,Bangladesh,73,26
Zimbabwe,England,24,3
Zimbabwe,India,39,6
Zimbabwe,Ireland,13,6
Zimbabwe,New Zealand,21,6
Zimbabwe,Pakistan,43,2
Zimbabwe,South Africa,34,2
Zimbabwe,Sri Lanka,42,7
Zimbabwe,West Indies,43,10
