,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
1,227,162,245,244,247,244,405,221,221,217,283,207,319,378,304,515,239,475,771,369,313,374,1,0,0,0,0,1,0,0,0,0,0
2,253,149,230,217,236,245,401,249,216,196,269,247,338,370,222,391,239,415,527,399,310,316,1,0,0,0,0,1,0,0,0,0,0
3,263,162,252,240,250,259,403,277,204,198,277,268,305,406,253,385,210,436,760,409,325,364,0,0,0,0,0,1,0,0,0,0,0
4,237,162,220,210,221,214,381,231,173,226,258,294,362,477,269,540,237,399,726,373,324,387,0,0,0,0,0,0,0,0,0,0,0
5,265,158,232,243,233,246,404,279,189,200,269,217,341,455,287,500,250,443,665,438,338,319,1,0,0,0,0,0,0,0,0,0,0
6,243,149,226,242,233,258,368,265,209,225,272,244,342,467,292,519,253,444,720,358,236,342,0,0,0,0,0,1,0,0,0,0,0
7,233,160,209,226,224,242,384,263,190,227,288,260,336,403,236,553,226,465,668,339,310,429,0,0,0,0,0,1,0,0,0,0,0
8,232,156,230,238,250,259,378,239,211,207,280,262,311,377,262,557,244,435,526,384,331,401,0,0,0,0,0,1,0,0,0,0,0
9,236,160,259,251,253,262,401,242,220,219,261,270,328,415,366,513,265,391,727,365,322,418,0,0,0,0,0,0,1,0,0,0,0
10,269,159,227,233,236,225,385,205,172,219,267,256,310,377,242,534,262,387,801,416,247,331,1,0,0,0,0,0,0,0,0,0,0
11,250,155,231,234,237,261,390,264,199,211,278,277,318,417,261,531,256,401,549,2658,269,280,0,0,0,0,0,1,0,0,0,0,0
12,244,146,230,232,229,250,368,220,221,221,273,316,340,469,246,368,216,410,731,380,334,352,0,0,0,0,0,1,0,0,0,0,0
13,257,150,234,253,244,251,404,247,241,231,298,247,325,466,292,497,219,466,740,355,256,339,1,0,0,0,0,1,0,0,0,0,0
14,251,165,213,230,248,225,387,252,177,191,297,216,270,365,243,346,226,410,730,502,245,286,1,0,0,0,0,0,0,0,0,0,1
15,249,160,233,239,225,244,406,292,192,216,247,241,339,406,283,550,218,437,515,413,301,449,1,0,0,0,0,1,0,0,0,0,0
16,243,151,243,246,239,263,389,297,194,221,259,209,331,458,246,557,248,405,542,420,261,397,1,0,0,0,0,1,0,0,0,0,0
17,236,151,252,230,225,218,405,273,220,234,268,246,336,374,266,545,239,434,749,359,292,408,0,0,0,0,0,0,0,0,0,0,0
18,267,159,212,215,228,240,387,280,178,162,264,187,269,448,315,569,209,447,764,398,233,286,1,0,0,0,0,1,0,0,0,0,0
19,268,158,232,226,241,225,379,267,187,195,269,236,316,437,343,537,226,458,459,355,305,296,1,0,0,0,0,0,0,0,0,0,0
20,242,132,231,234,261,242,376,223,217,226,270,301,297,430,280,385,234,480,762,461,271,379,0,0,0,0,0,1,0,0,0,0,0
21,275,154,221,232,223,239,403,272,202,202,295,268,331,411,279,363,214,394,661,358,314,309,1,0,0,0,0,1,1,0,0,0,0
22,267,146,210,230,219,240,392,272,209,209,268,270,322,416,279,525,220,409,528,390,306,425,0,0,0,0,0,1,0,0,0,0,0
23,260,151,230,234,228,243,382,274,210,196,263,259,377,401,273,526,220,425,799,406,248,329,1,0,0,0,0,1,0,0,0,0,0
24,260,163,252,252,249,254,391,250,241,232,280,259,352,390,312,501,210,423,667,436,311,354,1,0,0,0,0,1,0,0,0,0,0
25,261,153,220,231,231,266,388,258,213,205,280,253,351,392,291,535,282,478,606,455,293,385,1,0,0,0,0,0,0,0,0,0,0
26,252,155,254,237,238,244,384,275,212,207,294,273,393,457,255,530,232,434,722,366,284,376,0,0,0,0,0,1,0,0,0,0,0
27,230,155,215,237,248,244,387,241,219,221,262,231,280,377,251,535,186,403,799,430,268,295,0,0,0,0,0,1,0,0,0,0,0
28,259,162,232,247,235,240,417,277,214,211,298,229,332,396,267,373,244,427,495,428,273,383,1,0,0,0,0,0,0,0,0,0,0
29,276,150,255,235,251,244,380,277,208,219,267,276,320,442,285,358,243,424,537,434,292,380,0,0,0,0,0,1,0,0,0,0,0
30,243,155,210,211,229,259,352,206,196,203,285,244,350,414,283,523,222,396,525,462,254,356,0,0,0,0,0,1,0,0,0,0,0
31,260,159,219,222,231,217,381,272,170,191,278,309,295,400,255,512,210,402,814,490,346,332,0,0,0,0,0,1,0,0,0,0,0
32,255,165,227,235,240,260,377,215,220,215,263,205,311,392,319,643,263,408,553,407,320,337,1,0,0,0,0,0,0,0,0,0,0
33,222,156,242,228,251,274,365,237,210,223,269,270,299,345,212,517,269,441,533,452,299,369,0,0,0,1,0,1,0,0,0,0,0
34,227,145,232,230,243,246,391,226,215,209,272,254,365,415,261,358,261,472,576,431,359,418,0,0,0,0,0,0,0,0,0,0,0
35,258,163,230,234,222,269,404,248,221,201,261,296,298,463,265,511,210,430,748,366,289,371,0,0,0,0,0,1,0,0,0,0,0
36,223,145,217,218,241,252,368,210,178,210,263,298,333,431,272,382,234,438,721,488,329,382,0,0,0,0,0,1,0,0,0,0,0
37,223,148,233,239,227,244,385,260,200,243,268,235,350,347,320,531,267,462,747,422,290,343,0,0,0,0,0,0,0,0,0,0,0
38,210,155,237,235,261,259,377,241,211,227,274,252,318,361,268,410,237,392,537,433,313,329,0,0,0,0,0,1,0,0,0,0,0
39,244,150,220,222,212,223,384,260,178,201,288,285,302,367,270,481,222,419,613,426,307,354,0,0,0,0,0,1,0,0,0,0,0
40,236,155,210,247,229,239,391,262,199,218,260,229,317,363,263,541,186,451,731,427,318,333,1,0,0,0,0,1,0,0,0,0,0
41,244,153,221,227,242,241,374,218,180,208,297,238,365,383,252,386,237,438,788,346,231,359,1,0,0,0,0,1,0,0,0,0,0
42,258,164,229,223,229,246,374,243,187,209,291,258,327,384,252,529,229,453,683,394,365,357,0,0,0,0,0,1,0,0,0,0,0
43,219,154,257,244,238,250,408,242,212,216,282,282,278,378,285,400,264,394,677,354,306,366,0,0,0,0,0,0,1,0,0,0,0
44,188,157,263,240,248,265,389,237,217,236,259,195,316,389,274,552,209,406,726,340,252,318,0,0,0,0,0,1,0,0,0,0,0
45,234,150,239,245,231,257,386,253,210,219,280,264,367,413,281,513,187,418,751,407,292,281,0,0,0,0,0,1,0,0,0,0,0
46,229,156,238,255,237,254,387,249,229,228,318,190,347,399,258,535,181,446,752,398,252,343,1,0,0,0,0,1,0,0,0,0,0
47,232,157,221,229,230,250,374,224,184,209,285,231,295,374,276,371,245,452,583,434,314,325,1,0,0,0,0,1,0,0,0,0,0
48,227,150,223,233,237,255,377,242,220,227,280,202,321,430,285,537,257,428,669,397,244,369,1,0,0,0,0,0,0,0,0,0,0
49,254,163,231,252,247,251,383,237,227,217,271,289,378,428,256,511,204,390,769,472,322,261,0,0,0,0,0,1,0,0,0,0,1
50,230,181,231,232,231,239,403,278,220,200,297,264,275,368,287,390,269,390,618,405,346,327,0,0,0,0,0,0,1,0,0,0,0
51,272,165,227,232,218,247,410,273,205,195,264,224,269,456,285,378,221,403,807,451,331,362,1,0,0,0,0,1,1,0,0,0,0
52,260,146,221,232,228,233,383,219,186,211,285,215,305,348,265,365,244,422,524,466,315,376,1,0,0,0,0,0,0,0,0,0,0
53,241,159,213,231,243,234,354,261,175,196,278,267,315,442,222,512,201,467,519,379,296,336,0,0,0,1,0,1,0,0,0,0,0
54,249,156,230,242,244,240,395,297,209,205,275,188,366,394,250,563,191,416,677,460,253,316,1,0,0,0,0,1,0,0,0,0,0
55,294,162,249,243,245,240,409,283,219,192,281,233,361,383,261,527,225,468,543,341,302,314,1,0,0,0,0,1,0,0,0,0,0
56,224,159,212,225,249,239,382,211,180,221,257,235,293,441,268,539,209,422,652,379,311,305,0,0,0,0,0,1,0,0,0,0,0
57,241,155,234,239,248,258,389,245,231,230,258,247,279,471,204,357,244,407,680,395,276,335,0,0,0,1,0,1,0,0,0,0,0
58,252,157,238,248,258,252,413,277,203,212,271,228,326,388,304,385,256,418,584,440,324,357,1,0,0,0,0,0,0,0,0,0,0
59,249,154,229,242,229,253,395,257,221,234,266,276,357,385,290,527,178,454,710,353,248,337,0,0,0,0,0,1,0,0,0,0,0
60,274,157,250,245,233,253,398,294,200,217,283,232,370,431,294,562,258,436,742,371,271,336,1,0,0,0,0,0,0,0,0,0,0
61,240,162,263,239,245,280,399,237,213,219,276,264,351,390,295,391,274,419,657,314,260,337,0,0,0,0,0,1,0,0,0,0,0
62,266,171,227,219,236,235,392,270,174,210,266,235,293,427,339,522,246,425,733,408,258,343,1,0,0,0,0,0,0,0,0,0,0
63,244,150,231,233,254,233,383,231,183,214,264,263,354,386,292,549,212,414,684,344,337,347,0,0,0,0,0,1,0,0,0,0,0
64,233,150,216,224,221,243,382,210,179,215,272,306,333,396,240,524,261,446,751,395,271,383,0,0,0,0,0,0,0,0,0,0,0
65,232,156,212,227,237,238,379,258,168,192,285,258,316,450,311,520,247,409,787,460,298,326,0,0,0,0,0,0,0,0,0,0,0
66,243,157,232,220,245,243,386,259,200,188,256,228,334,414,260,552,221,420,658,347,308,336,1,0,0,0,0,1,0,0,0,0,0
67,245,167,246,244,254,237,387,238,218,219,258,253,348,388,273,532,263,388,525,441,309,287,0,0,0,0,0,0,0,0,0,0,0
68,239,157,246,245,230,231,402,275,222,186,285,257,291,417,312,564,285,420,745,444,237,312,0,0,0,0,0,0,0,0,0,0,0
69,275,165,210,221,220,237,397,246,177,188,292,236,295,441,283,350,199,473,558,408,324,291,1,0,0,0,0,1,0,0,0,0,1
70,253,163,209,234,226,228,393,259,163,191,269,228,272,416,263,515,253,390,664,417,319,305,1,0,0,0,0,0,1,0,0,0,0
71,243,148,230,229,222,239,384,256,212,210,248,230,340,383,270,360,252,407,591,414,233,302,1,0,0,0,0,0,0,0,0,0,0
72,263,156,227,237,239,240,404,283,219,207,280,299,352,414,238,503,256,428,518,410,270,381,0,0,0,0,0,0,0,0,0,0,0
