,teams,V1ar,V2s,V3ar,V4ars,V5bo,V6bo,V7bo,V8b,V9b,V10ars,V11wk,V12s,V13b,V14b,V15b,V16ars
v Afghanistan,v Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Australia,v Australia,31,27,NA,66,8,7,18,0,46,11,13,51,NA,43,17,NA
v Bangladesh,v Bangladesh,47,57,14,90,4,0,72,NA,49,53,0,26,NA,71,81,11
v Bermuda,v Bermuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Canada,v Canada,0,NA,6,33,0,1,NA,NA,62,118,NA,NA,114,NA,8,NA
v England,v England,37,8,NA,44,0,0,76,NA,16,NA,NA,15,0,46,7,3
v Hong Kong,v Hong Kong,NA,14,NA,NA,40,NA,38,NA,38,NA,1,32,18,23,43,NA
v India,v India,27,14,2,8,2,NA,21,10,64,124,0,21,31,36,50,7
v Ireland,v Ireland,64,60,16,101,41,17,54,67,64,101,12,104,51,108,62,5
v Kenya,v Kenya,NA,NA,NA,55,NA,8,13,NA,60,37,NA,NA,41,NA,82,NA
v Netherlands,v Netherlands,1,NA,NA,64,4,0,NA,NA,41,110,NA,NA,34,NA,39,NA
v New Zealand,v New Zealand,4,0,14,9,1,16,59,34,9,NA,NA,56,31,0,54,2
v Pakistan,v Pakistan,15,8,NA,67,12,1,97,NA,37,20,7,42,44,36,32,24
v Scotland,v Scotland,21,0,1,28,15,15,59,14,92,100,0,89,45,113,96,NA
v South Africa,v South Africa,5,35,0,0,NA,0,8,22,1,NA,NA,NA,32,6,NA,9
v Sri Lanka,v Sri Lanka,23,13,7,54,6,6,37,30,37,34,1,43,21,72,38,NA
v U.A.E.,v U.A.E.,74,NA,NA,46,18,6,3,NA,77,3,NA,63,53,16,82,NA
v West Indies,v West Indies,51,13,NA,86,9,NA,NA,50,50,84,7,56,8,68,27,86
v Zimbabwe,v Zimbabwe,82,43,1,50,47,NA,32,NA,116,131,15,81,63,114,65,NA
v Afghanistan1,v Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Australia1,v Australia,26.5,27,NA,35,4,8,18,0,18.33,5.5,13,25,NA,43,15.5,NA
v Bangladesh1,v Bangladesh,89,18.6,14,32.28,2,0,37.66,NA,22.62,26.33,0,19.33,NA,23.66,56.5,11
v Bermuda1,v Bermuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Canada1,v Canada,0,NA,6,17.4,0,1,NA,NA,47.5,36.8,NA,NA,55,NA,9.5,NA
v England1,v England,37,8,NA,44,0,0,76,NA,12.5,NA,NA,27,0,46,7,3
v Hong Kong1,v Hong Kong,NA,14,NA,NA,40,NA,38,NA,52,NA,1,32,18,17,26,NA
v India1,v India,21,26,2,4.33,2,NA,10.5,10,40.66,73,0,15.33,31,16,50,7
v Ireland1,v Ireland,17.94,31.78,17,31.69,23.66,7.66,30.66,24.14,21.4,28,10.5,52.4,16.37,35.31,23,6
v Kenya1,v Kenya,NA,NA,NA,23.25,NA,7,13,NA,58.66,18.4,NA,NA,29,NA,34,NA
v Netherlands1,v Netherlands,1,NA,NA,44.25,4,0,NA,NA,22,52,NA,NA,17.33,NA,38.5,NA
v New Zealand1,v New Zealand,4,0,14,9,1,23,59,34,7.5,NA,NA,30,31,0,54,2
v Pakistan1,v Pakistan,16,8,NA,49.66,6,1,97,NA,18.75,16.33,7,16,26.5,35.5,32.5,24
v Scotland1,v Scotland,10.66,0,1,13.44,24,12.5,59,14,31.71,50.87,0,43,14.6,56.8,58,NA
v South Africa1,v South Africa,5,35,0,0,NA,0,8,22,1,NA,NA,NA,32,6,NA,9
v Sri Lanka1,v Sri Lanka,13.5,7.5,7,27.33,3.33,3,20.5,30,21,16,1,19,21,37,22,NA
v U.A.E.1,v U.A.E.,51,NA,NA,20.2,38,6,3,NA,29.16,3,NA,63,53,11.5,38.5,NA
v West Indies1,v West Indies,27.6,6.2,NA,29.5,5,NA,NA,27.33,36.6,46,7,27.2,6.5,37.87,19.25,43
v Zimbabwe1,v Zimbabwe,24.85,15.61,1,14.63,42.4,NA,18.14,NA,31.31,36.47,9.5,19.18,28.52,46.18,19.13,NA
