,teams,V1b,V2wk,V3ar,V4bo,V5bo,V6b,V7s,V8b,V9ars,V10bo,V11b,V12bo,V13ar,V14b,V15s,V16bo,V17b,V18ar
v Afghanistan,v Afghanistan,66,NA,NA,NA,NA,15,NA,NA,88,NA,95,1,NA,178,NA,NA,NA,8
v Australia,v Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Bangladesh,v Bangladesh,53,11,NA,NA,NA,89,NA,76,32,NA,22,NA,17,166,NA,NA,NA,NA
v England,v England,135,46,12,1,16,23,5,131,95,14,102,29,87,127,11,14,4,64
v Hong Kong,v Hong Kong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v India,v India,124,55,15,1,28,104,12,131,96,24,149,6,62,128,8,29,117,102
v Ireland,v Ireland,NA,NA,NA,NA,NA,82,NA,NA,2,NA,59,NA,NA,84,NA,NA,NA,11
v Kenya,v Kenya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA
v Netherlands,v Netherlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v New Zealand,v New Zealand,60,71,36,0,NA,88,0,22,29,19,164,29,146,156,2,NA,7,76
v Pakistan,v Pakistan,153,55,15,6,2,98,NA,91,98,9,108,11,10,179,NA,NA,82,4
v South Africa,v South Africa,109,85,12,11,34,59,30,106,35,0,108,29,63,173,22,24,NA,86
v Sri Lanka,v Sri Lanka,153,4,0,NA,NA,10,4,70,102,0,73,52,NA,163,5,NA,NA,4
v U.A.E.,v U.A.E.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v West Indies,v West Indies,47,45,2,NA,92,98,4,81,51,NA,78,17,19,69,5,NA,NA,79
v Zimbabwe,v Zimbabwe,67,NA,NA,NA,NA,NA,8,NA,93,NA,11,3,NA,NA,NA,NA,NA,89
v Afghanistan1,v Afghanistan,35,NA,NA,NA,NA,15,NA,NA,47,NA,56.5,1,NA,145.5,NA,NA,NA,8
v Australia1,v Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Bangladesh1,v Bangladesh,36,11,NA,NA,NA,89,NA,87.5,32,NA,9.66,NA,17,206,NA,NA,NA,NA
v England1,v England,50.12,40.25,5.14,1,23,23,9,45.43,37.44,7.5,33.23,7.16,23.76,32,5.5,10.5,4,37.09
v Hong Kong1,v Hong Kong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v India1,v India,44.85,32.25,4.85,1,7,59.88,12,38.35,33.9,24,60.46,3,47.37,49.29,4.6,15.66,40.54,82
v Ireland1,v Ireland,NA,NA,NA,NA,NA,82,NA,NA,2,NA,80,NA,NA,66,NA,NA,NA,11
v Kenya1,v Kenya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA
v Netherlands1,v Netherlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v New Zealand1,v New Zealand,17.2,36,53.5,0,NA,60.66,0,14.5,8.14,19,40.44,13,104.5,47.23,2.5,NA,3.5,33.71
v Pakistan1,v Pakistan,63,33.33,6.66,6,4,38.44,NA,39.7,52.5,9,51.1,7.6,5.33,52,NA,NA,35,2
v South Africa1,v South Africa,35.27,33.28,10.16,11,15,26.33,16.5,47,10.25,0,40.23,12.16,25.25,43.78,10.5,24,NA,30.93
v Sri Lanka1,v Sri Lanka,42.75,4,0,NA,NA,4.75,4,21.4,40.4,0,38,25.4,NA,36.7,10,NA,NA,4
v U.A.E.1,v U.A.E.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v West Indies1,v West Indies,17.3,45,2,NA,54,30,4,30.62,21.2,NA,55.4,12.5,19,36.33,5,NA,NA,68
v Zimbabwe1,v Zimbabwe,39,NA,NA,NA,NA,NA,8,NA,53,NA,6,3,NA,NA,NA,NA,NA,52
