,teams,V1ar,V2ars,V3b,V4wk,V5wk,V6b,V7wk,V8b,V9ars,V10ar,V11bo,V12ar,V13ars,V14bo
v Afghanistan,v Afghanistan,14,63,118,41,83,74,2,65,5,28,17,2,45,NA
v Australia,v Australia,25,51,95,20,102,69,NA,8,14,10,0,NA,NA,1
v Bangladesh,v Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Bermuda,v Bermuda,NA,42,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Canada,v Canada,0,134,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v England,v England,44,121,128,NA,89,103,0,49,12,40,2,5,38,0
v Hong Kong,v Hong Kong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v India,v India,42,85,70,121,117,64,26,43,42,54,9,51,15,9
v Ireland,v Ireland,26,50,129,76,36,49,NA,35,NA,87,4,NA,14,NA
v Kenya,v Kenya,44,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Netherlands,v Netherlands,18,15,2,NA,11,28,NA,NA,NA,NA,NA,NA,NA,NA
v New Zealand,v New Zealand,27,114,65,1,90,128,62,102,37,61,3,44,50,5
v Pakistan,v Pakistan,38,108,132,32,106,58,60,15,12,127,15,0,16,1
v Scotland,v Scotland,51,52,95,NA,60,62,NA,42,NA,2,NA,NA,NA,NA
v South Africa,v South Africa,34,75,82,21,110,50,21,39,15,90,8,16,26,0
v Sri Lanka,v Sri Lanka,34,92,127,0,144,76,63,60,51,69,6,8,24,18
v U.A.E.,v U.A.E.,3,NA,40,NA,16,8,NA,NA,NA,NA,NA,NA,NA,NA
v West Indies,v West Indies,37,124,130,94,79,67,43,12,10,80,1,NA,52,NA
v Zimbabwe,v Zimbabwe,39,105,158,176,107,82,50,57,7,117,8,50,NA,18
v Afghanistan1,v Afghanistan,5.33,32.57,54.6,21,38,45,1.5,18.5,9,12.4,9.33,2,55,NA
v Australia1,v Australia,8,24.11,38.11,20,119.5,53,NA,4,10,6.5,0,NA,NA,1
v Bangladesh1,v Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Bermuda1,v Bermuda,NA,42,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Canada1,v Canada,0,134,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v England1,v England,15.88,30.69,34.85,NA,44.09,39.4,0,21.6,12,23.33,2,5,31.66,0
v Hong Kong1,v Hong Kong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v India1,v India,21.72,36.93,33.11,38,34.88,35.44,12.33,38.2,37,31.85,3.4,51,10,4.66
v Ireland1,v Ireland,14.25,29.16,56.44,76,25,144,NA,21,NA,92,6,NA,14,NA
v Kenya1,v Kenya,89,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Netherlands1,v Netherlands,18,8,1,NA,11,28,NA,NA,NA,NA,NA,NA,NA,NA
v New Zealand1,v New Zealand,10.86,31.95,24.52,1,26.4,30.94,48.33,34.5,18.4,21.44,3.33,31,26.6,2.5
v Pakistan1,v Pakistan,11.61,42.53,42.75,19,36.83,21.5,60,15,19,46.5,16,0,16,1
v Scotland1,v Scotland,51,116,95,NA,33,62,NA,42,NA,2,NA,NA,NA,NA
v South Africa1,v South Africa,13.12,33.08,27.54,12.6,36.5,27.33,21,20,20,63.75,16,16,26,0
v Sri Lanka1,v Sri Lanka,13.12,33.72,30.27,0,29,20.42,19.8,27.62,20.66,28,2.22,14,14.75,16
v U.A.E.1,v U.A.E.,3,NA,40,NA,16,8,NA,NA,NA,NA,NA,NA,NA,NA
v West Indies1,v West Indies,18.71,55.46,40.56,55.33,44,55.11,30,6.75,10,46.71,2,NA,52,NA
v Zimbabwe1,v Zimbabwe,11.88,40.11,43.17,52.75,40,31.18,75,25.71,4.33,68.5,7.33,78,NA,25
