,teams,V1b,V2wk,V3ars,V4bo,V5wk,V6ar,V7ar,V8bo,V9s,V10b,V11b,V12ar,V13b,V14ar,V15bo,V16wk,V17ar,V18bo
v Afghanistan,v Afghanistan,148,2,31,NA,90,NA,NA,NA,NA,88,NA,2,26,1,NA,NA,NA,NA
v Australia,v Australia,121,110,46,1,139,35,NA,24,35,91,180,102,0,78,13,11,35,6
v Bangladesh,v Bangladesh,110,65,19,NA,51,NA,NA,27,33,133,153,101,32,42,NA,62,9,NA
v Bermuda,v Bermuda,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Canada,v Canada,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v England,v England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Hong Kong,v Hong Kong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v India,v India,102,67,67,0,111,NA,NA,26,22,113,82,79,27,34,0,35,50,NA
v Ireland,v Ireland,124,NA,1,NA,82,47,NA,3,39,73,24,3,25,19,NA,67,51,NA
v Kenya,v Kenya,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Netherlands,v Netherlands,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v New Zealand,v New Zealand,113,129,28,1,138,22,NA,44,69,106,60,84,NA,36,3,41,11,NA
v Pakistan,v Pakistan,107,116,46,1,128,31,10,56,12,107,114,75,43,33,10,NA,14,0
v Scotland,v Scotland,99,24,128,NA,105,NA,NA,47,5,29,34,NA,NA,1,1,12,7,NA
v South Africa,v South Africa,107,105,77,7,51,15,NA,9,39,125,54,101,NA,40,NA,NA,26,1
v Sri Lanka,v Sri Lanka,92,121,119,3,29,1,4,29,19,121,162,82,51,95,0,NA,7,NA
v U.A.E.,v U.A.E.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v West Indies,v West Indies,107,150,102,NA,141,0,NA,11,15,107,123,79,NA,68,1,52,1,NA
v Zimbabwe,v Zimbabwe,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Afghanistan1,v Afghanistan,148,2,31,NA,90,NA,NA,NA,NA,88,NA,2,26,1,NA,NA,NA,NA
v Australia1,v Australia,40.52,46.3,15.58,1,38.4,46,NA,12,20.75,29.23,49.64,33.85,0,28.1,26,11,20.33,6
v Bangladesh1,v Bangladesh,36.08,54.8,7.5,NA,25.25,NA,NA,27,33,91.5,52,51.33,17.66,55,NA,62,9,NA
v Bermuda1,v Bermuda,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Canada1,v Canada,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v England1,v England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Hong Kong1,v Hong Kong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v India1,v India,34.18,24.15,24.77,0,40.33,NA,NA,11.42,22,56,60.66,37.66,27,14.12,0,35,33,NA
v Ireland1,v Ireland,68.5,NA,0.5,NA,56.66,47,NA,3,16.33,64.5,9,3,18.75,19,NA,69.5,59.5,NA
v Kenya1,v Kenya,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Netherlands1,v Netherlands,72.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v New Zealand1,v New Zealand,31.31,40.14,17.2,1,75.28,22,NA,55.33,20.62,54.82,25.16,47.33,NA,11.77,2.33,22.5,13,NA
v Pakistan1,v Pakistan,48.94,65.25,31,1,54.28,60,10,25.75,15.5,51.66,48.38,53.85,38,21,21,NA,12.33,0
v Scotland1,v Scotland,47.28,16.5,87,NA,105,NA,NA,47,5,15.66,34,NA,NA,1,1,12,7,NA
v South Africa1,v South Africa,35.41,35.42,31.5,7,28.4,20,NA,9,13,49.5,19.63,44.5,NA,31.25,NA,NA,44,1
v Sri Lanka1,v Sri Lanka,32.2,41,24.07,3,18.16,1,4,24.25,12,57.11,53.75,55.25,32.5,33,0,NA,7,NA
v U.A.E.1,v U.A.E.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v West Indies1,v West Indies,35.85,38.8,39.62,NA,64,0,NA,5,11,67,55.28,33,NA,38.75,1,18,1,NA
v Zimbabwe1,v Zimbabwe,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
