"","v Afghanistan","v Australia","v Bangladesh","v England","v Hong Kong","v Ireland","v Kenya","v Netherlands","v New Zealand","v Pakistan","v South Africa","v Sri Lanka","v U.A.E.","v West Indies","v Zimbabwe"
"1",334,391,382,386,402,449,375,344,375,383,266,365,335,429,515
"2",337,342,344,312,385,446,361,341,397,386,328,362,296,332,391
"3",324,322,340,329,392,455,352,318,352,378,279,370,276,364,385
"4",389,387,408,334,410,506,415,369,401,408,292,404,346,408,540
"5",353,376,404,359,427,449,377,334,421,311,271,362,330,382,500
"6",383,359,400,319,384,478,364,324,414,640,228,383,299,388,519
"7",353,339,392,291,411,486,387,334,430,381,331,377,313,374,553
"8",351,358,391,281,431,459,380,329,428,420,305,369,345,386,557
"9",332,338,433,318,419,452,370,830,419,319,301,367,297,343,513
"10",428,358,401,338,413,464,380,315,401,315,288,392,325,393,534
"11",362,381,356,365,403,458,382,368,376,380,275,357,323,392,531
"12",349,389,346,383,390,421,361,313,337,385,251,341,319,395,368
"13",309,395,346,369,418,444,373,330,405,400,255,319,326,383,497
"14",357,349,354,353,377,429,343,321,368,335,309,356,281,352,346
"15",367,399,393,330,426,454,384,343,385,411,274,397,383,384,550
"16",336,333,476,313,420,429,388,337,392,441,295,373,340,370,557
"17",375,396,412,346,403,484,390,350,427,394,281,383,321,372,545
"18",374,340,396,306,416,444,389,354,404,419,294,386,341,399,569
"19",377,351,392,296,420,458,380,351,414,440,275,378,328,369,537
"20",329,361,355,340,385,441,344,319,360,409,307,350,304,338,385
"21",359,384,354,370,388,437,359,308,362,360,290,343,336,372,363
"22",379,377,358,350,414,448,382,338,386,411,286,365,295,391,525
"23",335,377,347,336,407,449,383,329,403,417,262,346,360,374,526
"24",295,400,380,377,400,468,406,324,362,367,254,338,317,389,501
"25",347,401,409,337,418,448,381,339,424,345,309,365,330,377,535
"26",370,367,443,352,425,446,384,357,420,364,279,400,371,387,530
"27",311,354,391,348,549,464,364,317,412,329,278,329,313,383,535
"28",376,353,374,362,381,449,345,317,351,324,282,377,314,343,373
"29",387,344,381,364,370,451,362,300,398,340,280,338,315,358,358
"30",336,408,396,384,425,485,382,337,394,352,220,347,356,393,523
"31",319,415,402,369,397,468,397,323,380,391,259,312,292,394,512
"32",422,397,439,340,412,425,371,309,417,293,264,377,326,341,643
"33",314,415,382,375,417,471,387,343,399,384,262,317,326,368,517
"34",370,321,358,370,390,418,330,310,345,315,276,344,300,333,358
"35",310,375,401,358,408,489,348,313,389,383,246,368,359,389,511
"36",309,355,336,348,389,436,338,289,342,392,302,335,359,345,382
"37",362,388,388,343,430,458,381,346,351,430,256,380,356,420,531
"38",355,351,393,350,390,453,350,323,362,407,301,361,304,395,410
"39",352,375,402,375,423,449,390,331,424,317,256,352,320,363,481
"40",315,376,389,365,404,470,396,344,424,358,275,388,356,392,541
"41",338,334,382,359,375,444,372,313,345,394,316,365,306,356,386
"42",337,356,362,343,420,478,386,316,393,410,276,343,309,365,529
"43",368,313,392,349,398,461,367,303,393,339,313,374,325,356,400
"44",335,381,393,321,430,469,396,347,370,442,295,408,351,390,552
"45",326,464,407,371,431,444,376,339,381,359,260,369,347,405,513
"46",343,346,429,358,417,467,398,345,441,366,299,401,326,389,535
"47",367,360,413,356,384,452,364,325,388,349,296,362,334,393,371
"48",480,355,413,295,430,481,376,331,433,400,306,394,355,356,537
"49",342,373,405,372,393,502,373,353,415,374,247,381,317,410,511
"50",364,324,393,317,374,438,367,309,349,327,303,357,320,373,390
"51",389,329,376,331,397,457,359,317,386,357,316,372,315,358,378
"52",361,353,352,404,385,475,354,298,365,390,289,370,312,355,365
"53",332,376,419,349,429,470,384,341,397,411,257,392,325,391,512
"54",342,348,423,306,427,475,385,349,463,339,283,372,311,352,563
"55",359,361,410,323,403,447,398,322,393,381,248,353,320,385,527
"56",395,367,396,328,409,453,809,343,401,351,282,368,333,376,539
"57",382,341,374,358,367,423,340,289,357,330,273,310,309,329,357
"58",361,353,372,311,386,424,347,308,385,330,319,389,301,350,385
"59",271,385,394,329,414,451,371,343,415,417,312,334,327,381,527
"60",326,366,422,340,414,460,378,350,390,391,296,390,336,400,562
"61",355,369,362,334,372,436,353,303,389,398,298,342,284,354,391
"62",367,393,414,368,419,453,386,358,413,379,266,426,390,357,522
"63",337,361,407,316,417,484,414,344,402,401,296,371,301,350,549
"64",317,403,390,374,406,461,348,363,391,390,262,338,341,381,524
"65",343,364,425,363,423,462,371,329,401,364,295,374,297,345,520
"66",442,348,432,297,414,456,395,343,429,357,315,384,301,367,552
"67",297,377,397,329,406,426,386,356,406,384,266,375,368,361,532
"68",361,363,387,282,413,469,396,344,422,409,291,394,351,368,564
"69",340,360,355,401,351,415,355,298,340,384,260,364,318,375,350
"70",402,372,439,326,432,465,383,340,454,340,313,405,310,360,515
"71",356,336,372,328,373,415,336,281,355,327,264,341,317,366,360
"72",335,393,371,388,409,471,368,338,405,377,263,304,305,384,503
"73",360,266,371,321,380,438,335,298,403,356,320,340,291,305,371
"74",358,353,401,359,363,428,334,295,357,323,262,368,302,343,371
"75",349,349,379,311,417,503,378,359,391,434,288,397,342,400,571
"76",304,348,409,334,408,423,374,319,413,333,292,344,477,349,552
"77",384,331,426,323,430,476,387,356,445,350,329,423,355,364,548
"78",332,395,346,374,395,425,339,288,325,373,254,332,311,361,364
"79",344,403,369,364,406,482,384,341,383,420,321,357,429,395,545
"80",273,344,372,344,410,451,364,320,407,392,287,343,293,358,533
"81",349,377,383,337,417,455,376,350,382,429,322,368,342,375,528
"82",347,348,394,290,419,443,366,345,428,341,296,394,301,375,538
"83",286,370,354,344,426,472,372,337,402,405,293,355,317,370,518
"84",317,363,331,375,378,447,355,291,338,391,253,344,288,358,368
"85",384,329,452,294,437,490,397,361,419,366,316,435,366,387,564
"86",351,399,416,352,421,496,395,326,420,371,303,344,334,351,543
"87",314,308,337,345,394,419,337,312,389,394,306,347,283,360,371
"88",317,376,404,363,413,466,375,309,410,392,284,360,327,392,558
"89",340,328,383,310,384,436,338,318,400,363,298,401,298,340,416
"90",341,349,369,347,394,423,360,309,378,402,288,357,295,383,374
"91",331,388,349,343,392,414,365,313,354,411,290,343,280,364,410
"92",360,375,406,335,418,468,372,326,401,394,265,346,360,369,525
"93",316,349,378,353,392,438,343,308,365,397,300,351,310,335,405
"94",514,344,395,339,422,469,391,342,431,420,308,382,340,400,545
"95",351,301,539,321,388,468,351,310,408,380,298,344,297,345,381
"96",371,360,372,346,374,417,329,304,362,327,238,328,252,365,352
"97",329,373,350,408,379,554,347,325,357,383,296,322,299,376,360
"98",333,420,347,386,400,449,361,326,347,377,290,348,347,356,347
"99",386,342,368,354,374,444,343,310,360,355,303,381,316,345,368
"100",360,401,451,350,408,494,388,345,424,336,259,366,326,380,513
"101",354,372,364,380,390,428,350,290,344,374,266,313,282,358,355
"102",368,375,423,314,426,505,407,358,393,464,306,353,339,399,553
"103",338,369,406,332,422,468,378,349,395,420,310,380,330,358,565
"104",363,410,417,367,426,447,385,326,397,348,269,393,333,391,521
"105",319,335,347,324,376,454,344,318,369,374,292,346,305,364,388
"106",393,412,395,338,407,472,399,346,379,399,291,390,372,403,521
"107",418,394,382,359,413,454,378,357,374,401,228,351,317,395,519
"108",304,386,412,333,416,431,353,328,406,382,284,331,307,323,540
"109",361,323,381,320,388,405,331,310,382,360,304,375,283,370,387
"110",358,347,413,331,416,459,386,338,427,361,302,387,321,385,509
"111",365,342,374,363,388,464,358,331,366,402,299,407,322,375,399
"112",312,391,423,349,426,492,380,338,404,375,294,413,337,366,528
"113",366,332,383,349,394,436,353,307,361,323,325,340,309,337,373
"114",370,382,341,393,383,448,357,306,363,383,242,304,322,383,350
"115",351,389,408,349,412,447,392,331,375,407,259,383,343,401,536
"116",347,328,388,386,380,487,371,312,359,345,261,425,308,369,358
"117",352,349,348,383,390,435,352,304,333,385,255,333,269,341,350
"118",345,420,421,368,413,484,375,326,390,379,279,366,345,378,508
"119",360,346,405,319,450,475,392,329,440,362,278,388,356,374,566
"120",334,384,372,331,414,472,376,325,427,385,291,352,318,362,522
"121",341,408,364,412,384,399,345,307,353,384,274,365,318,403,348
"122",363,407,382,369,390,463,373,312,363,341,293,326,310,372,363
"123",335,356,415,317,413,457,382,335,448,314,312,341,317,340,529
"124",373,350,361,321,422,488,373,345,380,428,293,374,360,388,549
"125",342,362,357,364,398,457,363,326,424,339,265,353,349,353,497
"126",366,342,343,401,390,410,350,307,338,388,256,310,278,364,363
"127",349,296,374,305,400,450,350,307,365,361,296,395,325,367,397
"128",379,375,414,318,443,498,389,344,401,436,294,388,338,414,550
"129",349,347,364,342,380,428,355,278,351,349,281,328,304,351,372
"130",354,360,374,351,378,434,364,287,386,305,259,321,292,358,319
"131",347,338,386,300,385,443,349,300,380,335,308,356,287,357,382
"132",343,391,406,355,414,468,384,342,397,385,308,414,322,397,536
"133",351,298,378,318,397,445,338,315,386,332,348,359,287,328,399
"134",332,354,447,327,428,491,395,317,427,334,279,344,328,385,540
"135",400,386,346,423,387,461,372,323,361,384,275,342,310,381,363
"136",323,361,371,317,371,465,388,325,344,393,303,329,331,324,366
"137",381,367,423,290,427,419,397,348,440,345,336,365,347,372,564
"138",344,386,433,355,409,460,378,358,424,344,256,398,336,416,527
"139",352,361,364,297,379,457,361,288,381,325,274,346,276,377,400
"140",323,349,361,357,646,434,373,311,382,382,296,341,301,345,377
"141",318,373,381,320,442,490,380,342,408,447,320,401,354,381,563
"142",395,316,410,325,418,501,384,340,394,409,309,407,322,369,557
"143",375,348,389,322,427,506,397,345,425,394,304,421,324,372,560
"144",358,336,369,372,384,423,359,293,346,374,282,402,288,346,393
"145",363,418,383,365,405,467,371,330,411,383,257,365,291,407,504
"146",358,364,356,417,367,447,342,322,348,411,290,343,296,386,351
"147",363,373,417,350,389,1188,364,327,402,351,266,339,332,379,494
"148",308,331,438,307,421,463,361,353,419,330,283,374,367,348,559
"149",375,343,416,269,419,466,385,338,431,386,298,391,360,376,552
"150",306,467,417,392,416,455,366,859,396,380,246,321,340,399,514
"151",339,389,410,365,426,465,384,328,428,404,291,370,337,381,510
"152",365,357,371,369,374,416,342,315,376,342,291,362,279,371,352
"153",338,373,406,347,412,473,369,341,405,335,260,375,347,387,509
"154",368,353,346,330,356,436,354,342,376,346,275,372,311,358,378
"155",362,390,392,352,425,477,373,351,397,434,275,340,346,415,522
"156",382,353,386,336,405,451,392,338,377,369,269,387,326,405,548
"157",372,372,414,328,417,479,405,341,429,364,283,360,336,402,538
"158",328,395,450,383,407,465,379,323,405,361,263,325,379,409,500
"159",326,352,445,300,405,487,366,313,430,289,295,338,381,346,545
"160",387,382,379,373,406,446,374,360,360,429,270,395,357,399,531
"161",352,331,455,330,430,461,380,347,446,389,319,389,328,354,541
"162",376,328,418,293,427,452,407,344,410,376,310,388,334,397,565
"163",335,349,367,361,367,447,359,314,370,370,288,318,298,355,387
"164",372,375,415,356,427,459,395,335,431,320,298,377,290,400,508
"165",373,395,377,312,426,487,370,363,410,422,269,415,332,436,556
"166",328,373,353,341,387,417,331,280,384,316,291,328,280,348,330
"167",350,400,366,388,384,447,335,293,351,396,245,305,324,373,351
"168",290,405,362,382,401,473,358,337,414,364,224,307,320,396,504
"169",355,373,367,391,387,453,358,302,368,401,284,353,296,382,369
