teams,kohli,rohit,dhawan,,teams,morgan,,,teams,williamson,,teams,maxwell,,teams,faf,,teams,rabada
v Afghanistan,67,18,60,,v Afghanistan,148,,,v Afghanistan,79,,v Afghanistan,88,,v Afghanistan,NA,,v Afghanistan,NA
v Australia,123,209,143,,v Australia,121,,,v Australia,100,,v Australia,NA,,v Australia,126,,v Australia,15
v Bangladesh,136,137,75,,v Bangladesh,110,,,v Bangladesh,108,,v Bangladesh,32,,v Bangladesh,91,,v Bangladesh,23
v England,122,137,97,,v England,NA,,,v England,118,,v England,95,,v England,67,,v England,19
v Hong Kong,NA,23,127,,v Hong Kong,NA,,,v Hong Kong,NA,,v Hong Kong,NA,,v Hong Kong,NA,,v Hong Kong,NA
v India,NA,NA,NA,,v India,102,,,v India,118,,v India,96,,v India,133,,v India,31
v Ireland,44,64,100,,v Ireland,124,,,v Ireland,NA,,v Ireland,2,,v Ireland,109,,v Ireland,NA
v Kenya,NA,NA,NA,,v Kenya,11,,,v Kenya,NA,,v Kenya,NA,,v Kenya,NA,,v Kenya,NA
v Netherlands,12,NA,NA,,v Netherlands,94,,,v Netherlands,NA,,v Netherlands,NA,,v Netherlands,62,,v Netherlands,NA
v New Zealand,154,147,75,,v New Zealand,113,,,v New Zealand,NA,,v New Zealand,29,,v New Zealand,82,,v New Zealand,NA
v Pakistan,183,140,114,,v Pakistan,107,,,v Pakistan,123,,v Pakistan,98,,v Pakistan,63,,v Pakistan,26
v South Africa,160,150,137,,v South Africa,107,,,v South Africa,145,,v South Africa,35,,v South Africa,NA,,v South Africa,NA
v Sri Lanka,139,264,132,,v Sri Lanka,92,,,v Sri Lanka,103,,v Sri Lanka,102,,v Sri Lanka,185,,v Sri Lanka,12
v U.A.E.,33,57,14,,v U.A.E.,NA,,,v U.A.E.,NA,,v U.A.E.,NA,,v U.A.E.,NA,,v U.A.E.,NA
v West Indies,157,162,119,,v West Indies,107,,,v West Indies,148,,v West Indies,51,,v West Indies,73,,v West Indies,9
v Zimbabwe,115,114,116,,v Zimbabwe,21,,,v Zimbabwe,100,,v Zimbabwe,93,,v Zimbabwe,121,,v Zimbabwe,NA
v Afghanistan,67,19,60,,v Afghanistan,148,,,v Afghanistan,112,,v Afghanistan,47,,v Afghanistan,NA,,v Afghanistan,NA
v Australia,54.57,61.33,45.8,,v Australia,40.52,,,v Australia,39.58,,v Australia,NA,,v Australia,54,,v Australia,36
v Bangladesh,75.55,60,39.62,,v Bangladesh,36.08,,,v Bangladesh,52.75,,v Bangladesh,32,,v Bangladesh,63,,v Bangladesh,23.5
v England,45.3,50.44,32.45,,v England,NA,,,v England,54.61,,v England,37.44,,v England,25.46,,v England,10.5
v Hong Kong,NA,17,127,,v Hong Kong,NA,,,v Hong Kong,NA,,v Hong Kong,NA,,v Hong Kong,NA,,v Hong Kong,NA
v India,NA,NA,NA,,v India,34.18,,,v India,39.36,,v India,33.9,,v India,58,,v India,20
v Ireland,78,64,100,,v Ireland,68.5,,,v Ireland,NA,,v Ireland,2,,v Ireland,47,,v Ireland,NA
v Kenya,NA,NA,NA,,v Kenya,11,,,v Kenya,NA,,v Kenya,NA,,v Kenya,NA,,v Kenya,NA
v Netherlands,12,NA,NA,,v Netherlands,72.5,,,v Netherlands,NA,,v Netherlands,NA,,v Netherlands,62,,v Netherlands,NA
v New Zealand,59.91,33.47,32.72,,v New Zealand,31.31,,,v New Zealand,NA,,v New Zealand,8.14,,v New Zealand,42.28,,v New Zealand,NA
v Pakistan,48.72,51.42,54.28,,v Pakistan,48.94,,,v Pakistan,55.23,,v Pakistan,52.5,,v Pakistan,37.28,,v Pakistan,9.66
v South Africa,64.35,33.3,49.87,,v South Africa,35.41,,,v South Africa,47.85,,v South Africa,10.25,,v South Africa,NA,,v South Africa,NA
v Sri Lanka,60,46.25,70.21,,v Sri Lanka,32.2,,,v Sri Lanka,38.05,,v Sri Lanka,40.4,,v Sri Lanka,53,,v Sri Lanka,15
v U.A.E.,33,57,14,,v U.A.E.,NA,,,v U.A.E.,NA,,v U.A.E.,NA,,v U.A.E.,NA,,v U.A.E.,NA
v West Indies,72.09,60.92,33.36,,v West Indies,35.85,,,v West Indies,41.18,,v West Indies,21.2,,v West Indies,40.66,,v West Indies,10
v Zimbabwe,50.6,40.33,42.6,,v Zimbabwe,21,,,v Zimbabwe,75.6,,v Zimbabwe,53,,v Zimbabwe,48.57,,v Zimbabwe,NA
