"","v Afghanistan","v Australia","v Bangladesh","v England","v Hong Kong","v Ireland","v Kenya","v Netherlands","v New Zealand","v Pakistan","v South Africa","v Sri Lanka","v U.A.E.","v West Indies","v Zimbabwe"
"1",84,50,77,52,45,85,58,15,64,53,62,60,27,55,54
"2",68,53,88,38,56,81,60,8,70,45,64,58,38,64,41
"3",59,52,69,47,57,76,63,10,50,48,62,59,41,70,50
"4",54,51,79,43,56,71,58,6,62,65,56,59,27,78,47
"5",62,43,74,51,54,88,55,9,55,42,66,66,28,71,52
"6",57,55,71,48,47,84,59,11,54,53,72,79,30,75,54
"7",78,49,81,48,65,75,66,13,51,56,46,65,42,70,54
"8",79,53,74,42,59,72,57,24,63,58,47,62,45,67,50
"9",68,56,82,51,58,76,63,17,47,68,69,62,54,91,61
"10",84,57,67,39,53,74,54,5,56,36,77,53,37,74,68
"11",64,60,74,47,61,89,50,13,68,65,72,58,40,64,54
"12",68,54,83,52,65,95,55,22,56,63,59,65,37,83,51
"13",76,44,81,43,46,80,51,7,61,56,62,64,39,82,42
"14",74,56,70,49,61,77,53,8,67,70,56,64,40,79,45
"15",71,52,89,42,50,72,63,11,66,44,50,58,36,77,49
"16",81,48,70,43,58,69,52,14,56,54,50,61,21,70,58
"17",87,53,70,55,57,80,56,2,72,43,59,49,33,69,52
"18",65,44,80,48,56,76,55,9,75,35,56,59,27,68,49
"19",48,44,83,43,55,77,45,9,65,59,80,54,39,89,52
"20",69,62,73,52,62,82,54,18,59,66,65,54,40,83,58
"21",59,63,71,49,53,91,62,9,65,49,61,55,35,74,55
"22",68,43,82,62,54,86,52,12,70,47,81,64,30,69,64
"23",69,63,76,36,46,70,55,11,56,56,76,56,26,76,41
"24",72,57,74,40,57,92,56,13,53,42,58,64,37,81,49
"25",80,63,79,48,53,81,48,9,62,57,67,59,25,97,56
"26",68,43,73,48,52,84,57,5,66,71,61,62,30,74,42
"27",51,57,70,46,54,72,60,2,72,54,69,55,44,76,52
"28",65,49,78,37,54,82,50,15,57,53,60,47,39,79,45
"29",53,47,83,42,46,80,46,18,71,43,52,65,42,75,53
"30",73,70,81,35,58,90,60,13,63,48,83,65,48,70,58
"31",42,64,88,48,58,79,67,14,57,43,62,57,33,85,51
"32",72,55,80,61,54,66,52,21,67,62,52,54,34,79,51
"33",91,55,68,64,49,74,56,7,66,55,65,66,22,82,56
"34",79,57,76,49,57,64,50,8,50,46,62,52,21,78,51
"35",85,50,78,36,47,75,58,14,58,36,76,52,25,67,58
"36",66,52,73,42,61,98,54,12,68,54,63,70,34,62,56
"37",60,61,72,35,53,87,57,4,72,58,65,65,43,66,56
"38",59,55,71,51,54,77,48,8,55,63,53,51,49,68,46
"39",70,48,74,43,59,79,55,38,60,76,67,56,37,81,49
"40",56,44,79,43,48,80,51,10,56,75,56,52,27,80,48
"41",72,46,92,44,57,74,55,13,57,45,45,54,28,78,60
"42",66,60,76,53,57,77,51,14,63,45,55,55,20,71,47
"43",78,50,75,41,45,64,55,3,41,36,75,73,40,72,50
"44",61,60,70,41,50,92,48,6,50,56,52,58,32,60,58
"45",67,43,66,43,58,70,53,2,61,62,51,68,37,64,50
"46",61,58,73,46,51,64,58,3,69,56,65,62,24,71,54
"47",75,54,71,42,55,62,64,19,60,58,60,60,36,68,57
"48",65,51,70,57,57,83,54,18,64,54,67,59,31,70,47
"49",56,53,76,43,54,75,53,19,64,51,71,49,37,75,48
"50",62,53,86,47,60,75,59,22,66,38,62,65,18,72,56
"51",67,52,73,48,41,85,51,8,72,51,50,55,26,85,54
"52",74,64,76,36,52,69,49,7,52,48,64,70,31,73,50
"53",80,59,72,49,61,79,51,16,58,49,79,61,23,59,50
"54",93,55,72,48,57,75,59,26,69,50,68,59,37,81,51
"55",64,52,80,41,55,70,45,7,53,66,64,58,32,71,52
"56",64,46,68,45,50,75,56,19,60,59,62,67,40,81,51
"57",81,50,76,51,64,74,65,14,76,44,58,57,32,60,49
"58",78,49,81,49,50,82,64,9,50,53,70,61,44,64,58
"59",53,60,82,53,52,87,60,7,60,46,59,66,25,71,48
"60",67,46,74,50,58,91,50,11,58,58,61,58,38,60,50
"61",66,50,84,36,51,78,65,10,52,49,73,58,30,47,51
"62",72,44,82,40,57,79,50,20,84,35,61,58,41,78,48
"63",53,60,70,61,60,89,72,7,54,43,65,50,35,72,51
"64",66,56,81,59,58,63,55,8,56,50,78,54,65,62,42
"65",48,43,73,46,61,82,53,4,45,59,57,51,47,67,54
"66",60,63,77,41,51,87,57,14,43,59,59,63,40,69,53
"67",72,51,78,44,57,77,53,5,66,46,70,58,38,60,51
"68",65,61,77,49,66,71,52,7,55,42,59,61,44,63,53
"69",59,72,68,39,51,75,54,3,62,33,68,60,30,75,57
"70",80,52,81,45,52,71,51,6,55,58,50,64,17,81,60
"71",74,49,79,45,57,71,60,7,59,61,65,68,45,67,52
"72",53,66,69,33,71,86,58,14,69,40,68,53,26,68,56
"73",97,47,74,40,55,72,54,11,54,55,62,59,39,93,54
"74",72,47,92,44,52,86,55,4,57,32,72,70,24,82,56
"75",71,50,78,37,53,82,55,9,67,45,68,56,15,74,60
"76",72,53,71,38,64,85,51,14,52,46,61,58,36,68,50
"77",58,61,88,49,49,85,57,8,57,45,60,67,34,86,49
"78",69,64,73,41,56,82,56,2,41,50,99,62,34,66,51
"79",80,62,73,44,62,77,66,8,55,62,65,64,40,66,57
"80",58,40,82,39,53,72,63,10,57,52,56,61,41,71,46
"81",71,47,81,42,54,72,52,20,57,32,80,57,35,77,50
"82",76,57,75,48,57,68,66,12,53,50,67,55,42,83,55
"83",48,52,78,54,59,96,54,9,50,39,67,54,28,68,55
"84",69,62,65,48,51,70,54,11,54,59,58,69,31,84,49
"85",62,47,81,43,56,87,61,6,56,58,52,68,15,61,57
"86",64,51,64,55,55,79,59,17,58,46,63,62,16,81,52
"87",62,60,76,43,50,87,54,12,59,45,68,51,36,63,51
"88",75,54,69,48,57,72,60,11,56,36,77,68,47,92,61
"89",51,70,72,39,56,78,56,9,67,43,76,62,39,72,50
"90",63,63,71,47,60,55,53,16,47,44,63,58,28,85,45
