"","v Afghanistan","v Bangladesh","v England","v Hong Kong","v India","v Ireland","v Kenya","v Netherlands","v New Zealand","v Pakistan","v South Africa","v Sri Lanka","v U.A.E.","v West Indies","v Zimbabwe"
"1",45,36,40,33,30,1,34,28,7,59,9,39,33,17,57
"2",42,41,33,33,42,1,32,33,11,54,11,37,35,23,52
"3",51,39,38,26,35,1,32,31,9,46,10,36,34,22,50
"4",49,26,38,27,40,1,29,36,8,56,15,37,30,18,54
"5",46,34,34,36,40,3,27,32,11,48,9,40,34,21,59
"6",46,31,41,33,37,1,33,26,9,45,8,40,30,21,62
"7",40,32,34,31,39,1,28,29,9,44,9,37,28,19,58
"8",43,27,42,37,34,3,34,28,10,55,10,35,32,21,57
"9",46,45,37,29,36,4,34,32,8,53,12,37,30,28,50
"10",54,32,36,33,33,4,29,32,8,48,12,44,32,27,46
"11",50,37,43,30,34,2,39,36,7,54,8,50,34,24,51
"12",53,32,38,30,34,1,26,29,7,47,10,42,30,19,56
"13",46,29,44,30,27,1,33,35,9,54,12,38,25,23,48
"14",39,33,44,26,30,1,36,32,6,43,13,34,30,24,57
"15",50,33,35,28,33,11,28,31,8,46,10,41,34,26,50
"16",52,26,41,30,34,9,40,26,7,60,15,43,25,24,52
"17",51,32,38,34,41,6,28,31,10,52,11,37,31,20,62
"18",44,29,38,32,35,2,29,35,10,48,11,46,27,22,54
"19",44,36,35,26,39,1,37,35,10,51,11,36,26,19,53
"20",45,32,36,29,31,1,29,28,7,51,9,36,37,21,56
"21",52,35,42,29,36,3,27,30,6,48,11,53,28,20,52
"22",50,33,27,26,33,1,27,30,8,53,12,37,27,29,52
"23",42,43,40,30,38,8,34,35,12,57,11,42,31,28,58
"24",48,29,38,31,38,3,22,25,9,46,13,45,28,18,49
"25",50,33,44,34,47,2,29,36,7,48,10,37,30,19,53
"26",54,34,38,31,38,4,30,38,9,46,10,48,29,27,54
"27",42,37,40,31,33,1,30,32,9,63,13,39,26,22,55
"28",52,25,34,32,28,1,30,38,8,55,11,38,30,21,52
"29",48,36,45,32,41,2,36,29,7,48,12,35,31,24,50
"30",52,25,38,34,32,1,32,31,9,59,14,42,33,20,57
"31",52,33,34,30,29,2,31,34,8,48,12,41,33,22,50
"32",42,39,28,31,36,3,31,30,9,56,11,42,29,23,54
"33",47,31,43,24,26,3,33,31,10,51,12,40,29,25,53
"34",50,31,44,32,32,3,28,37,12,56,10,46,36,20,54
"35",51,35,33,37,35,7,34,32,6,52,12,47,31,21,58
"36",51,24,35,32,37,3,30,30,7,49,11,31,27,16,53
"37",48,42,45,31,35,6,34,34,7,57,11,39,29,29,53
"38",50,32,35,23,39,1,38,30,6,58,15,47,36,26,51
"39",49,42,41,33,26,1,31,31,7,49,12,34,30,23,52
