"","v Afghanistan","v Australia","v Bangladesh","v England","v Hong Kong","v India","v Ireland","v Kenya","v Netherlands","v New Zealand","v Pakistan","v Sri Lanka","v U.A.E.","v West Indies","v Zimbabwe"
"1",19,39,26,12,18,21,18,18,18,18,9,16,18,8,19
"2",18,35,26,11,18,22,18,19,19,19,9,14,19,11,18
"3",18,36,22,11,18,20,18,19,19,18,10,17,19,11,18
"4",18,40,22,11,19,20,18,18,18,19,11,18,18,10,18
"5",18,37,23,10,18,21,18,18,19,18,10,16,19,12,19
"6",18,36,23,10,19,20,18,18,18,18,13,17,19,11,19
"7",18,37,26,11,18,18,18,18,18,17,11,17,18,9,18
"8",19,37,27,11,18,19,18,18,18,19,10,16,18,9,18
"9",18,38,23,10,19,21,18,19,19,19,10,15,19,6,18
"10",19,39,22,10,19,21,19,18,18,18,9,16,19,14,18
"11",18,35,28,13,18,21,18,18,19,19,9,16,18,8,18
"12",18,34,24,11,19,21,17,18,18,18,12,18,18,11,18
"13",18,35,25,12,18,22,18,19,18,19,10,16,18,12,18
"14",18,35,22,10,19,21,19,18,17,18,10,13,18,13,19
"15",18,38,25,12,19,20,19,18,19,18,11,15,19,10,18
"16",18,36,28,11,18,21,18,18,18,17,12,18,18,14,19
"17",19,38,21,11,19,20,19,19,19,19,10,15,18,12,19
"18",18,34,22,12,18,20,18,18,18,18,10,14,19,7,18
"19",18,36,22,10,18,22,18,18,18,18,12,13,18,12,18
"20",17,38,20,12,18,20,18,18,19,18,10,17,19,11,17
"21",19,38,20,10,18,23,18,18,18,18,9,16,18,12,19
"22",18,37,23,11,18,18,18,18,18,19,11,17,18,15,19
"23",18,34,23,11,18,21,19,19,18,18,10,17,18,12,18
"24",18,39,21,12,18,21,19,18,17,19,8,13,18,10,18
"25",19,39,22,12,18,20,18,18,19,18,12,16,19,7,19
"26",18,36,21,11,18,20,19,19,19,18,9,12,18,11,18
"27",18,37,27,11,18,21,18,19,19,18,11,16,18,11,18
"28",18,40,22,12,19,22,19,18,17,18,10,15,18,7,18
"29",18,37,21,11,19,20,18,19,19,19,10,14,18,10,19
"30",18,36,22,11,18,20,19,19,18,18,9,17,18,8,18
"31",19,35,24,11,18,18,18,18,19,19,10,20,18,11,18
"32",19,35,24,13,18,19,18,19,18,18,10,14,19,8,18
"33",18,39,26,11,18,21,18,18,18,18,11,14,18,8,18
"34",18,32,24,13,18,21,19,18,18,18,9,14,18,9,19
"35",18,35,23,11,19,22,19,18,18,18,12,11,18,13,19
"36",18,38,23,11,18,20,19,19,18,19,9,17,19,10,19
"37",17,34,24,10,18,22,19,19,18,18,10,15,19,7,18
"38",18,35,23,13,18,20,18,18,17,18,8,18,18,12,19
"39",18,38,20,12,18,19,18,19,19,19,11,17,19,10,19
"40",19,37,22,12,18,21,18,18,18,19,12,12,18,11,18
"41",18,35,21,11,18,19,18,19,19,18,10,11,18,8,19
"42",19,34,21,11,19,22,19,18,18,18,15,9,19,11,19
"43",18,37,24,11,18,21,18,19,18,18,9,16,19,11,18
"44",18,36,27,12,18,20,18,18,19,18,10,14,19,11,18
"45",19,35,28,11,18,22,19,19,18,19,8,10,18,13,19
"46",19,37,21,11,19,22,19,18,19,20,11,16,18,6,18
"47",18,39,26,11,18,20,18,19,18,19,11,15,18,10,17
"48",18,37,27,10,18,21,18,18,19,18,11,21,18,7,18
"49",18,38,29,11,19,21,18,18,18,18,12,14,18,8,19
"50",19,35,20,10,18,20,18,18,19,18,8,20,18,15,18
"51",18,33,26,11,18,19,18,18,18,18,11,17,18,8,18
"52",18,35,23,11,18,22,18,18,18,19,11,15,18,10,18
"53",18,36,26,9,19,22,18,18,18,18,14,19,19,9,18
"54",18,34,26,12,18,20,18,18,18,18,12,18,18,9,18
"55",18,36,22,11,18,22,18,19,19,18,11,13,18,12,18
"56",18,36,20,11,19,19,18,19,18,18,11,14,18,8,19
"57",18,36,23,11,19,19,18,18,18,18,10,14,18,11,19
"58",18,36,25,10,18,23,18,18,18,18,14,20,19,9,18
"59",19,39,24,10,18,19,19,19,18,18,9,15,18,10,19
"60",18,36,25,11,19,21,18,18,20,19,10,18,19,12,18
"61",18,37,24,11,18,21,18,19,18,18,9,14,18,9,19
"62",18,40,21,9,19,22,18,19,18,18,7,14,18,13,19
"63",19,34,22,12,18,21,19,18,18,19,11,15,18,7,18
"64",18,37,26,12,19,21,19,18,18,19,11,15,19,5,17
"65",18,36,24,10,18,25,19,18,18,18,10,17,18,11,18
"66",19,36,23,11,18,19,18,19,18,18,6,13,18,9,19
"67",18,36,23,10,18,21,18,18,19,19,10,11,18,9,18
"68",19,37,29,11,19,19,18,18,18,19,10,13,19,10,19
"69",19,39,26,11,18,20,18,18,19,19,9,20,18,8,18
"70",18,41,19,11,19,21,18,17,19,18,11,12,19,15,18
"71",18,38,24,12,18,21,18,19,18,18,9,13,19,8,19
"72",18,36,24,10,18,19,18,18,18,18,11,16,18,11,19
"73",18,37,27,11,18,20,18,18,18,18,11,14,19,10,18
"74",18,35,28,12,18,22,18,19,18,19,11,15,18,15,18
"75",18,36,27,12,18,20,18,18,18,18,11,16,19,9,19
"76",19,32,22,11,18,19,19,18,19,18,11,20,18,10,18
"77",19,36,23,12,19,22,17,19,18,18,11,18,19,6,19
"78",18,37,23,11,19,21,19,19,18,19,11,13,17,13,19
"79",18,39,17,11,19,20,19,19,18,18,9,15,18,12,18
"80",19,37,24,11,19,19,19,19,17,18,15,15,19,10,19
"81",18,33,27,11,19,20,17,19,18,18,10,15,18,10,18
"82",18,35,20,10,19,22,18,18,19,18,10,14,18,9,18
"83",18,36,27,11,18,21,19,18,17,19,9,18,18,10,18
"84",18,41,27,10,18,21,19,19,18,18,11,16,18,8,18
"85",18,40,24,10,18,21,18,18,20,18,13,16,18,12,19
"86",18,36,22,11,19,21,20,18,18,19,11,13,18,13,19
"87",18,40,23,11,18,20,18,19,19,19,10,18,19,12,18
"88",18,35,25,11,19,21,19,18,18,18,12,17,19,9,19
"89",18,40,20,11,19,20,17,18,19,19,9,16,18,13,19
"90",18,35,21,12,17,20,18,18,18,18,12,12,18,15,18
"91",18,35,21,11,19,20,18,18,17,19,14,14,18,9,18
"92",18,39,26,11,18,23,19,18,19,18,14,17,17,7,18
"93",18,35,26,11,18,22,18,18,19,19,10,20,19,15,18
"94",19,36,22,11,19,19,18,18,18,18,11,15,19,7,17
"95",18,38,25,12,18,21,18,18,18,18,7,10,18,9,19
"96",19,37,22,10,18,21,18,18,18,18,11,18,18,7,19
"97",18,36,22,11,18,22,18,18,18,19,11,18,18,11,17
"98",18,35,28,11,18,22,18,18,18,18,6,18,18,11,18
"99",18,32,24,11,18,20,18,18,18,19,8,18,18,9,18
"100",18,36,24,12,18,19,18,18,18,19,10,11,19,8,18
"101",18,34,26,13,19,19,18,18,18,18,11,20,18,11,18
"102",18,35,22,11,18,21,18,18,19,18,9,13,19,18,19
"103",18,34,21,12,19,22,19,18,18,19,10,9,19,11,19
"104",18,38,23,12,18,21,18,18,18,19,13,10,19,8,19
"105",19,34,18,10,18,21,18,18,18,18,16,15,18,8,19
"106",18,37,24,11,18,18,19,18,18,18,9,15,18,12,18
"107",17,39,24,10,19,18,19,19,18,18,9,19,18,12,18
"108",19,39,25,11,18,19,18,18,18,18,10,15,18,14,18
"109",19,37,22,10,18,19,18,18,18,18,12,16,18,8,18
"110",18,34,24,11,18,20,18,18,17,18,12,11,18,9,18
"111",18,40,22,10,18,22,18,18,17,18,11,12,19,12,18
"112",18,35,25,11,18,19,18,18,18,18,10,17,19,15,18
"113",18,35,26,10,20,20,18,18,18,18,8,11,18,9,18
"114",18,38,22,11,18,21,18,18,18,19,13,17,19,9,18
"115",19,41,22,11,18,20,19,19,18,19,11,14,18,12,18
"116",18,36,21,11,18,20,18,18,18,19,9,15,18,12,19
"117",19,39,21,12,18,22,18,18,18,18,9,17,18,12,18
"118",19,37,18,10,18,21,19,19,18,18,10,18,19,8,18
"119",18,35,23,12,17,22,18,19,18,18,11,18,18,7,18
"120",18,36,23,10,19,21,19,19,18,17,10,14,18,7,18
"121",19,38,25,10,19,21,18,18,18,19,9,22,19,10,18
"122",19,37,25,11,19,22,19,18,18,18,10,18,17,9,19
"123",18,37,26,11,19,18,18,18,18,18,11,11,18,13,17
"124",19,37,24,11,18,20,18,18,17,18,10,18,18,11,18
"125",19,37,22,10,18,20,19,17,17,19,10,13,18,11,18
"126",18,37,31,10,19,19,18,19,18,19,7,13,19,8,18
"127",18,36,25,11,19,21,18,18,19,18,9,17,18,13,19
"128",18,35,24,13,18,20,18,18,19,18,10,17,18,14,19
"129",18,36,26,12,18,21,19,18,18,19,10,21,19,8,19
"130",18,39,26,10,19,21,19,18,18,18,8,15,19,11,18
"131",18,35,24,11,18,21,18,18,19,18,10,12,19,17,18
"132",19,38,25,10,18,20,18,18,17,19,8,15,18,7,18
"133",18,34,21,11,18,21,19,19,18,18,9,14,19,16,18
"134",18,37,26,10,18,21,19,19,19,18,10,14,19,17,18
"135",18,34,24,11,19,21,18,20,17,18,8,20,18,8,18
"136",18,36,22,12,18,19,18,18,18,18,11,19,19,10,19
"137",18,36,25,11,18,20,19,19,18,19,9,20,18,8,18
"138",18,34,29,11,18,22,19,18,18,18,11,17,18,13,18
"139",18,37,26,10,18,21,18,19,18,18,11,14,19,14,18
"140",19,37,27,12,19,19,18,19,17,19,10,17,18,14,18
"141",18,34,22,11,19,19,19,18,19,19,13,13,18,5,17
"142",18,37,24,11,18,20,18,18,18,18,11,17,18,4,18
"143",19,39,27,12,18,20,19,18,18,18,10,20,19,12,18
"144",18,35,23,11,18,20,19,19,18,19,10,15,18,14,19
"145",19,36,28,12,18,21,18,19,19,18,10,17,19,8,19
"146",19,35,27,10,18,19,18,19,19,19,8,18,18,11,18
"147",18,34,20,10,19,20,19,19,18,18,9,14,18,11,18
"148",18,37,23,11,18,21,18,18,18,19,8,18,18,12,18
"149",18,35,19,10,18,21,18,18,18,18,13,15,19,11,19
"150",18,39,20,11,18,21,18,18,18,18,11,15,18,9,19
"151",18,36,26,11,19,19,18,19,18,18,8,18,18,12,18
"152",18,36,29,10,19,20,19,17,19,18,13,13,18,8,18
"153",18,36,21,10,19,21,18,18,19,18,9,20,18,13,18
"154",19,36,24,11,19,20,18,18,19,18,8,14,18,10,18
"155",19,37,28,12,18,22,18,19,18,18,10,15,18,9,19
"156",18,39,25,12,19,20,19,18,18,18,9,18,18,10,19
"157",18,37,24,12,18,20,18,18,19,18,10,22,19,10,18
"158",19,36,27,10,18,19,18,18,18,18,10,13,18,11,18
"159",20,32,27,11,17,22,18,18,18,18,10,14,18,7,18
"160",19,35,22,10,18,22,18,19,18,19,11,17,18,12,19
"161",18,37,22,11,19,19,18,18,18,18,10,13,19,9,19
"162",18,36,26,12,19,20,18,18,18,18,9,17,18,18,18
"163",18,40,29,12,19,20,18,18,18,18,11,16,18,11,19
"164",18,37,28,11,18,19,19,19,18,19,12,17,18,11,18
"165",18,36,24,11,18,20,18,19,18,18,10,16,18,9,18
"166",18,35,24,10,18,21,18,18,18,19,12,17,18,14,18
"167",18,36,23,10,18,23,18,18,18,18,11,13,19,10,19
"168",18,37,20,12,18,21,18,18,18,18,12,14,19,10,18
"169",18,38,27,11,18,21,19,18,18,19,11,11,18,7,18
"170",19,40,23,10,18,21,18,17,19,18,9,12,18,10,19
"171",18,38,22,10,18,21,18,18,18,18,12,23,18,10,19
"172",19,36,26,12,19,19,19,18,19,18,11,14,18,6,19
"173",19,37,24,11,19,19,18,18,18,19,11,11,19,12,18
"174",18,34,22,10,18,21,19,18,18,19,9,18,19,7,18
"175",18,35,21,10,17,22,18,19,19,19,11,14,18,10,18
