"","v csk","v dc","v kxip","v kkr","v mi","v rr","v srh"
"1",38,29,57,35,52,42,29
"2",31,16,56,28,43,42,42
"3",28,23,49,28,53,46,34
"4",22,23,55,26,40,46,33
"5",26,6,50,24,51,43,28
"6",25,22,50,23,49,38,38
"7",23,17,54,26,40,41,29
"8",29,16,48,25,44,35,29
"9",27,18,51,29,43,41,37
"10",43,10,49,28,44,38,35
"11",28,23,49,29,43,41,28
"12",33,12,50,28,42,40,33
"13",26,20,59,30,49,40,32
"14",29,13,55,23,40,44,40
"15",29,27,55,34,28,44,44
"16",36,29,54,27,43,47,32
"17",22,16,55,31,45,38,32
"18",25,20,57,27,44,37,31
"19",27,15,53,33,45,47,31
"20",31,8,53,30,38,45,32
"21",25,15,47,24,40,41,34
"22",27,25,54,29,54,48,28
"23",27,8,58,27,41,46,31
"24",33,13,53,32,35,37,33
"25",24,23,58,25,36,46,29
"26",23,24,56,33,51,38,27
"27",24,25,56,29,46,50,28
"28",26,16,52,28,45,40,40
"29",28,12,49,28,50,40,30
"30",29,13,53,32,41,35,34
"31",34,14,53,26,48,41,36
"32",30,31,57,32,33,36,39
"33",32,22,54,26,42,42,29
"34",37,13,50,26,36,36,29
"35",22,32,56,29,53,41,38
"36",28,14,51,26,42,45,38
"37",31,18,49,28,36,42,32
"38",20,14,52,31,33,38,43
"39",24,10,50,22,38,40,31
"40",36,12,55,31,39,52,30
"41",34,19,48,34,35,39,37
"42",26,29,54,27,43,42,34
"43",23,12,48,30,46,40,26
"44",39,22,56,28,46,48,29
"45",21,14,55,28,43,39,34
"46",29,21,51,27,40,40,28
"47",29,24,53,33,38,40,33
"48",29,8,54,26,44,46,34
"49",19,13,52,25,61,38,36
"50",20,20,50,23,55,41,34
"51",20,23,54,31,51,41,28
"52",24,12,45,31,30,47,38
"53",26,12,54,31,48,43,32
"54",29,19,54,23,33,38,31
"55",21,27,55,28,46,42,25
"56",34,20,50,38,40,34,27
"57",39,14,58,32,43,43,33
"58",25,14,54,23,52,43,38
"59",28,13,51,36,46,43,37
"60",37,18,49,28,40,44,30
"61",21,12,50,30,57,39,30
"62",27,14,63,28,51,41,34
"63",34,12,55,28,30,37,42
"64",31,17,48,26,51,41,38
"65",29,14,53,26,57,45,37
"66",27,21,54,26,40,40,36
"67",23,20,48,26,55,35,34
"68",22,14,46,34,46,47,30
"69",25,11,53,22,53,41,26
"70",24,18,46,25,45,47,28
"71",26,22,57,34,36,42,36
"72",20,20,49,28,52,41,34
"73",29,16,49,27,54,37,37
"74",32,14,51,28,35,47,36
"75",26,16,55,27,55,42,33
"76",26,16,55,30,56,36,35
"77",28,18,50,24,37,43,30
"78",19,16,50,26,38,43,33
"79",26,21,49,30,48,37,26
"80",27,25,57,34,54,44,34
"81",31,16,52,32,41,39,36
"82",27,13,54,23,46,41,31
"83",21,16,53,29,48,36,38
"84",23,27,51,25,52,43,41
"85",32,15,60,26,38,40,35
"86",26,26,57,24,39,46,40
"87",31,17,49,34,39,49,36
"88",33,28,53,33,36,45,34
"89",37,16,62,26,37,37,28
"90",37,23,59,28,36,39,36
"91",27,17,47,34,43,42,42
"92",30,25,57,19,33,41,28
"93",26,16,49,26,38,43,25
"94",20,22,58,34,52,43,35
"95",20,16,48,38,45,49,37
"96",27,17,44,26,49,40,41
"97",27,16,46,31,44,46,34
"98",25,8,58,28,43,40,29
"99",22,11,58,26,40,40,32
"100",24,26,53,26,55,45,32
"101",32,26,51,22,36,41,36
"102",37,18,57,28,41,43,31
"103",18,18,61,22,44,48,23
"104",33,18,53,29,36,40,30
"105",28,10,50,30,35,49,32
"106",24,22,52,28,46,44,34
"107",23,14,53,34,33,43,36
"108",39,18,49,32,40,41,29
"109",19,24,47,27,54,41,31
