"","v Afghanistan","v Australia","v Bangladesh","v England","v Hong Kong","v India","v Ireland","v Kenya","v Netherlands","v Pakistan","v South Africa","v Sri Lanka","v U.A.E.","v West Indies","v Zimbabwe"
"1",112,29,55,49,55,37,58,59,53,72,45,41,50,51,78
"2",108,38,47,61,51,43,51,48,53,67,42,40,55,35,71
"3",115,44,50,60,56,44,43,68,56,57,46,38,58,35,74
"4",116,40,59,65,51,43,52,56,57,57,53,31,50,41,79
"5",115,43,55,52,49,29,51,52,58,57,42,40,59,41,77
"6",114,44,58,57,61,30,59,56,57,55,44,41,55,41,78
"7",112,36,56,57,56,41,51,59,58,57,49,38,65,31,76
"8",109,44,52,61,56,39,55,56,54,58,48,42,59,54,72
"9",114,37,59,57,53,32,56,66,59,49,43,39,58,30,74
"10",112,37,47,55,62,33,55,57,52,53,48,40,51,44,79
"11",112,43,58,57,50,49,58,58,54,68,46,30,62,42,73
"12",115,40,49,50,54,35,63,57,57,59,45,38,61,40,79
"13",113,48,62,59,52,34,60,55,63,57,48,41,52,38,78
"14",116,43,52,42,56,34,52,56,51,54,43,28,51,35,76
"15",115,37,46,50,46,37,46,57,61,51,60,38,59,49,74
"16",110,35,56,57,67,40,59,58,52,54,46,43,54,52,77
"17",115,33,63,55,56,41,55,47,52,65,47,31,60,33,80
"18",106,37,50,56,70,44,61,55,53,57,42,45,57,35,79
"19",107,50,50,50,59,39,60,59,57,60,43,36,59,55,74
"20",117,32,53,60,51,31,61,54,62,44,48,35,57,37,76
"21",115,39,48,54,54,32,59,59,64,53,36,32,56,45,77
"22",115,47,49,61,51,45,57,54,58,54,46,40,47,40,78
"23",111,44,50,59,69,44,57,53,51,59,43,39,54,45,81
"24",115,41,63,49,51,42,49,52,54,52,70,41,55,43,76
"25",120,36,48,48,49,40,51,54,53,58,44,42,62,29,76
"26",106,36,44,60,50,40,58,50,49,57,50,39,53,40,79
"27",102,41,59,50,64,34,52,52,50,70,44,43,57,47,76
"28",105,38,51,55,62,37,55,53,63,63,48,29,60,40,77
"29",118,39,53,49,56,38,55,56,52,49,44,34,53,30,75
"30",117,50,49,56,62,38,51,55,53,67,54,35,58,45,76
"31",109,33,58,55,53,39,60,55,68,60,54,37,50,47,76
"32",117,38,48,67,49,36,55,55,62,50,62,38,66,29,76
"33",105,42,54,65,62,33,49,62,57,51,44,37,61,45,76
"34",114,33,55,61,65,43,63,55,68,52,50,40,67,41,75
"35",110,40,60,57,59,55,51,53,65,67,51,40,50,43,75
"36",104,52,52,57,50,47,52,56,47,57,53,50,60,52,73
"37",120,38,49,51,53,33,52,51,57,58,49,52,62,35,77
"38",116,40,48,51,54,53,54,56,54,61,62,46,53,37,78
"39",119,36,57,56,61,40,53,48,54,56,40,43,55,50,77
"40",112,42,48,51,58,40,48,57,57,59,51,42,49,40,79
"41",110,44,57,55,48,52,57,51,58,55,47,39,63,37,77
"42",115,40,70,45,54,47,57,64,59,54,43,40,57,49,75
"43",115,35,64,59,59,32,45,43,65,58,39,37,54,49,72
"44",111,43,45,48,67,34,64,67,58,53,58,38,55,42,75
"45",111,37,53,56,55,43,64,58,67,48,37,40,47,34,79
"46",112,37,56,54,50,28,57,60,56,60,45,35,45,33,76
"47",111,41,55,55,50,37,47,61,53,56,49,35,59,45,75
"48",116,40,50,51,53,35,55,51,62,62,54,29,63,54,74
"49",114,42,57,49,66,49,51,68,58,59,62,43,52,56,76
"50",115,40,62,57,54,52,60,56,56,68,49,38,58,32,77
"51",122,29,59,50,51,55,56,52,62,72,49,25,61,41,76
"52",110,31,64,51,59,39,58,62,56,67,53,40,60,39,74
"53",107,44,50,62,51,40,50,53,57,55,56,34,66,31,75
"54",110,48,51,58,54,39,63,67,56,57,45,52,65,39,80
"55",113,36,53,61,47,30,55,56,55,51,52,50,49,40,76
"56",115,41,55,47,46,50,56,46,62,68,49,35,54,42,74
"57",112,36,65,48,58,33,59,59,53,61,58,40,60,54,76
"58",110,44,53,37,47,45,58,60,64,64,56,40,60,43,72
"59",106,43,46,54,49,51,64,46,57,62,52,37,50,32,82
"60",114,38,55,54,57,29,54,57,61,48,47,41,61,34,77
"61",124,39,55,51,59,33,54,59,61,59,47,46,63,52,80
"62",111,39,47,45,55,40,60,47,53,60,45,47,59,30,75
"63",106,43,53,52,69,51,58,56,58,49,60,46,66,34,77
"64",110,42,50,51,53,38,61,50,45,56,36,35,58,23,77
"65",113,36,50,55,58,48,53,55,54,50,43,37,55,35,74
"66",109,39,53,49,49,36,64,53,63,46,44,36,57,47,76
"67",112,35,49,50,52,33,54,62,57,51,38,33,63,52,71
"68",109,42,50,55,49,49,57,52,54,63,47,37,50,44,80
"69",114,37,47,54,64,32,50,52,48,51,49,50,59,43,76
"70",115,43,60,50,55,38,57,44,52,62,36,34,53,43,76
"71",110,37,60,42,47,30,64,59,48,46,56,26,60,43,74
"72",108,39,64,57,59,46,56,53,59,58,50,40,53,47,76
"73",114,31,45,57,61,32,55,50,50,67,46,33,52,45,76
"74",115,39,54,56,50,44,55,62,54,63,43,27,59,34,75
"75",111,37,60,42,54,49,61,55,66,53,58,41,62,45,75
"76",111,45,46,59,52,40,60,56,55,54,45,39,50,30,71
"77",110,40,55,55,53,33,52,60,61,57,59,49,57,45,75
"78",114,32,54,49,58,40,56,61,65,53,44,32,60,56,73
"79",114,36,41,51,52,49,62,51,57,58,46,33,62,43,81
"80",111,48,47,58,59,44,49,56,60,51,52,47,51,38,78
"81",110,49,59,55,57,47,44,61,53,49,69,48,52,48,75
"82",108,37,54,65,52,35,41,55,57,56,39,37,56,41,72
"83",110,41,46,55,61,31,63,56,58,59,50,30,62,37,75
"84",105,36,56,49,53,35,52,72,61,48,44,35,52,39,79
"85",116,39,51,57,60,44,63,52,52,64,39,40,56,33,77
"86",112,40,55,58,53,46,54,57,71,63,45,37,52,51,76
"87",119,38,51,63,59,45,58,55,60,55,46,43,57,46,77
"88",121,43,50,63,59,40,57,56,49,54,38,34,66,46,75
"89",112,44,47,60,60,47,70,62,55,53,43,48,58,39,75
"90",110,41,59,64,54,35,59,49,53,57,44,46,49,42,78
"91",114,40,56,53,57,43,49,58,53,55,45,41,60,44,76
"92",110,36,52,60,54,39,71,56,61,58,51,33,62,51,75
"93",116,41,44,51,51,47,58,49,59,52,43,42,51,40,76
"94",116,29,51,49,58,34,53,47,48,68,52,37,54,41,74
"95",116,32,48,52,50,40,57,45,48,50,44,37,64,53,75
"96",105,56,50,57,55,39,59,52,60,59,49,45,53,38,71
"97",114,36,55,59,49,39,50,63,63,45,47,42,56,46,78
"98",107,32,53,66,60,37,56,54,49,57,43,26,60,48,81
"99",113,45,59,60,53,41,55,69,57,65,38,31,63,40,75
"100",112,39,50,65,50,43,53,65,59,57,43,42,57,47,76
"101",118,34,47,40,59,39,66,54,63,62,56,33,64,44,75
"102",117,42,59,66,63,45,64,51,53,55,37,29,59,47,76
"103",111,31,51,54,50,44,53,52,60,49,42,34,51,51,77
"104",110,33,43,54,57,37,53,50,59,60,39,34,58,39,72
"105",113,37,51,64,52,50,70,56,52,59,42,39,46,56,75
"106",119,39,67,53,64,35,60,62,59,56,63,41,52,44,75
"107",110,42,50,46,61,48,52,59,68,59,45,43,57,24,73
"108",112,45,60,56,46,36,53,47,58,54,47,40,48,69,79
"109",116,41,57,48,50,33,63,50,61,58,40,34,59,32,78
"110",111,46,56,54,56,33,62,55,58,52,46,45,55,44,77
"111",109,41,61,53,61,32,65,52,61,39,40,46,57,39,73
"112",115,34,51,55,59,34,67,63,68,60,40,31,59,45,77
"113",111,37,62,54,60,30,59,57,53,57,51,43,50,43,77
"114",121,44,58,55,57,41,62,60,58,46,45,28,60,36,76
"115",110,47,52,51,54,40,48,68,52,46,64,42,58,37,81
"116",116,30,52,50,60,36,55,55,52,49,31,28,46,39,81
"117",114,44,56,48,49,31,56,49,48,57,44,32,64,30,76
"118",105,34,53,54,63,28,53,51,54,52,53,41,52,46,77
"119",120,43,51,57,56,45,56,57,55,51,60,35,53,54,76
"120",111,47,52,47,49,43,60,59,44,53,55,34,66,52,73
"121",117,38,44,45,54,38,60,45,54,73,52,35,51,39,79
"122",109,39,56,56,63,36,52,51,59,59,36,30,48,50,77
"123",116,34,53,43,43,51,53,59,54,48,51,35,64,51,75
"124",104,44,53,52,59,32,54,68,52,51,50,44,73,39,76
"125",113,40,50,59,56,36,50,60,60,54,54,46,61,36,76
"126",116,39,53,58,50,45,60,61,56,45,50,37,53,43,72
"127",111,34,49,54,56,39,58,57,52,60,41,37,52,40,76
"128",113,32,52,52,59,56,65,64,63,55,42,44,53,37,79
"129",111,49,51,51,62,42,60,53,63,51,54,38,56,37,71
"130",108,41,53,57,57,41,66,60,54,51,50,37,50,37,75
"131",115,37,56,48,56,38,59,63,63,43,50,46,46,41,74
"132",114,44,59,54,45,35,62,69,54,59,41,42,50,43,82
"133",118,48,60,39,54,46,53,66,47,65,51,32,59,35,76
"134",103,39,46,58,63,33,55,55,53,53,41,30,63,39,72
"135",117,40,58,63,48,34,46,51,56,50,47,40,48,22,81
"136",110,37,57,56,56,40,53,69,48,61,59,38,50,31,79
"137",117,44,61,57,47,45,52,53,47,39,47,45,51,47,78
"138",109,39,55,56,58,38,57,56,62,59,36,34,49,39,75
"139",109,42,57,53,65,41,58,58,50,60,49,47,71,45,78
"140",115,30,54,53,53,47,61,62,51,62,41,34,55,32,76
"141",114,35,54,50,53,22,63,61,54,47,60,46,53,53,73
"142",113,39,52,49,53,42,51,58,57,67,55,37,51,27,79
"143",115,38,49,59,52,29,50,53,58,62,46,45,54,36,84
"144",112,37,46,63,56,52,54,61,54,55,41,29,53,34,74
"145",109,41,57,54,62,38,62,57,56,51,50,44,61,32,76
"146",112,48,58,57,59,35,59,66,50,57,57,32,58,45,75
"147",113,39,58,58,65,27,50,57,61,55,54,41,59,49,75
"148",111,35,53,65,55,44,63,51,53,58,40,31,50,39,79
"149",116,48,55,43,60,44,64,63,53,54,46,41,60,44,72
"150",107,31,53,43,54,43,49,56,52,54,46,42,56,38,73
"151",112,37,66,55,56,41,54,57,61,62,42,38,61,58,77
"152",108,41,51,50,62,35,63,70,55,55,55,30,45,31,76
"153",113,46,54,51,58,43,61,60,60,63,37,49,58,39,72
"154",109,39,56,51,56,43,60,62,63,51,43,39,55,52,74
"155",110,36,64,61,60,37,62,52,53,40,47,43,54,39,77
"156",110,40,52,57,52,33,56,54,52,61,42,34,56,34,75
"157",113,39,58,56,47,44,58,49,58,53,49,37,52,40,75
"158",116,43,46,59,56,51,54,56,63,53,62,39,50,36,72
"159",105,44,64,59,55,40,62,52,58,55,47,38,49,40,73
"160",113,44,56,63,59,33,51,54,59,42,42,44,61,33,75
"161",109,40,47,47,60,33,44,57,60,64,46,44,58,45,75
"162",116,38,55,55,50,44,53,49,57,56,50,33,63,28,72
"163",114,44,50,66,57,26,70,55,63,58,49,27,48,42,76
"164",119,37,53,45,47,36,51,53,49,66,42,38,64,46,79
"165",113,37,60,58,59,37,49,63,53,80,43,26,58,47,75
"166",113,36,57,51,62,34,63,62,64,52,32,47,59,45,80
"167",109,38,57,65,54,36,50,52,60,48,39,41,57,33,73
"168",112,37,53,62,52,54,58,66,55,60,62,47,59,65,75
"169",108,43,48,55,66,49,53,57,69,64,53,39,57,40,72
"170",115,45,56,52,54,37,57,53,56,53,48,41,45,32,75
"171",105,48,53,50,52,38,51,48,54,49,49,36,53,43,81
"172",110,35,52,53,46,38,47,54,54,56,44,43,54,45,72
"173",124,36,49,56,53,39,47,62,58,54,35,26,52,40,73
"174",111,43,61,61,51,39,64,55,58,46,46,51,44,37,77
"175",110,44,58,63,51,37,52,51,57,58,65,39,57,42,77
"176",111,38,59,60,53,51,52,64,59,65,53,35,53,44,80
"177",113,41,54,53,60,50,60,44,64,60,45,42,45,38,76
"178",107,37,61,66,54,36,46,49,64,49,37,46,51,36,79
"179",106,39,49,59,44,40,54,54,60,57,38,35,55,53,76
"180",106,39,48,60,65,34,53,50,57,57,51,33,57,30,78
"181",109,42,51,56,56,38,56,48,50,46,54,35,60,53,76
"182",112,48,50,57,53,52,61,60,50,59,46,34,55,48,76
"183",113,36,55,53,56,36,57,43,49,59,54,37,53,46,74
"184",120,44,49,67,59,37,68,65,53,53,53,32,58,49,73
"185",106,40,61,57,48,37,57,57,54,58,50,35,55,49,75
"186",105,35,49,49,64,39,56,62,53,50,47,38,56,38,73
"187",108,38,50,59,59,35,58,57,59,62,40,42,61,33,76
"188",110,36,52,58,51,39,64,53,67,53,46,47,47,36,76
"189",118,48,51,57,54,38,61,59,57,64,51,30,40,29,78
"190",115,32,46,54,55,39,54,52,62,38,39,39,64,59,74
"191",119,49,59,56,56,28,53,60,52,54,51,37,51,57,74
"192",108,33,54,62,55,27,52,63,66,55,40,44,54,35,76
"193",108,44,50,52,47,57,57,55,43,59,43,38,48,34,75
"194",119,38,54,59,55,40,58,52,48,46,39,33,52,51,77
"195",113,34,46,48,54,37,67,54,57,45,59,48,48,36,78
"196",112,36,49,48,50,45,49,61,59,55,46,39,63,36,80
"197",105,39,60,49,68,35,52,52,71,59,44,40,56,44,79
"198",115,36,57,61,60,38,54,48,66,68,42,32,54,37,75
"199",110,33,53,53,62,38,47,53,53,70,46,48,51,58,75
"200",114,37,46,58,62,32,56,56,51,53,62,42,56,40,74
"201",113,43,54,62,63,49,57,51,59,46,52,37,61,51,78
"202",114,41,59,41,68,37,45,52,50,60,36,36,60,42,74
"203",111,43,47,57,63,38,59,60,61,53,55,47,64,37,76
"204",107,41,55,53,54,32,51,51,52,59,64,39,53,39,77
"205",117,50,56,55,49,34,56,45,53,58,46,40,64,38,82
"206",108,30,49,45,58,37,53,55,63,60,39,45,54,48,74
"207",117,39,50,55,49,49,65,59,61,55,51,41,55,32,75
"208",115,40,52,52,63,37,56,61,57,50,61,37,48,40,76
"209",121,43,57,48,53,44,47,55,65,63,48,38,53,37,75
"210",119,47,55,48,56,51,44,57,61,66,49,36,65,36,74
"211",111,36,55,43,54,43,64,64,55,52,38,35,67,39,72
"212",117,44,45,51,47,54,55,54,56,57,59,45,61,34,74
"213",118,40,58,51,61,35,52,64,43,54,52,46,48,37,78
"214",111,38,59,48,55,34,58,56,48,48,42,34,62,38,79
"215",115,35,49,56,55,38,53,60,55,60,59,36,49,35,74
"216",116,46,57,52,65,48,49,44,47,59,55,46,49,30,76
"217",106,41,50,54,63,45,50,52,66,50,33,33,56,31,78
"218",113,53,49,66,62,57,63,50,54,50,56,52,49,41,77
"219",111,35,51,55,57,37,52,59,57,53,68,30,51,57,81
"220",106,45,51,46,61,41,50,55,54,52,53,43,54,30,79
"221",110,42,50,49,55,49,51,50,56,58,55,41,58,55,78
"222",119,31,59,63,53,37,56,55,53,59,33,39,46,37,76
"223",106,32,54,60,57,38,55,60,54,51,41,39,47,36,77
"224",111,41,47,51,54,52,51,65,63,54,50,42,54,36,75
"225",112,35,59,48,64,40,47,57,59,51,50,51,63,50,75
"226",114,38,52,55,52,43,60,56,55,60,53,32,52,51,79
"227",109,36,44,61,52,43,56,54,50,54,49,41,48,49,74
"228",108,34,45,56,60,52,59,65,65,53,37,38,67,39,71
"229",116,42,60,59,68,36,65,56,56,58,49,38,45,47,74
"230",116,37,54,58,56,38,56,66,53,59,42,31,51,50,74
"231",108,41,58,51,45,28,50,59,54,51,51,41,60,38,78
"232",116,36,60,55,57,37,58,50,50,52,54,41,56,36,76
"233",119,40,41,54,65,38,78,57,61,54,48,42,51,31,75
"234",107,31,56,45,58,46,59,48,60,58,50,38,49,33,78
"235",114,30,56,53,62,34,65,61,51,51,55,47,60,46,83
"236",111,31,54,53,55,48,51,55,49,46,40,36,47,44,72
"237",111,36,60,67,51,45,65,55,57,49,39,38,47,51,71
"238",112,40,56,53,55,40,54,59,55,66,44,42,59,38,78
"239",108,39,55,58,53,45,61,56,49,66,54,37,55,49,80
"240",115,36,59,57,56,35,54,65,54,65,62,45,55,42,77
"241",107,39,49,62,54,42,63,55,54,49,43,29,54,40,73
"242",113,41,60,53,58,38,56,62,60,60,52,35,55,34,75
"243",118,39,45,47,51,38,54,59,55,51,62,33,59,62,79
"244",119,47,58,54,58,44,57,58,66,51,48,36,62,32,74
"245",113,45,57,66,61,35,50,63,55,54,36,36,63,40,79
"246",112,38,58,61,56,40,57,58,58,58,45,45,50,44,76
"247",109,37,55,51,61,52,59,56,57,61,64,39,70,41,78
"248",112,40,57,52,46,35,51,56,61,48,41,44,63,43,79
"249",107,42,53,51,62,48,58,64,56,44,46,41,45,51,77
"250",114,43,49,53,54,44,54,55,57,61,37,32,53,43,80
"251",117,38,62,65,48,33,57,55,43,56,58,42,58,60,80
"252",112,38,50,51,59,36,64,58,56,50,35,43,60,39,75
"253",122,40,53,59,53,38,63,54,60,65,57,32,58,49,76
"254",115,42,54,59,58,33,54,53,63,69,45,32,62,31,78
"255",105,40,54,69,50,44,55,47,61,49,41,48,58,42,73
"256",121,38,48,56,56,42,47,48,53,66,38,39,53,41,72
"257",112,34,54,48,41,60,55,54,56,64,57,36,55,41,75
"258",115,36,57,51,65,48,59,50,55,52,39,29,49,47,70
"259",101,38,51,57,62,33,49,48,52,64,77,37,50,32,77
"260",107,36,66,60,59,43,49,54,59,67,52,43,57,32,76
"261",117,48,55,56,56,44,65,66,55,60,48,36,65,35,73
"262",114,42,51,52,55,37,48,53,50,61,50,44,64,51,72
