,teams,V1b,V2ars,V3ar,V4bo,V5ars,V6bo,V7bo,V8bo,V9bo,V10ar,V11ars,V12bo,V13ars,V14wk,V15bo
v Afghanistan,v Afghanistan,145,101,8,8,NA,62,NA,16,18,75,119,9,36,NA,5
v Australia,v Australia,12,36,NA,0,NA,8,NA,7,13,23,39,4,NA,NA,0
v Bangladesh,v Bangladesh,20,130,11,0,NA,25,NA,NA,12,48,108,6,NA,NA,NA
v Bermuda,v Bermuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,112,NA,NA,NA,NA
v Canada,v Canada,17,177,NA,NA,NA,8,NA,NA,NA,89,104,NA,NA,NA,NA
v England,v England,113,142,32,6,22,28,9,40,3,113,112,5,25,21,11
v Hong Kong,v Hong Kong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v India,v India,24,42,NA,NA,NA,6,NA,NA,NA,9,75,1,NA,NA,NA
v Ireland,v Ireland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Kenya,v Kenya,NA,87,NA,NA,NA,3,NA,NA,NA,142,104,1,NA,NA,NA
v Netherlands,v Netherlands,5,101,NA,NA,NA,1,NA,NA,NA,34,84,NA,NA,NA,NA
v New Zealand,v New Zealand,36,14,NA,14,NA,16,NA,NA,16,49,48,0,9,NA,1
v Pakistan,v Pakistan,18,109,NA,0,NA,11,NA,14,1,84,107,0,NA,NA,NA
v P.N.G.,v P.N.G.,7,27,NA,NA,NA,8,NA,NA,NA,12,111,NA,NA,NA,NA
v Scotland,v Scotland,105,113,NA,NA,NA,4,NA,5,5,98,101,0,45,NA,11
v South Africa,v South Africa,58,40,NA,0,NA,25,NA,2,NA,48,17,0,NA,NA,0
v Sri Lanka,v Sri Lanka,NA,27,NA,NA,NA,18,NA,79,5,64,73,18,NA,NA,NA
v U.A.E.,v U.A.E.,102,126,NA,0,NA,7,NA,6,NA,69,139,NA,1,NA,3
v West Indies,v West Indies,135,92,29,NA,19,19,0,25,17,68,29,10,34,31,9
v Zimbabwe,v Zimbabwe,101,72,21,NA,NA,13,NA,23,2,73,49,1,NA,56,NA
v Afghanistan1,v Afghanistan,37.12,43.28,7.5,3.25,NA,25,NA,8.18,9.5,30.05,21.08,5.25,16.37,NA,5
v Australia1,v Australia,12,22.5,NA,0,NA,8,NA,7,13,14.66,13.6,12,NA,NA,0
v Bangladesh1,v Bangladesh,16,39.4,11,0,NA,19,NA,NA,13,22.37,42.11,9,NA,NA,NA
v Bermuda1,v Bermuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,112,NA,NA,NA,NA
v Canada1,v Canada,17,68.25,NA,NA,NA,8,NA,NA,NA,54.4,63.75,NA,NA,NA,NA
v England1,v England,28.14,30.63,32,6,11.33,19,9,32,2.5,25.9,31.22,5,12.5,9.33,13
v Hong Kong1,v Hong Kong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v India1,v India,24,21,NA,NA,NA,4.5,NA,NA,NA,4.33,52.66,1,NA,NA,NA
v Ireland1,v Ireland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Kenya1,v Kenya,NA,61,NA,NA,NA,3,NA,NA,NA,44.28,39.5,1,NA,NA,NA
v Netherlands1,v Netherlands,5,47.66,NA,NA,NA,1,NA,NA,NA,19.71,54.66,NA,NA,NA,NA
v New Zealand1,v New Zealand,18,6,NA,7.5,NA,8.5,NA,NA,22,25,23.66,0,4.5,NA,1
v Pakistan1,v Pakistan,18,42.33,NA,0,NA,14,NA,14,1,34.4,24.57,0,NA,NA,NA
v P.N.G.1,v P.N.G.,7,27,NA,NA,NA,8,NA,NA,NA,12,111,NA,NA,NA,NA
v Scotland1,v Scotland,34,33.72,NA,NA,NA,4,NA,5,5,45.5,23,0,26,NA,11
v South Africa1,v South Africa,58,19.66,NA,0,NA,19,NA,2,NA,28.5,9.8,0,NA,NA,0
v Sri Lanka1,v Sri Lanka,NA,17.66,NA,NA,NA,18,NA,79,2.5,19.5,33.75,18,NA,NA,NA
v U.A.E.1,v U.A.E.,40.2,32.33,NA,0,NA,12,NA,6,NA,50.5,78.66,NA,1,NA,3
v West Indies1,v West Indies,39.85,33,20,NA,16.5,7.2,0,14.33,15.66,29,11.83,19,16.33,12,9
v Zimbabwe1,v Zimbabwe,31.87,38.18,24,NA,NA,11.66,NA,50,2,24.09,16.61,2,NA,43.5,NA
