,teams,V1ars,V2wk,V3bo,V4bo,V5ar,V6bo,V7b,V8bo,V9b,V10ar,V11ars,V12ar,V13s,V14b,V15bo,V16wk
v Afghanistan,v Afghanistan,79,13,NA,NA,NA,NA,57,NA,22,NA,NA,NA,NA,48,NA,NA
v Australia,v Australia,100,38,17,16,25,4,114,27,49,74,61,45,14,117,36,NA
v Bangladesh,v Bangladesh,108,137,19,12,37,4,118,6,87,52,64,17,NA,107,7,NA
v Bermuda,v Bermuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Canada,v Canada,34,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,74,NA,NA
v England,v England,118,79,18,4,38,19,189,12,49,19,55,67,5,181,10,NA
v Hong Kong,v Hong Kong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v India,v India,118,103,55,10,58,12,111,39,75,57,80,29,12,112,0,22
v Ireland,v Ireland,NA,104,NA,NA,NA,NA,NA,NA,44,30,NA,20,NA,59,10,NA
v Kenya,v Kenya,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,85,NA,NA
v Netherlands,v Netherlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v New Zealand,v New Zealand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Pakistan,v Pakistan,123,68,20,13,74,6,100,48,58,97,82,48,24,131,0,NA
v Scotland,v Scotland,38,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,61,1,NA
v South Africa,v South Africa,145,64,28,21,60,4,180,NA,57,71,NA,24,5,102,15,NA
v Sri Lanka,v Sri Lanka,103,86,18,13,NA,NA,138,20,87,64,124,38,0,137,19,NA
v U.A.E.,v U.A.E.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v West Indies,v West Indies,148,37,17,5,16,NA,237,0,49,28,83,10,NA,110,NA,NA
v Zimbabwe,v Zimbabwe,100,110,3,NA,NA,NA,116,NA,9,37,NA,NA,NA,119,NA,NA
v Afghanistan1,v Afghanistan,112,13,NA,NA,NA,NA,28.5,NA,22,NA,NA,NA,NA,72,NA,NA
v Australia1,v Australia,39.58,13.28,6.18,10,10.8,2,34.37,9.75,17,25.71,17.33,25.14,9.5,37.29,13.2,NA
v Bangladesh1,v Bangladesh,52.75,44.77,8.66,12,52,8,57.3,5.5,37.33,24.33,43.66,34.5,NA,59,7,NA
v Bermuda1,v Bermuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Canada1,v Canada,34,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,74,NA,NA
v England1,v England,54.61,40.85,8.9,3.33,13,19,47.17,5.75,9.33,18.66,20.66,41.62,7,49.1,10,NA
v Hong Kong1,v Hong Kong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v India1,v India,39.36,53.92,21.33,6.5,23.83,7,28.9,31.5,26.14,21.88,39.4,16.87,3.25,47.75,0,15.5
v Ireland1,v Ireland,NA,59.5,NA,NA,NA,NA,NA,NA,22,30,NA,20,NA,84,10,NA
v Kenya1,v Kenya,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,85,NA,NA
v Netherlands1,v Netherlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v New Zealand1,v New Zealand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Pakistan1,v Pakistan,55.23,19.83,16.6,13,56.66,6,45.33,49,23.33,50,34,19.25,18.5,63,0,NA
v Scotland1,v Scotland,38,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,70,1,NA
v South Africa1,v South Africa,47.85,25.11,18,17.5,65.33,4,33.73,NA,28.6,24.5,NA,14.66,2.5,35.18,19,NA
v Sri Lanka1,v Sri Lanka,38.05,23.18,15.25,13,NA,NA,43.8,26,39,170,55,59,0,33.88,55,NA
v U.A.E.1,v U.A.E.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v West Indies1,v West Indies,41.18,17.87,16.66,7,16,NA,53.45,0,25,19,118,10,NA,54.23,NA,NA
v Zimbabwe1,v Zimbabwe,75.6,54.75,3,NA,NA,NA,95.14,NA,9,37,NA,NA,NA,121,NA,NA
