"","v Afghanistan","v Australia","v Bangladesh","v Bermuda","v Canada","v England","v Hong Kong","v India","v Ireland","v Kenya","v Netherlands","v New Zealand","v Scotland","v South Africa","v Sri Lanka","v U.A.E.","v West Indies","v Zimbabwe"
"1",292,350,368,391,390,388,386,326,419,379,390,313,367,419,449,443,385,771
"2",284,330,335,354,350,344,338,370,346,354,369,313,338,462,422,385,352,527
"3",294,318,290,395,391,356,368,419,366,392,393,335,364,463,419,435,387,760
"4",253,329,351,388,361,374,293,312,397,376,376,317,375,411,463,404,311,726
"5",262,297,342,358,364,386,357,361,368,339,355,299,356,454,380,374,260,665
"6",249,288,315,362,349,386,356,336,401,350,382,325,352,376,464,373,308,720
"7",256,271,339,360,329,355,361,303,409,336,351,293,338,360,426,375,275,668
"8",309,337,371,377,365,380,362,295,399,357,377,315,351,409,467,390,369,526
"9",321,322,363,389,387,379,345,325,409,390,382,328,378,433,493,414,304,727
"10",324,345,378,388,386,386,378,358,473,379,391,332,384,422,438,412,357,801
"11",314,367,360,369,332,348,396,314,434,351,370,315,327,395,455,381,349,549
"12",294,345,298,388,394,313,367,376,380,378,385,318,359,475,395,379,340,731
"13",301,298,393,402,361,415,360,375,440,376,402,308,366,482,374,404,290,740
"14",301,354,338,394,388,366,339,298,398,378,384,361,382,445,465,420,315,730
"15",298,356,363,355,332,325,339,308,381,334,377,299,342,412,474,400,335,515
"16",300,333,314,372,333,325,382,367,385,359,355,314,330,472,377,379,358,542
"17",241,322,275,359,355,297,325,343,385,339,362,332,321,381,427,370,326,749
"18",280,345,336,392,381,343,363,407,381,378,383,321,359,475,432,418,357,764
"19",299,310,366,355,319,359,354,347,360,342,373,286,333,466,394,374,255,459
"20",282,391,333,400,371,336,357,389,384,379,386,294,363,468,401,423,382,762
"21",287,297,352,375,373,370,373,348,375,365,372,299,348,463,412,403,241,661
"22",297,361,355,380,364,348,353,300,395,351,381,295,350,408,450,393,320,528
"23",288,318,390,398,389,425,316,376,377,407,394,337,406,492,428,441,356,799
"24",279,315,341,383,368,397,358,320,374,358,376,306,355,489,427,409,235,667
"25",341,379,391,392,378,383,397,352,387,372,408,315,368,494,426,419,364,606
"26",215,308,268,388,335,331,290,380,347,350,359,327,370,477,409,388,365,722
"27",352,323,386,418,412,432,415,350,383,408,406,324,403,520,420,437,354,799
"28",296,322,336,367,324,378,389,360,401,351,339,296,338,464,391,368,278,495
"29",338,341,366,371,386,360,374,319,370,361,379,298,360,506,403,403,328,537
"30",305,375,349,349,357,377,365,313,401,361,376,300,335,426,483,380,328,525
"31",294,334,394,395,365,410,376,325,462,379,406,333,353,418,427,404,370,814
"32",340,346,397,378,368,382,394,326,381,377,378,327,374,498,419,394,338,553
"33",299,366,310,350,328,310,352,377,390,372,353,313,328,464,390,375,346,533
"34",339,364,389,412,382,441,405,335,373,382,412,325,373,497,475,421,370,576
"35",276,348,320,407,385,331,380,367,381,387,372,325,387,479,409,398,359,748
"36",295,311,297,393,373,351,347,363,357,373,366,311,347,475,425,378,358,721
"37",280,351,363,385,384,407,325,328,347,386,393,324,396,515,406,390,312,747
"38",343,380,378,392,387,397,380,352,368,379,379,315,383,475,451,401,341,537
"39",326,343,410,417,372,418,370,352,386,357,393,295,389,509,424,428,345,613
"40",233,327,275,378,354,325,321,356,385,344,364,322,338,375,461,405,342,731
"41",268,314,373,375,382,388,371,329,425,368,410,308,365,415,435,403,377,788
"42",237,296,338,374,351,373,295,328,341,356,350,316,349,454,410,375,241,683
"43",255,313,306,368,365,361,366,346,410,353,378,324,340,368,491,380,251,677
"44",309,339,332,396,386,368,346,300,404,373,393,340,397,442,461,435,311,726
"45",285,308,344,401,396,419,330,346,355,388,389,341,389,492,476,405,320,751
"46",287,324,359,401,395,389,380,297,409,386,374,331,375,416,479,422,317,752
"47",304,372,385,376,328,379,319,338,366,376,376,313,372,490,413,395,339,583
"48",243,277,328,356,332,376,346,357,417,342,361,324,331,364,410,379,257,669
"49",285,324,322,403,373,361,354,406,367,378,383,347,335,490,405,431,399,769
"50",347,360,398,392,413,420,406,342,383,385,408,318,370,486,444,433,359,618
"51",298,335,336,377,369,342,369,374,409,375,395,300,361,478,386,431,428,807
"52",284,351,312,372,333,317,373,378,379,338,356,310,358,476,413,393,362,524
"53",326,331,375,386,368,387,346,317,336,367,368,285,366,510,407,405,322,519
"54",239,281,331,351,338,390,287,368,356,354,362,300,341,474,386,397,246,677
"55",306,347,350,375,354,365,363,309,400,347,375,317,344,398,496,402,328,543
"56",222,291,285,378,358,337,379,428,356,335,360,304,332,437,368,370,304,652
"57",261,290,329,364,377,357,355,359,419,351,364,328,327,364,473,398,276,680
"58",342,347,406,393,393,410,380,348,382,382,409,312,387,508,424,412,369,584
"59",258,310,352,356,341,403,345,337,394,357,358,322,355,458,403,393,263,710
"60",290,316,302,373,361,329,333,392,375,389,372,321,364,467,388,393,388,742
"61",290,297,341,366,353,362,348,320,377,343,372,298,359,495,402,369,252,657
