"","v Australia","v Bangladesh","v Bermuda","v Canada","v England","v Hong Kong","v India","v Ireland","v Kenya","v Netherlands","v New Zealand","v Pakistan","v Scotland","v South Africa","v Sri Lanka","v U.A.E.","v West Indies","v Zimbabwe"
"1",214,332,264,216,272,235,245,261,214,216,290,282,296,186,213,251,252,225
"2",175,261,256,276,231,319,240,305,256,247,311,293,309,176,191,287,245,264
"3",200,233,221,235,207,271,229,253,251,192,151,3212,295,147,189,293,260,268
"4",215,274,242,230,238,203,240,267,193,239,256,263,288,177,194,185,235,214
"5",217,256,227,204,223,276,198,248,237,195,200,260,261,122,195,203,259,239
"6",202,297,249,191,233,277,244,283,264,211,186,192,334,141,197,289,251,268
"7",183,241,236,233,203,218,235,271,208,196,241,249,298,223,174,216,245,232
"8",186,250,245,243,268,257,231,295,253,247,287,262,334,148,210,198,269,212
"9",191,246,221,238,187,201,181,220,234,189,247,291,242,137,186,227,217,178
"10",157,284,261,261,225,316,248,281,241,223,277,308,307,193,195,281,259,252
