"","v Afghanistan","v Bangladesh","v England","v Hong Kong","v India","v Ireland","v Kenya","v Netherlands","v New Zealand","v Pakistan","v South Africa","v Sri Lanka","v U.A.E.","v West Indies","v Zimbabwe"
"1",366,453,278,292,380,248,299,298,239,323,263,205,287,251,337
"2",381,451,285,341,411,364,320,335,328,308,267,230,339,302,350
"3",386,489,278,342,452,273,339,348,308,329,303,246,340,302,378
"4",410,432,259,310,344,308,278,301,325,320,269,215,324,254,273
"5",384,478,342,330,350,270,329,335,275,326,276,206,327,319,358
"6",313,263,300,289,354,300,265,310,339,290,246,219,304,286,273
"7",254,337,254,287,390,322,270,282,294,294,269,188,295,304,302
"8",433,521,288,354,346,402,311,348,443,292,254,204,340,309,332
"9",253,286,261,293,378,319,290,277,295,313,243,197,297,337,278
"10",283,328,238,288,308,346,280,292,336,271,256,201,272,288,264
