"","v Afghanistan","v Australia","v Bangladesh","v England","v Hong Kong","v Ireland","v Kenya","v Netherlands","v New Zealand","v Pakistan","v South Africa","v Sri Lanka","v U.A.E.","v West Indies","v Zimbabwe"
"1",383,404,365,363,425,465,399,364,376,407,230,380,336,402,554
"2",342,362,350,369,386,426,363,297,322,413,283,317,275,361,376
"3",345,359,412,346,375,407,361,320,388,335,317,379,319,363,390
"4",326,359,435,334,420,460,384,354,426,331,299,371,311,375,522
"5",366,349,400,319,398,456,388,354,402,372,307,384,347,383,548
"6",339,365,362,331,395,436,374,334,365,385,271,374,276,355,412
"7",348,320,407,296,432,496,383,341,419,365,263,354,338,398,560
"8",339,353,345,352,396,448,350,290,365,318,261,355,268,367,339
"9",318,382,394,346,408,500,368,338,421,402,293,376,294,343,537
"10",365,336,405,317,427,524,388,360,417,368,309,419,362,397,547
