"","v Afghanistan","v Australia","v Bangladesh","v Bermuda","v Canada","v England","v Hong Kong","v India","v Ireland","v Kenya","v Netherlands","v New Zealand","v Scotland","v South Africa","v Sri Lanka","v U.A.E.","v West Indies","v Zimbabwe"
"1",247,292,269,371,337,302,336,431,360,327,351,299,323,444,409,391,311,637
"2",307,344,397,410,384,417,337,334,411,409,431,330,394,503,432,451,328,824
"3",255,287,346,367,336,397,298,332,366,363,372,304,338,449,394,372,264,679
"4",279,315,378,386,379,381,359,332,417,361,381,315,369,411,444,413,356,784
"5",330,370,382,376,378,371,368,340,350,372,376,316,369,514,427,416,331,521
"6",292,331,349,399,361,411,359,345,427,364,385,333,362,478,399,423,285,738
"7",263,297,349,370,379,384,358,361,370,362,369,298,372,470,420,386,248,657
"8",248,314,343,365,344,371,345,333,430,344,360,310,330,377,429,387,280,684
"9",273,362,369,374,368,356,360,332,381,352,363,292,353,482,404,401,268,464
"10",361,343,365,369,393,392,381,361,373,365,404,300,375,488,481,402,339,532
"11",254,314,314,354,338,360,359,321,414,347,356,313,337,399,449,395,288,652
"12",247,322,271,357,322,286,352,374,361,325,353,285,314,428,380,378,284,650
"13",225,327,261,349,339,294,310,331,394,341,356,335,336,397,443,359,346,710
"14",340,362,385,385,377,370,370,339,350,362,382,300,373,513,411,393,324,513
"15",245,308,376,379,360,412,279,326,392,361,379,316,364,396,431,397,327,769
"16",258,315,331,380,363,394,291,314,388,374,386,352,370,402,478,414,314,761
"17",244,309,287,345,327,319,341,404,375,333,337,294,319,475,391,376,324,662
"18",297,296,370,409,354,409,373,382,433,376,395,316,348,469,397,394,283,725
"19",287,354,301,378,333,309,351,362,335,345,338,327,314,466,429,384,370,489
"20",243,299,335,381,358,386,316,368,405,366,356,297,365,459,400,372,221,695
"21",259,323,289,380,334,343,308,384,373,369,371,320,379,464,397,397,357,759
"22",292,313,354,379,385,400,311,328,362,406,373,316,373,481,420,447,301,752
"23",248,320,265,358,346,304,355,424,367,338,355,304,328,464,400,359,289,662
"24",297,335,393,375,349,375,354,293,407,345,363,295,358,400,450,384,360,521
"25",301,344,345,380,334,405,391,336,369,344,370,311,329,453,443,384,270,494
"26",298,346,378,350,349,373,338,321,314,361,373,301,360,486,383,384,318,558
"27",272,290,355,375,386,360,342,312,401,363,381,314,358,396,460,407,363,747
"28",288,337,312,399,401,388,397,417,388,378,388,312,384,452,446,423,385,781
"29",304,338,373,381,363,406,387,383,385,360,412,318,373,495,410,414,302,720
"30",314,335,330,417,367,351,380,410,381,399,390,347,380,477,383,407,402,755
"31",281,327,383,421,378,392,348,349,403,411,407,337,379,495,422,422,332,821
"32",253,333,361,391,352,383,310,319,412,377,386,340,381,409,444,401,327,758
"33",283,333,366,393,371,385,330,349,360,368,378,308,370,489,425,387,346,554
"34",289,322,358,402,373,367,361,317,405,368,393,315,369,414,436,411,347,806
"35",268,308,350,368,371,359,367,327,373,366,373,282,339,469,403,375,255,653
"36",341,373,421,392,346,404,402,352,420,374,402,299,376,487,401,440,389,616
"37",343,382,422,386,372,420,373,351,451,370,415,327,417,480,406,416,371,606
"38",268,307,272,339,322,312,358,401,354,331,333,308,330,459,367,352,299,638
"39",345,378,408,409,393,410,389,348,391,361,395,306,368,509,400,424,365,594
"40",280,346,298,378,380,351,339,386,347,362,375,305,353,477,404,415,352,722
"41",283,359,386,383,343,418,306,330,340,366,360,317,342,475,417,416,315,531
"42",339,330,386,434,432,410,402,368,427,411,417,312,401,515,418,433,367,800
"43",305,342,370,378,336,359,367,319,389,353,384,312,345,405,456,383,377,517
"44",341,357,375,393,394,403,374,323,368,388,376,330,387,495,465,405,327,535
"45",347,355,381,420,357,389,393,321,372,367,382,280,358,502,421,391,333,557
"46",298,348,381,386,359,353,368,289,452,357,373,336,338,414,461,382,382,548
"47",311,325,362,375,338,376,389,358,376,343,366,290,333,471,431,388,289,506
"48",283,328,347,375,357,398,341,373,380,357,380,291,362,450,401,386,262,662
"49",350,341,372,427,408,430,369,363,384,439,420,334,417,494,450,458,331,790
"50",253,342,330,382,367,392,309,307,417,372,376,360,371,405,504,414,336,762
"51",244,289,325,355,353,372,331,333,414,344,354,310,351,374,434,380,260,671
"52",331,325,379,422,401,392,365,379,434,402,428,322,406,480,411,434,336,798
"53",289,325,397,410,382,425,335,388,362,400,403,328,422,488,408,442,345,805
"54",245,315,262,356,334,307,351,385,394,340,371,319,337,438,387,375,287,670
"55",305,349,380,386,330,388,388,321,408,345,372,314,348,466,386,368,282,482
"56",247,324,341,375,353,368,314,283,400,367,374,331,352,408,425,405,346,750
"57",276,305,342,383,394,386,341,314,406,368,386,310,384,392,425,414,326,742
"58",229,302,249,361,337,336,307,413,346,322,343,317,322,441,376,375,297,646
"59",248,286,337,356,328,370,322,330,404,344,349,329,337,369,434,373,293,669
"60",235,289,288,367,340,347,357,409,367,340,346,324,331,445,404,364,304,646
"61",299,317,370,375,371,404,398,378,389,380,376,303,366,445,408,412,286,729
"62",304,343,326,396,375,360,340,415,375,386,413,303,368,464,399,422,402,737
"63",342,353,392,391,397,404,413,328,364,373,420,315,398,483,463,426,325,516
"64",284,322,321,386,391,355,356,389,345,382,386,338,362,474,417,418,334,699
"65",338,363,388,379,365,368,390,340,392,375,393,287,362,476,435,418,326,558
"66",278,340,377,415,383,415,306,339,377,393,390,332,405,486,430,418,327,778
"67",237,332,297,347,350,314,345,381,371,352,356,308,332,450,410,365,312,639
"68",293,370,323,351,344,311,323,371,338,344,362,340,335,496,424,398,372,534
"69",237,316,348,391,356,377,317,303,386,370,388,313,384,420,455,409,314,745
"70",290,340,366,418,397,456,332,358,388,407,411,343,405,486,437,433,320,835
"71",328,329,418,428,417,417,379,378,381,393,424,316,387,510,418,438,351,775
"72",304,350,402,432,423,432,362,343,384,412,399,323,421,505,406,425,380,810
"73",273,329,331,377,373,381,360,350,408,356,386,303,381,484,406,393,267,705
"74",292,340,375,368,348,404,378,334,402,345,372,325,348,393,477,395,348,530
"75",250,323,288,379,347,331,310,370,385,340,354,314,337,377,442,402,370,711
"76",240,307,264,365,319,324,369,405,396,349,369,319,333,445,377,386,311,676
"77",329,360,406,383,374,406,419,350,388,367,397,320,372,485,422,424,335,567
"78",297,320,375,391,389,429,320,376,353,388,424,300,415,474,423,449,343,798
"79",275,334,385,392,394,423,306,367,338,397,388,320,407,487,433,413,318,749
"80",292,315,359,387,366,383,343,296,416,381,405,321,370,418,448,424,324,753
"81",286,344,344,398,387,384,343,292,392,372,367,339,385,445,461,403,309,719
"82",290,293,354,344,323,356,371,332,363,326,349,288,316,447,369,374,263,452
"83",324,354,379,412,404,397,374,356,390,396,410,334,422,508,403,439,334,766
"84",226,294,274,357,342,350,356,401,370,354,376,321,346,433,401,373,282,652
"85",232,307,271,356,327,330,360,378,405,335,371,311,328,431,385,391,269,674
"86",304,333,307,370,337,343,383,365,339,339,379,308,360,465,420,407,354,528
"87",234,287,349,372,356,331,315,308,399,365,374,313,356,394,448,400,330,751
"88",294,322,319,391,361,359,347,381,425,377,392,334,355,493,392,402,406,800
"89",339,377,385,396,396,394,369,307,360,384,372,295,347,511,440,405,334,521
"90",233,338,313,377,355,333,291,379,326,364,378,329,354,477,423,374,335,712
"91",297,327,367,414,366,401,368,368,444,387,403,337,381,418,433,417,396,777
"92",291,310,326,374,385,372,346,308,397,362,382,309,363,430,450,401,361,721
"93",284,333,364,402,401,409,347,340,348,403,405,339,388,492,445,399,340,745
"94",287,323,360,410,414,388,381,336,437,369,395,345,374,411,436,424,373,778
"95",241,293,273,358,320,297,330,336,369,351,356,304,331,385,435,412,365,703
"96",303,319,371,395,393,435,360,363,384,397,426,340,387,483,449,449,346,795
"97",234,306,319,366,337,370,328,322,452,349,364,311,337,384,427,384,297,690
"98",307,377,392,400,321,395,307,349,397,377,384,296,357,495,437,394,320,578
"99",238,290,348,381,359,402,337,361,364,336,389,305,349,463,427,376,256,701
"100",339,352,381,390,406,414,354,318,354,374,371,306,364,516,428,424,343,532
"101",284,326,394,409,399,440,344,355,363,407,399,311,389,479,410,423,341,792
"102",324,341,389,413,402,422,349,368,405,412,411,295,399,495,412,431,367,773
"103",235,301,282,358,334,338,372,368,396,345,347,312,327,375,432,412,376,703
"104",312,308,380,386,371,425,384,352,413,389,408,313,353,450,400,390,269,745
"105",295,343,322,364,344,328,374,390,351,334,374,305,343,468,433,375,368,535
"106",294,326,329,406,371,367,376,413,379,381,398,338,378,463,423,436,361,782
"107",310,326,364,388,408,410,366,342,382,404,402,309,375,506,402,419,351,804
"108",344,401,361,380,386,403,363,334,355,371,387,300,373,523,436,411,328,514
"109",308,364,308,355,338,322,339,380,378,354,359,321,343,468,406,357,336,532
"110",295,310,362,342,335,347,358,333,360,329,333,298,341,469,389,364,271,481
"111",263,321,355,376,377,399,370,394,402,396,379,314,354,456,380,424,315,731
"112",270,312,300,380,394,351,359,384,383,379,396,317,377,484,391,407,393,782
"113",342,347,383,389,386,421,375,338,359,364,388,295,375,488,437,386,322,539
"114",247,303,275,383,361,305,322,384,398,355,399,367,345,378,465,398,349,709
"115",293,328,387,379,347,386,384,317,398,350,383,301,337,422,438,400,359,543
"116",277,330,345,375,364,381,328,295,390,369,385,312,360,422,447,399,315,730
"117",341,353,383,382,405,396,377,364,361,366,377,306,372,482,442,416,337,538
"118",318,350,389,414,403,418,375,338,373,382,390,306,373,507,406,462,347,794
"119",234,305,267,357,363,338,395,402,372,346,370,329,357,427,433,413,292,667
"120",305,303,355,376,383,376,408,363,378,371,371,324,386,450,425,384,237,668
"121",231,285,328,372,333,391,314,345,350,353,374,298,357,453,392,397,251,680
"122",232,317,293,371,355,316,326,341,421,346,363,307,339,405,424,380,374,696
"123",236,274,343,366,351,363,341,312,455,331,363,295,335,387,420,370,280,690
"124",270,358,373,372,357,354,373,344,362,348,377,303,325,466,395,369,290,460
"125",271,317,360,410,382,425,387,371,401,386,383,329,360,451,459,419,281,752
"126",304,311,380,406,381,382,350,341,413,397,393,333,387,421,445,432,401,795
"127",290,322,394,411,390,462,362,359,379,392,397,333,389,487,412,421,378,795
"128",279,347,384,399,395,445,320,366,405,420,400,316,404,510,403,423,370,798
"129",272,316,368,398,372,411,348,360,408,380,379,328,363,451,419,428,282,722
"130",283,334,365,384,377,404,341,320,326,382,388,311,394,490,420,388,302,741
"131",319,362,303,360,352,336,353,386,354,381,367,319,355,464,397,378,371,505
"132",273,315,339,343,335,363,355,339,365,334,343,278,308,445,414,383,279,463
"133",295,368,410,385,349,378,339,327,376,384,387,327,372,488,413,382,325,574
"134",300,318,365,353,331,378,378,328,365,349,338,285,311,439,409,385,267,513
"135",333,349,372,436,413,452,375,391,393,408,417,331,425,507,450,443,337,791
"136",282,325,361,383,380,386,308,342,329,384,381,333,378,498,421,400,314,748
"137",338,360,402,437,428,431,387,364,382,414,409,322,413,481,430,436,349,813
"138",236,267,309,344,336,340,327,318,430,339,365,293,327,376,413,372,288,654
"139",229,297,324,360,350,347,364,303,416,331,362,290,338,393,442,383,277,682
"140",289,325,362,407,385,374,376,301,433,377,391,325,396,422,448,424,336,773
"141",231,300,296,370,324,319,362,385,364,325,356,309,343,445,380,369,287,668
"142",301,352,378,405,363,412,335,353,348,366,391,311,364,475,427,413,321,535
"143",265,351,295,382,370,349,348,375,388,384,385,322,386,510,399,386,352,728
"144",242,326,261,370,341,308,367,376,367,341,352,309,337,461,426,408,295,648
"145",353,362,385,408,370,419,378,361,386,377,382,318,387,503,422,423,376,588
"146",278,333,366,402,362,417,374,367,391,369,377,312,356,471,431,399,274,712
"147",280,315,382,398,380,389,377,343,439,384,395,332,375,420,456,430,395,777
"148",282,324,299,374,402,371,355,374,351,352,392,309,370,456,421,404,347,712
"149",240,303,266,343,351,356,344,395,365,345,379,347,326,433,423,383,311,664
"150",255,270,279,372,335,327,365,398,378,342,374,313,335,448,373,403,293,658
"151",258,314,354,352,326,358,346,346,369,340,347,272,337,465,388,376,281,473
"152",235,344,325,372,353,391,335,338,357,371,391,328,357,475,415,389,246,654
"153",283,312,325,382,375,355,367,413,393,350,410,322,386,477,391,415,408,782
"154",292,369,380,377,371,397,340,342,333,354,374,284,356,499,424,398,308,562
"155",275,311,314,391,402,333,346,382,353,376,375,314,353,480,410,402,339,722
"156",306,336,367,358,338,373,380,355,404,345,356,299,342,468,382,369,265,501
"157",284,292,365,407,398,422,341,340,425,390,398,325,382,426,454,420,373,795
"158",274,332,338,375,367,372,349,361,365,369,416,292,386,479,383,424,374,768
"159",265,325,343,381,355,376,314,319,406,373,378,338,372,404,463,404,364,764
"160",252,304,300,383,362,322,277,390,340,360,379,332,372,469,407,400,406,728
"161",287,357,354,391,398,384,386,302,401,376,393,324,377,442,466,424,321,720
"162",281,315,355,378,352,409,359,362,380,358,398,294,365,467,367,403,275,717
"163",241,306,278,379,328,343,345,399,383,350,372,330,350,445,419,384,286,651
"164",277,322,353,380,360,392,394,355,408,368,389,315,361,487,406,403,310,723
"165",320,331,361,364,342,372,372,334,391,370,383,322,350,422,451,392,363,534
"166",298,307,309,389,382,354,351,393,354,377,386,325,380,493,405,416,359,736
"167",290,362,357,402,426,396,292,319,366,394,392,357,392,488,471,417,321,738
"168",250,340,340,378,368,364,307,321,395,376,379,350,353,435,466,411,340,732
"169",286,318,344,389,393,392,395,310,408,384,401,328,369,407,500,432,315,734
"170",275,329,286,393,378,338,337,365,378,390,399,340,360,448,397,393,345,712
"171",271,337,401,392,378,398,319,345,367,389,386,321,377,481,401,425,379,792
"172",279,316,365,337,337,382,380,323,353,338,343,284,342,454,409,383,266,465
"173",291,369,314,379,338,332,361,376,343,364,397,303,340,473,411,410,363,503
"174",332,347,377,410,401,381,408,335,374,405,409,323,397,513,412,438,344,808
"175",342,350,412,384,359,385,399,352,383,376,373,280,341,495,380,402,347,585
"176",259,318,290,385,365,321,321,364,394,361,378,339,348,394,443,398,355,719
"177",302,326,369,394,377,406,329,346,371,393,396,335,404,490,432,428,316,755
"178",230,304,345,366,355,376,292,336,387,367,383,339,368,412,440,413,346,737
"179",297,355,380,367,350,403,345,317,347,363,406,340,377,487,425,394,337,558
