"","v Afghanistan","v Australia","v Bangladesh","v Bermuda","v Canada","v England","v Hong Kong","v India","v Ireland","v Kenya","v Netherlands","v New Zealand","v Pakistan","v Scotland","v South Africa","v Sri Lanka","v U.A.E.","v West Indies"
"1",222,147,226,310,281,246,196,241,255,347,341,400,238,235,210,221,358,259
"2",260,152,248,304,308,241,189,242,257,332,354,398,248,274,230,214,389,278
"3",260,159,191,293,278,229,189,218,229,320,311,385,262,215,186,218,324,276
"4",230,156,244,298,299,234,210,243,240,335,320,377,230,222,190,216,350,287
"5",235,157,218,315,305,230,186,222,263,308,339,400,279,223,241,205,343,254
"6",246,134,222,309,295,244,193,246,264,336,340,384,226,258,204,235,367,260
"7",267,153,226,298,265,226,188,220,245,318,312,389,246,244,166,219,342,273
"8",229,172,240,300,315,236,181,241,243,328,325,398,274,252,206,201,329,283
"9",244,156,266,314,305,239,209,261,249,329,347,393,284,246,197,209,341,277
"10",236,164,250,315,308,233,216,252,244,358,357,399,239,243,216,234,371,295
"11",245,150,215,307,290,225,184,239,238,350,338,407,257,232,202,232,327,299
"12",253,164,220,287,299,224,180,247,224,327,325,371,218,243,182,209,356,277
"13",265,154,224,304,305,216,186,241,236,324,313,379,219,244,205,196,352,273
"14",269,141,228,310,295,226,178,249,247,343,341,396,244,246,211,227,363,279
"15",261,161,219,308,294,234,221,242,255,335,342,396,262,268,209,204,338,288
"16",269,152,213,298,299,215,199,234,217,324,318,382,246,211,173,177,328,301
"17",249,163,237,310,323,244,178,221,241,323,342,412,280,242,216,211,340,291
"18",268,167,231,317,300,252,232,236,232,331,361,412,268,252,221,200,345,267
"19",263,153,211,309,290,245,190,235,243,326,332,384,270,222,211,200,334,267
"20",244,141,234,313,301,233,191,238,249,338,361,377,227,252,239,220,360,287
"21",252,165,211,292,297,223,173,221,227,312,325,391,247,237,170,205,337,284
"22",239,153,261,316,298,249,199,259,259,341,357,380,234,235,217,220,379,288
"23",216,158,257,311,303,234,200,243,228,321,346,388,228,222,204,208,364,244
"24",241,162,214,294,289,232,191,208,260,314,313,372,224,232,179,216,355,260
"25",243,161,256,310,298,237,225,243,244,343,346,417,272,246,223,201,334,249
"26",217,146,256,300,292,230,203,223,267,335,340,386,218,235,210,211,370,362
"27",239,150,223,309,314,238,206,224,251,336,331,397,218,234,230,207,365,262
"28",259,163,240,307,295,243,194,234,272,337,352,376,245,260,222,223,372,273
"29",210,155,232,318,303,241,203,229,255,319,339,406,228,246,197,229,359,275
"30",251,160,247,306,307,243,193,254,254,320,353,392,291,240,207,199,355,278
"31",251,158,216,297,285,229,184,244,241,332,317,389,207,227,184,201,354,278
"32",267,158,226,309,302,221,211,218,252,303,345,412,267,240,216,201,342,286
"33",270,168,258,318,307,247,218,245,250,338,346,402,286,248,218,189,335,282
"34",244,149,234,319,295,233,198,232,231,338,350,391,255,229,222,225,369,265
"35",261,157,216,300,299,237,179,222,262,300,321,392,260,240,175,185,322,281
"36",235,163,218,296,284,221,169,240,224,329,315,373,248,233,164,213,352,265
"37",255,154,223,310,298,230,195,255,261,334,338,386,266,229,196,209,335,258
"38",243,147,250,302,307,236,198,231,264,322,334,390,281,247,202,199,340,273
"39",249,153,232,310,311,236,191,252,245,354,332,402,261,249,204,205,330,339
"40",217,143,214,286,287,221,205,239,231,328,322,368,238,234,206,198,342,259
"41",268,169,235,293,289,211,203,234,226,312,315,386,257,227,181,180,308,292
"42",220,149,251,310,295,233,231,254,258,333,350,399,228,253,215,219,369,266
"43",231,151,234,301,309,239,206,213,252,336,347,375,239,238,207,214,368,264
"44",286,165,248,314,279,233,179,257,232,326,348,379,274,237,196,207,346,281
"45",263,157,228,294,280,222,188,233,220,320,314,397,263,238,173,188,325,278
"46",249,155,219,291,289,232,194,226,267,336,319,378,214,225,188,211,353,270
"47",249,157,217,325,308,262,202,247,241,356,360,379,269,236,207,212,343,284
"48",258,168,243,307,296,249,190,242,238,322,336,402,254,247,201,223,339,279
"49",236,165,249,314,295,246,218,233,237,333,352,399,237,254,210,220,364,256
"50",264,165,242,306,293,241,213,247,240,320,338,402,284,254,218,205,345,274
"51",245,154,217,300,275,239,197,252,236,314,347,397,242,252,211,194,335,272
"52",240,162,237,306,295,217,192,236,249,325,333,382,274,241,198,205,334,267
"53",262,155,253,316,303,247,227,251,238,335,349,389,254,261,226,239,366,266
"54",276,155,227,290,287,218,195,228,223,319,315,383,253,228,175,204,333,285
"55",255,159,220,310,308,231,195,237,264,319,342,418,275,227,213,209,328,302
"56",237,155,237,306,286,241,192,241,262,343,337,397,250,224,209,197,340,260
"57",276,166,231,296,294,220,198,223,219,339,314,380,244,228,187,197,325,279
"58",278,156,210,291,282,236,212,235,242,332,341,377,282,241,206,208,329,266
"59",235,164,257,303,287,224,172,244,242,322,320,359,213,221,187,208,355,274
"60",209,142,239,302,298,227,201,239,252,330,347,383,208,245,201,221,363,268
"61",255,146,221,303,295,227,188,227,252,335,346,375,239,234,212,223,362,254
"62",219,147,240,301,307,231,196,242,237,322,345,382,217,244,211,217,371,256
"63",252,139,209,307,294,230,180,242,230,318,346,399,228,236,215,216,361,285
"64",242,163,235,325,295,244,209,242,243,329,360,395,272,247,205,204,342,266
"65",240,171,211,296,280,222,189,236,241,334,307,361,214,237,199,199,362,273
"66",247,159,222,292,296,226,174,234,265,327,325,368,207,239,203,221,358,274
"67",251,180,249,321,299,248,172,239,238,330,341,396,268,237,208,207,345,278
"68",232,151,231,288,285,219,201,238,234,323,329,379,210,230,180,201,369,269
"69",249,155,241,297,304,232,199,225,251,323,344,395,252,240,208,217,336,272
"70",246,167,218,296,290,229,204,227,221,316,316,390,229,246,187,185,317,280
"71",235,164,243,312,303,245,208,245,265,339,338,410,261,249,207,224,373,279
"72",239,154,192,296,301,217,186,229,237,316,304,399,206,241,171,219,354,264
"73",272,170,260,323,301,244,196,228,265,327,345,398,290,248,205,219,347,289
"74",276,159,223,305,291,227,217,231,233,312,322,364,248,220,178,180,337,272
"75",273,169,243,310,332,241,201,244,236,336,334,397,286,258,223,210,343,279
"76",208,168,229,289,289,230,169,246,229,326,321,386,217,217,173,205,356,266
"77",263,148,231,298,281,227,187,228,243,344,321,376,208,230,178,221,362,286
"78",230,146,225,319,271,234,188,233,234,326,357,386,227,254,215,221,366,252
"79",223,152,199,306,305,247,189,254,253,344,347,386,243,245,224,223,357,273
"80",249,159,249,312,305,256,196,230,249,341,339,398,251,247,212,234,357,272
"81",243,161,204,312,295,238,217,235,232,332,324,407,258,249,206,221,339,267
"82",223,161,229,291,278,226,205,227,250,325,303,385,233,235,174,214,351,269
"83",214,165,247,321,330,245,194,237,238,330,355,385,250,264,238,228,362,283
"84",245,156,233,306,289,251,203,246,247,353,347,377,242,236,217,216,363,268
"85",242,153,210,293,290,215,188,236,250,312,321,370,218,212,170,209,356,282
"86",267,170,247,321,305,248,211,247,257,336,343,396,285,247,221,206,348,302
"87",251,161,256,314,299,245,207,237,240,340,353,401,289,237,198,212,345,283
"88",267,160,219,300,274,218,194,239,242,310,318,385,246,236,168,193,325,285
"89",273,157,236,307,321,241,196,242,240,339,335,392,271,261,213,193,342,278
"90",222,148,244,304,283,225,202,231,246,341,340,382,236,247,233,245,364,274
"91",231,140,233,310,313,233,205,237,233,339,334,378,231,227,223,232,361,265
"92",240,150,240,322,312,249,200,256,236,358,344,381,269,245,226,219,376,263
"93",233,153,224,312,308,243,196,221,253,326,344,379,214,216,220,252,362,268
"94",245,142,239,311,314,240,169,242,245,344,343,384,228,228,206,234,364,251
"95",264,147,227,302,285,232,220,231,248,332,351,396,255,242,209,199,339,280
"96",257,158,232,309,318,241,205,233,242,337,349,379,241,230,223,226,371,274
"97",239,153,223,303,286,234,191,230,239,330,345,397,208,232,226,248,369,270
"98",238,146,237,302,294,252,179,228,235,319,350,363,241,225,231,220,367,288
"99",267,165,221,292,312,231,161,243,227,329,305,382,228,236,190,210,358,270
"100",268,155,232,298,291,216,189,240,217,323,316,369,256,232,184,191,326,266
"101",252,150,234,299,290,221,193,247,241,332,308,362,198,227,185,217,354,286
"102",251,152,209,302,277,231,185,234,242,302,311,383,260,242,187,216,323,276
"103",218,144,215,300,307,236,190,248,245,325,342,387,218,234,209,235,355,260
"104",231,153,250,290,272,237,186,237,235,328,313,370,214,219,190,198,358,283
"105",247,163,222,311,284,232,172,228,228,318,303,396,269,227,179,189,316,281
"106",242,156,237,303,288,241,185,216,230,347,354,398,273,244,187,197,328,271
"107",251,156,252,316,304,236,193,241,243,346,359,392,265,246,200,212,338,281
"108",279,171,224,320,306,234,227,250,243,316,338,382,268,232,205,198,342,270
"109",271,161,212,295,282,210,168,216,247,297,323,382,258,226,199,181,330,277
"110",248,149,206,309,300,229,198,235,247,332,346,390,278,234,202,218,340,274
"111",235,163,238,318,301,243,233,237,256,342,332,380,253,241,226,225,367,263
"112",262,156,207,300,285,224,187,236,238,342,310,396,259,225,176,200,331,290
"113",236,155,226,286,276,225,187,225,240,328,309,389,217,229,176,220,350,296
"114",271,167,221,305,304,241,191,236,232,325,337,373,270,241,210,217,343,271
"115",249,163,226,293,285,219,216,220,229,327,318,380,260,229,172,187,326,274
"116",237,160,233,310,291,225,182,236,253,320,347,376,224,254,218,243,364,250
"117",239,166,240,296,288,219,186,236,247,324,307,386,232,217,184,216,356,275
"118",255,162,229,313,313,233,187,220,250,328,348,386,251,225,211,221,339,275
"119",230,155,261,328,293,247,220,237,250,332,355,398,231,228,226,225,365,273
"120",239,170,222,302,299,216,173,246,218,310,321,386,248,229,167,205,322,284
"121",209,146,217,294,307,232,215,248,246,329,318,375,227,237,196,225,358,278
"122",238,154,248,308,307,257,194,237,232,341,340,403,236,263,224,225,378,267
"123",260,154,215,307,315,239,211,233,232,324,339,408,260,242,210,204,343,260
"124",242,154,202,298,284,224,186,260,261,324,309,396,233,213,176,201,322,273
"125",264,150,208,295,284,220,173,232,207,327,304,371,207,220,176,213,367,263
"126",236,143,239,307,324,235,199,234,251,317,350,390,256,253,186,196,338,279
"127",233,147,212,304,293,230,187,224,238,330,346,402,263,244,201,213,332,275
"128",271,160,220,302,308,226,198,231,232,313,304,381,246,244,176,204,328,274
"129",216,150,233,311,286,248,222,252,269,329,338,379,235,230,214,252,376,342
"130",254,163,259,313,314,239,210,243,243,355,346,409,258,254,225,217,338,286
"131",204,144,227,294,288,238,206,227,274,335,341,363,214,233,208,238,368,265
"132",297,156,215,313,303,241,202,251,271,333,356,400,267,231,222,214,342,1936
"133",247,144,228,303,290,230,181,234,231,317,348,398,282,237,209,221,327,277
"134",259,154,233,293,275,234,163,244,229,328,314,375,209,199,184,230,365,293
"135",235,141,215,317,273,229,179,258,248,330,330,394,222,233,222,232,359,268
"136",251,152,223,301,298,237,200,232,253,329,340,391,253,245,192,194,329,279
"137",237,150,245,309,285,241,205,259,253,348,350,375,247,238,219,240,369,277
"138",225,153,225,308,301,229,194,245,244,342,342,390,243,246,209,245,360,257
"139",213,152,244,304,291,226,198,218,243,355,344,386,224,222,211,226,353,271
"140",231,145,230,303,300,234,191,238,251,339,344,383,276,230,205,189,329,270
"141",263,160,230,303,330,231,212,235,246,350,334,399,275,245,201,200,328,288
"142",246,166,205,296,300,223,168,241,243,314,314,388,272,239,172,176,318,278
"143",249,165,252,313,307,244,217,242,254,341,339,395,239,247,216,218,379,278
"144",237,160,236,300,277,227,204,226,230,330,319,399,255,226,179,187,325,293
"145",233,157,236,296,283,216,177,252,233,314,316,363,229,231,173,224,356,281
"146",269,155,230,286,290,221,191,233,250,303,309,383,258,222,180,175,322,277
"147",254,149,252,313,292,247,198,252,239,345,354,380,253,263,219,230,378,280
"148",246,148,223,293,304,235,206,234,253,328,345,393,258,244,216,217,332,268
"149",256,161,217,287,283,225,167,244,222,319,313,388,261,238,180,202,331,284
"150",267,163,213,311,286,221,161,257,243,313,307,381,247,228,180,203,336,262
"151",229,163,243,315,287,237,193,252,261,335,346,398,219,250,241,214,368,281
"152",237,151,251,300,278,239,201,247,249,338,340,391,237,229,215,215,359,271
"153",233,150,243,311,296,228,205,258,238,327,332,391,234,225,215,225,368,264
"154",263,152,245,306,301,241,189,221,256,327,350,396,267,240,197,221,330,293
"155",223,151,246,316,290,250,205,243,249,335,354,408,257,260,212,204,368,261
"156",236,157,240,309,321,233,202,238,246,332,353,415,293,242,221,210,338,261
"157",261,154,213,301,290,226,180,236,230,312,321,396,265,243,192,194,317,287
"158",249,170,228,303,316,244,202,243,247,352,355,395,232,261,208,207,369,280
"159",258,151,217,301,308,228,202,227,213,324,340,400,264,224,190,216,336,256
"160",209,151,258,308,292,226,175,248,257,335,338,384,228,240,199,227,358,264
"161",221,150,252,316,314,238,185,256,248,363,354,383,251,259,208,224,372,278
"162",234,150,230,307,303,238,220,234,229,341,338,381,293,241,196,219,327,272
"163",279,149,232,315,316,239,181,242,282,335,347,400,289,232,200,205,347,291
"164",253,146,230,305,323,228,205,228,242,336,346,378,235,239,220,223,371,265
"165",258,149,221,297,299,240,196,224,242,333,336,408,261,238,200,239,324,257
"166",245,157,234,299,278,231,177,231,244,329,309,387,213,247,170,205,352,246
"167",241,151,219,296,291,222,197,251,245,308,312,388,211,225,180,199,351,274
"168",243,157,239,320,315,252,214,222,259,342,346,400,236,260,234,206,367,260
"169",264,167,258,313,308,244,210,238,240,319,351,421,264,247,202,204,335,291
"170",255,163,212,301,284,223,212,215,228,318,316,368,264,226,172,191,328,262
"171",235,148,245,309,279,220,199,240,229,331,340,388,258,249,188,200,332,271
"172",253,142,248,298,293,223,193,250,241,314,328,382,224,232,221,223,365,264
"173",227,158,237,321,320,247,222,235,261,348,356,393,254,249,224,227,370,261
"174",220,140,214,296,297,241,177,233,261,339,336,397,245,222,208,218,370,260
"175",250,154,240,311,310,240,190,231,240,346,339,414,213,243,221,225,374,262
"176",245,169,235,316,296,245,239,247,256,335,343,396,254,251,232,188,358,283
"177",243,158,258,311,280,244,205,253,251,323,341,400,281,227,197,227,340,274
"178",228,154,212,298,292,216,187,223,239,319,325,375,215,243,190,209,356,275
"179",242,157,225,315,290,230,183,223,234,328,338,389,260,235,207,218,337,266
"180",243,161,240,309,304,241,199,239,249,337,355,409,262,227,216,225,347,271
"181",217,153,239,307,302,237,181,234,255,343,340,381,228,252,222,230,369,287
"182",241,161,211,298,296,237,199,229,232,336,337,388,275,241,174,205,336,257
"183",273,160,218,306,297,222,192,231,258,301,341,407,288,246,188,199,329,290
"184",237,155,240,304,279,235,207,234,259,342,344,393,224,245,207,212,373,265
"185",268,144,236,310,310,238,206,244,261,321,342,414,274,243,212,195,337,255
"186",241,166,239,300,284,225,215,234,248,318,316,378,229,228,199,214,352,286
"187",237,155,229,293,266,220,178,237,239,324,318,377,213,238,180,214,364,292
"188",245,142,214,313,310,251,193,233,224,318,351,382,234,232,205,221,361,272
"189",235,153,220,308,303,243,183,249,220,326,338,375,249,225,194,204,334,270
"190",219,146,221,304,283,243,201,262,263,336,346,381,220,224,205,243,346,286
"191",225,158,224,304,288,219,193,227,241,314,347,406,278,229,206,203,335,284
"192",220,153,243,311,321,235,196,248,248,359,358,399,223,259,206,222,364,278
"193",263,169,220,297,294,216,176,243,228,331,333,393,248,230,174,210,326,281
"194",256,153,256,302,275,225,189,215,244,345,313,380,220,240,177,209,346,256
"195",243,138,223,308,315,249,186,241,247,337,344,408,273,236,221,196,344,279
"196",244,162,217,291,297,226,193,247,226,319,307,397,240,242,162,204,328,272
"197",217,154,220,317,288,237,219,248,245,325,348,387,280,236,215,204,337,260
"198",286,174,217,298,292,222,196,243,232,314,322,397,234,225,175,203,324,284
"199",219,152,243,291,298,223,192,231,242,321,311,375,216,227,181,201,357,245
"200",249,148,230,302,296,233,199,219,240,334,342,405,266,248,211,208,339,264
"201",228,161,213,300,305,239,200,229,237,320,349,397,248,237,229,199,341,265
"202",254,167,232,308,306,237,214,243,233,324,336,420,287,234,201,213,337,266
"203",267,153,234,312,302,247,198,243,251,322,353,418,276,235,220,210,345,294
"204",273,155,249,309,295,243,221,241,268,315,346,415,280,246,221,205,347,277
"205",251,164,234,298,300,224,184,244,222,332,312,389,258,231,183,211,333,260
"206",273,154,239,321,305,248,175,216,241,348,359,414,265,260,208,208,347,293
"207",225,164,238,298,314,234,192,228,249,344,350,380,224,237,208,225,358,269
"208",236,175,230,312,311,243,178,237,262,340,346,393,274,230,225,196,348,290
"209",251,144,226,307,274,226,188,232,237,337,340,390,244,232,214,242,374,272
"210",245,165,242,301,292,238,197,268,250,344,359,384,247,248,223,228,362,281
"211",242,152,243,312,286,246,196,246,253,339,340,408,251,278,231,243,384,270
"212",225,167,236,287,291,239,181,230,240,343,311,390,217,227,177,216,346,278
"213",256,159,212,297,303,225,184,217,222,317,313,368,250,236,164,195,333,297
"214",252,159,223,296,265,219,186,254,232,302,332,380,255,216,183,209,311,279
"215",232,166,262,312,296,244,196,259,247,345,347,389,252,267,215,204,376,264
"216",235,150,233,299,276,231,219,256,260,322,308,381,225,246,192,207,357,279
"217",239,154,238,298,274,218,188,222,261,315,319,379,209,233,178,212,354,276
"218",228,161,245,297,297,224,193,241,255,314,312,382,221,243,185,215,359,293
"219",260,164,207,293,266,226,226,243,238,316,311,392,270,230,174,196,336,284
"220",241,146,242,311,313,238,185,225,252,324,334,389,226,219,220,238,377,274
"221",243,155,227,298,298,244,204,232,255,325,334,384,271,241,215,200,328,280
"222",272,164,188,297,270,237,164,242,226,326,309,400,243,212,180,200,321,278
"223",219,144,220,295,285,227,203,232,254,313,297,367,221,239,187,201,363,264
"224",233,164,227,308,302,241,231,225,259,344,343,404,278,244,230,216,336,296
"225",263,165,238,294,297,223,221,249,214,303,320,358,266,231,190,194,330,280
"226",245,161,233,304,275,225,168,249,277,331,310,365,230,235,195,211,346,265
"227",283,165,239,308,297,242,199,256,282,352,350,390,225,242,221,229,378,258
"228",255,141,217,307,292,237,211,239,236,323,337,398,264,252,231,215,335,278
