"","Chennai Super Kings","Delhi Capitals","Kings XI Punjab","Mumbai Indians","Rajasthan Royals","Royal Challengers Bangalore","Sunrisers Hyderabad"
"1",188,198,215,137,195,165,101
"2",106,118,167,129,160,149,100
"3",177,200,236,150,178,163,109
"4",137,153,194,122,166,104,100
"5",153,162,185,125,192,183,103
"6",158,161,187,139,184,174,115
"7",103,107,160,123,158,141,102
"8",160,162,190,132,188,178,126
"9",166,192,182,135,192,255,110
"10",132,142,192,127,160,104,103
"11",135,141,193,129,172,115,101
"12",154,202,179,145,206,247,106
"13",167,198,176,137,206,249,120
"14",163,194,189,139,197,247,116
"15",155,158,181,120,174,190,117
"16",187,193,219,128,180,150,111
"17",177,192,231,159,190,161,106
"18",91,112,165,123,170,143,109
"19",121,141,203,123,153,126,98
"20",158,170,202,147,193,195,132
"21",104,118,169,123,167,142,106
"22",98,119,160,126,164,144,109
"23",188,189,227,160,195,159,119
"24",163,191,168,105,193,241,105
"25",157,200,171,124,178,246,106
"26",147,172,188,147,193,189,115
"27",125,139,188,131,165,129,105
"28",163,183,170,102,185,233,112
"29",181,196,234,155,190,157,115
"30",147,159,198,140,190,187,117
"31",159,182,169,115,179,247,100
"32",153,160,193,128,180,195,104
"33",154,176,178,124,193,234,112
"34",190,184,219,123,183,157,100
"35",148,157,165,130,191,188,118
"36",180,181,208,135,192,157,111
"37",160,178,179,125,200,229,104
"38",162,197,190,138,197,247,123
"39",179,181,203,125,174,151,94
"40",102,145,152,112,168,191,104
"41",168,185,175,130,198,239,116
"42",165,196,176,120,176,237,109
"43",182,188,220,138,182,171,108
"44",98,113,171,129,168,143,107
"45",127,142,192,125,148,113,110
"46",187,184,219,125,176,168,107
"47",154,186,172,106,194,239,112
"48",193,188,211,136,198,155,113
"49",153,155,184,128,174,190,124
"50",104,137,149,113,195,194,94
"51",190,192,235,144,190,157,106
"52",163,194,166,121,200,242,106
"53",162,199,175,131,207,241,111
"54",126,151,197,124,166,103,98
"55",163,181,181,110,190,231,112
"56",153,165,188,146,180,189,104
"57",181,183,197,138,187,161,106
"58",155,161,186,147,190,192,125
"59",128,139,196,120,152,125,104
"60",175,187,215,134,169,171,101
"61",113,145,151,112,177,192,102
"62",166,176,167,119,178,243,106
"63",151,183,180,120,213,238,112
"64",165,165,191,119,195,191,123
"65",107,146,148,100,174,189,106
"66",165,171,190,136,197,194,133
"67",186,189,214,132,186,164,110
"68",155,152,182,114,191,183,119
"69",176,194,236,156,185,166,110
"70",179,187,222,126,187,170,114
"71",163,162,199,145,192,190,128
"72",153,157,183,137,189,192,114
"73",185,193,217,140,177,160,109
"74",159,192,184,131,195,254,120
"75",103,142,169,108,165,196,95
"76",163,191,173,117,196,247,106
"77",164,197,175,126,192,265,116
"78",182,188,227,135,191,161,108
"79",169,186,166,118,193,251,112
"80",161,158,190,131,194,178,110
"81",154,189,167,113,205,237,117
"82",175,193,192,131,193,242,116
"83",184,195,208,131,187,155,106
"84",160,176,201,143,195,186,119
"85",148,161,195,124,198,191,124
"86",146,164,184,122,179,180,116
"87",128,153,200,121,148,105,100
"88",180,189,230,174,192,178,112
"89",173,192,214,128,191,159,105
"90",168,187,186,134,186,241,109
"91",94,118,161,112,175,141,108
"92",132,140,194,123,158,109,105
"93",165,163,185,124,193,191,105
"94",179,182,203,128,179,161,112
"95",182,193,217,130,179,175,114
"96",147,162,194,152,196,196,113
"97",137,131,185,134,164,110,100
"98",159,157,187,123,179,198,115
"99",182,194,236,148,192,173,110
"100",186,203,220,138,189,167,125
"101",188,192,214,147,191,176,101
"102",173,192,177,133,181,245,117
"103",157,159,188,136,194,198,108
"104",107,114,155,116,169,142,102
"105",152,166,222,149,186,179,122
"106",150,169,197,146,190,207,120
"107",161,203,184,129,212,247,112
"108",167,172,190,146,198,198,121
"109",110,142,161,113,171,188,105
"110",156,159,189,123,187,192,120
"111",153,173,201,154,213,194,123
"112",146,177,198,144,197,197,117
"113",162,193,184,128,196,249,121
"114",129,140,179,133,160,105,106
"115",188,192,231,143,199,174,108
"116",114,139,211,122,161,111,94
"117",182,201,218,149,181,165,122
"118",154,163,196,148,183,192,120
"119",108,142,129,104,191,194,104
"120",116,149,152,101,164,200,103
"121",159,163,184,135,194,191,107
"122",163,189,182,117,189,245,99
"123",163,182,172,113,201,242,104
"124",98,145,151,103,162,190,110
"125",94,139,140,100,171,199,97
"126",117,146,151,108,180,204,104
"127",132,135,194,118,158,117,107
"128",149,161,162,133,188,203,115
"129",130,152,182,125,162,114,106
"130",177,189,211,127,182,161,110
"131",158,199,180,126,196,253,119
"132",133,150,190,134,163,119,90
"133",153,191,175,111,191,242,94
"134",179,179,220,127,185,171,105
"135",98,121,162,125,150,137,105
"136",153,170,213,145,201,191,116
"137",173,188,199,135,211,247,113
"138",136,142,190,115,168,118,98
"139",103,140,145,110,175,190,96
"140",153,167,206,141,209,195,121
"141",188,199,224,145,198,158,115
"142",90,109,174,122,159,147,112
"143",187,190,225,160,172,161,107
"144",156,162,195,125,181,184,127
