"","Chennai Super Kings","Delhi Capitals","Kolkata Knight Riders","Mumbai Indians","Rajasthan Royals","Royal Challengers Bangalore","Sunrisers Hyderabad"
"1",190,185,199,223,188,244,208
"2",224,256,241,229,195,234,186
"3",188,186,187,182,170,183,150
"4",199,203,180,242,228,206,214
"5",197,142,180,222,194,190,196
"6",200,200,178,234,220,203,196
"7",182,190,174,214,213,190,206
"8",223,203,219,242,186,222,206
"9",165,181,151,205,198,157,166
"10",221,202,203,218,189,234,196
"11",192,240,202,236,232,214,188
"12",199,239,190,217,185,237,186
"13",210,216,236,225,191,224,210
"14",214,265,223,225,219,256,204
"15",162,235,179,207,220,199,185
"16",172,126,131,205,187,159,180
"17",199,188,191,244,222,224,229
"18",159,195,147,230,186,198,186
"19",181,183,185,209,167,214,173
"20",204,201,224,240,190,220,216
"21",193,193,174,233,206,200,224
"22",180,154,164,186,164,205,180
"23",184,182,191,214,177,195,199
"24",163,167,155,215,192,192,190
"25",197,203,194,208,201,208,168
"26",189,143,179,191,148,185,183
"27",206,232,212,216,179,225,166
"28",215,196,173,236,216,214,232
"29",164,141,180,187,165,178,165
"30",218,216,196,231,214,252,199
"31",204,261,233,231,190,251,183
"32",172,132,161,195,176,189,162
"33",209,204,197,232,202,237,200
"34",192,248,198,221,188,231,166
"35",203,190,178,238,228,197,187
"36",192,140,184,199,182,197,195
"37",181,148,164,187,173,193,176
"38",167,177,147,192,184,161,175
"39",167,221,166,202,203,208,182
"40",206,208,198,225,193,245,205
"41",154,234,197,199,183,205,182
"42",194,208,184,245,215,218,186
"43",213,218,230,232,185,245,197
"44",198,163,169,206,169,198,184
"45",208,198,187,181,193,208,176
"46",217,193,209,227,191,231,216
"47",169,193,172,220,206,207,215
"48",199,243,223,213,194,230,181
"49",179,244,210,208,190,239,181
"50",197,164,171,209,188,199,196
"51",202,164,199,204,194,195,206
"52",190,243,176,230,221,201,190
"53",167,188,192,185,179,196,167
"54",212,212,215,232,177,224,181
"55",212,197,199,225,211,213,215
"56",206,261,197,221,212,253,187
"57",177,137,133,199,184,151,196
"58",212,163,170,196,184,199,198
"59",151,180,138,197,176,158,159
"60",169,231,169,227,177,202,171
"61",226,267,219,225,230,237,196
"62",170,129,161,194,160,186,166
"63",193,238,227,221,199,248,182
"64",198,196,194,212,207,244,211
"65",173,169,150,186,189,158,167
"66",168,137,142,193,195,151,194
"67",218,151,191,225,189,196,196
"68",182,184,166,237,230,193,220
"69",190,201,219,202,172,227,204
"70",167,173,190,213,164,222,186
"71",203,235,198,226,224,208,188
"72",234,230,226,247,222,261,222
"73",230,218,222,230,183,233,208
"74",217,268,241,231,223,263,211
"75",180,197,193,187,177,206,163
"76",200,232,194,232,212,214,197
"77",186,180,184,213,171,206,178
"78",195,195,176,231,226,202,188
"79",208,214,181,212,177,239,172
"80",193,184,173,230,204,194,207
"81",192,266,192,229,215,227,195
"82",208,180,203,228,198,231,185
"83",184,144,157,188,168,198,189
"84",196,194,182,205,198,206,179
"85",221,159,168,213,205,194,181
"86",185,140,155,207,184,160,193
"87",155,133,124,195,185,150,196
"88",182,234,182,219,202,205,194
"89",205,190,237,239,198,237,186
"90",199,194,201,215,181,231,201
"91",194,201,192,204,200,205,173
"92",207,202,204,206,204,200,194
"93",201,203,185,208,190,198,182
"94",224,228,225,224,176,233,195
"95",188,164,176,217,186,190,206
"96",215,154,171,200,188,191,186
"97",190,153,167,201,168,176,186
"98",185,200,180,206,176,199,214
"99",204,198,185,198,187,207,179
"100",199,242,203,193,165,231,178
"101",194,190,180,230,188,186,185
"102",185,245,209,227,193,250,187
"103",206,221,234,237,189,216,213
"104",195,178,181,222,195,213,205
"105",164,168,132,193,188,166,160
"106",181,196,146,221,186,212,196
"107",192,186,182,234,191,199,195
"108",207,154,186,213,205,202,190
"109",185,171,187,199,170,217,185
"110",206,249,177,227,205,212,195
"111",187,194,166,211,200,190,189
"112",206,201,184,223,215,210,212
"113",196,185,183,227,190,245,191
"114",201,217,195,242,200,237,202
"115",235,275,237,252,229,255,213
"116",202,193,188,241,215,213,215
"117",183,175,193,189,162,212,169
"118",209,264,224,236,236,261,200
"119",179,135,159,183,165,199,179
"120",175,133,170,199,178,174,175
"121",178,196,157,217,187,186,212
"122",170,124,152,186,167,176,187
"123",184,138,193,191,175,171,176
"124",179,149,173,199,171,201,170
"125",165,190,141,194,193,149,181
"126",188,245,211,195,205,229,172
"127",179,157,146,189,179,205,187
"128",182,194,187,233,213,207,204
"129",166,230,173,205,201,202,190
"130",196,187,186,206,174,213,169
"131",221,209,219,228,183,222,221
"132",212,196,221,220,190,207,199
"133",206,248,196,235,193,244,185
"134",168,168,159,196,209,164,153
"135",187,146,134,199,181,167,203
"136",182,189,166,223,189,206,187
"137",202,245,198,217,216,207,166
"138",211,226,186,231,213,212,183
"139",223,213,225,228,184,231,180
"140",194,154,179,206,177,207,171
"141",218,219,223,231,194,255,213
"142",196,162,171,193,188,197,208
"143",153,121,137,202,191,159,173
"144",177,150,159,178,163,193,188
"145",200,220,192,214,197,239,212
"146",226,209,225,243,179,222,212
"147",216,210,210,216,191,244,228
"148",190,156,160,176,163,192,169
"149",216,214,228,226,218,244,212
"150",197,132,168,189,162,188,177
"151",173,176,150,196,187,156,166
"152",180,198,188,200,197,208,184
"153",224,223,209,235,218,247,213
"154",160,114,138,204,178,155,189
"155",162,169,149,199,192,193,185
"156",192,231,163,211,213,192,195
"157",174,188,191,191,184,198,164
"158",236,228,227,239,210,257,226
"159",170,191,169,218,179,204,188
"160",197,210,186,235,221,213,219
"161",218,206,229,247,216,236,225
"162",206,205,189,185,191,212,161
"163",226,223,221,241,179,239,191
"164",199,144,184,209,195,197,186
"165",200,216,195,238,198,224,205
"166",193,246,204,217,199,243,183
"167",195,149,172,190,166,194,181
"168",188,193,198,221,189,236,193
"169",207,215,219,232,194,226,189
"170",215,212,179,226,223,205,204
"171",174,169,150,205,199,190,190
"172",208,189,196,227,190,226,185
"173",207,208,200,225,204,239,193
"174",174,249,177,220,213,228,187
"175",206,155,192,179,159,193,178
"176",189,210,206,220,174,240,185
"177",176,172,148,183,191,154,161
"178",165,239,157,191,193,202,174
"179",165,170,141,206,194,183,185
"180",179,188,166,185,183,190,159
"181",160,234,168,198,197,204,183
"182",188,242,200,205,171,225,156
"183",207,210,192,220,190,220,180
"184",170,168,176,215,183,183,188
"185",186,165,166,224,203,195,194
"186",161,228,177,207,195,199,171
"187",179,181,178,215,166,219,174
"188",202,193,196,221,187,236,189
"189",208,217,203,230,202,235,210
"190",186,197,167,210,200,195,200
"191",189,195,178,195,203,196,178
"192",203,262,205,214,206,244,184
"193",179,196,193,203,163,211,169
"194",189,198,186,223,203,226,185
"195",189,174,197,210,175,208,182
"196",184,183,192,195,169,197,169
"197",179,242,197,211,205,236,184
"198",212,217,220,225,184,239,212
"199",213,258,248,222,183,241,197
"200",176,237,197,203,172,229,161
"201",194,198,188,190,188,197,171
"202",200,248,200,226,199,257,182
"203",179,246,185,222,219,208,182
"204",219,232,215,230,198,245,234
"205",176,237,171,217,192,210,184
"206",166,127,156,188,171,184,178
"207",175,195,159,206,187,207,199
"208",197,191,184,213,180,230,195
"209",191,192,196,209,183,231,206
"210",183,255,227,207,177,233,164
"211",176,189,170,193,182,190,163
"212",258,259,224,252,235,242,201
"213",197,213,210,220,189,252,214
"214",193,200,178,213,206,197,181
"215",157,238,167,207,202,208,183
"216",200,212,171,222,214,209,230
"217",194,194,193,218,188,242,205
"218",201,225,199,245,213,207,200
"219",205,150,179,213,208,195,182
"220",211,200,193,194,194,195,180
"221",191,236,181,221,224,209,190
"222",193,194,182,209,193,211,177
"223",179,175,186,204,166,233,182
"224",207,193,218,236,197,233,199
"225",198,249,223,213,204,245,181
"226",228,217,212,236,210,241,204
"227",213,237,199,223,219,207,186
"228",194,218,188,244,216,207,208
