"","Chennai Super Kings","Delhi Capitals","Kings XI Punjab","Kolkata Knight Riders","Rajasthan Royals","Royal Challengers Bangalore","Sunrisers Hyderabad"
"1",216,211,198,295,196,260,189
"2",216,215,187,277,210,246,196
"3",203,240,215,294,239,362,247
"4",236,230,210,305,209,301,242
"5",234,223,209,301,217,263,220
"6",244,216,213,320,225,301,221
"7",244,259,224,270,247,358,240
"8",227,209,188,276,205,255,187
"9",235,228,217,293,208,295,223
"10",215,238,208,269,226,331,258
"11",201,237,183,255,227,318,211
"12",197,213,193,272,216,243,198
"13",240,227,228,297,229,283,220
"14",226,228,229,303,214,274,227
"15",227,250,208,268,240,349,238
"16",216,244,208,276,226,344,248
"17",213,245,202,272,220,350,236
"18",244,221,221,305,218,262,224
"19",227,214,207,300,226,290,227
"20",218,255,214,271,237,352,249
"21",253,251,214,285,245,355,252
"22",219,233,205,279,256,365,234
"23",199,228,196,268,235,348,199
"24",220,239,190,277,252,345,234
"25",233,236,224,294,252,344,265
"26",202,242,190,243,220,331,223
"27",225,234,212,302,247,350,236
"28",213,241,189,245,228,329,201
"29",213,233,216,281,233,357,251
"30",229,227,213,311,217,272,218
"31",235,254,211,286,252,357,243
"32",244,231,224,314,234,267,241
"33",198,218,187,278,225,322,221
"34",220,213,200,278,206,262,189
"35",211,210,193,289,219,257,184
"36",218,220,194,279,211,253,186
"37",233,245,215,289,251,341,237
"38",234,218,212,308,217,297,230
"39",234,258,219,273,248,353,238
"40",226,255,210,269,226,355,240
"41",221,245,218,268,223,343,239
"42",210,213,190,291,214,251,187
"43",234,258,203,259,238,340,241
"44",228,225,220,300,230,355,232
"45",231,240,211,266,232,339,248
"46",238,212,189,284,208,256,208
"47",195,234,184,239,223,321,210
"48",220,245,199,308,238,357,213
"49",257,253,222,294,263,343,246
"50",258,219,214,311,224,286,236
"51",249,233,227,295,225,285,222
"52",253,230,209,304,229,272,226
"53",217,250,204,276,249,348,245
"54",227,257,214,302,251,345,259
"55",219,262,206,271,244,342,233
"56",241,212,223,293,216,275,240
"57",204,235,193,284,221,341,206
"58",200,232,182,251,223,314,206
"59",223,252,208,270,225,355,230
"60",240,237,219,299,250,353,241
"61",248,239,224,299,256,348,243
"62",224,233,206,314,252,356,240
"63",189,233,191,255,215,308,212
"64",243,256,210,253,232,356,242
"65",242,240,225,296,236,273,242
"66",213,245,185,262,215,319,210
"67",227,273,225,257,237,345,254
"68",238,254,213,265,255,350,241
"69",241,225,215,313,212,283,216
"70",247,258,223,280,263,338,243
"71",250,254,205,286,257,343,238
"72",207,227,188,272,242,322,223
"73",209,249,219,296,221,355,233
"74",250,224,221,300,216,286,226
"75",233,218,231,302,234,272,226
"76",245,241,224,295,252,358,241
"77",243,261,211,276,239,341,253
"78",218,217,198,267,198,269,197
"79",220,213,205,282,211,259,197
"80",233,252,209,269,242,351,238
"81",249,219,219,299,217,275,221
"82",213,237,188,259,216,314,207
"83",252,220,220,318,219,289,219
"84",191,233,183,244,213,325,205
"85",221,251,219,305,257,358,259
"86",242,262,233,296,256,350,246
"87",208,244,211,284,235,355,240
"88",207,228,185,261,237,320,208
"89",205,229,187,239,220,324,195
"90",244,236,223,286,243,355,230
"91",245,219,220,297,253,295,227
"92",238,209,180,272,203,253,196
"93",227,238,219,295,246,369,250
"94",229,252,217,278,239,371,250
"95",233,241,195,282,228,343,246
"96",250,235,216,305,229,285,227
"97",207,240,176,248,219,324,211
"98",224,216,195,287,200,246,191
"99",243,260,223,267,246,349,254
"100",199,236,176,249,226,327,214
"101",236,245,234,305,251,350,243
"102",238,247,202,279,235,363,224
"103",195,225,188,272,227,320,227
"104",222,241,205,270,227,372,242
"105",245,223,214,311,232,277,218
"106",234,227,203,290,241,346,234
"107",208,215,203,282,207,268,199
"108",202,222,186,272,226,329,215
"109",220,249,216,296,244,372,240
"110",234,236,213,262,239,361,236
"111",244,231,224,302,229,282,239
"112",232,255,214,283,248,348,238
"113",218,225,214,309,209,286,226
"114",255,225,217,290,223,282,240
"115",226,220,204,284,217,257,194
"116",230,223,227,294,210,291,220
"117",238,228,233,302,230,290,222
"118",239,234,210,302,237,278,234
"119",224,230,181,279,235,341,199
"120",231,244,208,269,250,365,262
"121",225,244,206,264,224,351,231
"122",248,237,219,294,256,355,250
"123",251,225,220,312,219,281,229
"124",243,234,227,302,217,280,228
"125",221,227,215,296,235,361,239
"126",255,210,229,301,223,277,239
"127",233,255,206,271,234,358,235
"128",223,250,216,257,236,349,240
"129",240,227,215,294,201,282,227
"130",231,257,209,270,241,363,248
"131",260,220,230,309,225,274,227
"132",246,239,204,302,231,335,222
"133",235,256,215,273,245,347,245
"134",216,236,215,278,232,364,247
"135",232,226,228,300,227,273,230
"136",242,246,209,287,240,332,251
"137",253,222,208,318,227,279,227
"138",211,226,186,282,210,252,202
"139",217,222,224,311,219,302,229
"140",251,256,205,268,236,360,246
