"","Chennai Super Kings","Delhi Capitals","Kings XI Punjab","Kolkata Knight Riders","Mumbai Indians","Royal Challengers Bangalore","Sunrisers Hyderabad"
"1",244,181,213,229,260,176,218
"2",254,171,237,252,260,182,189
"3",242,172,221,240,272,173,184
"4",219,199,212,279,585,184,187
"5",194,192,221,230,287,169,174
"6",223,226,205,233,259,182,190
"7",202,186,189,261,263,159,178
"8",223,184,239,231,256,181,182
"9",217,187,235,253,293,204,200
"10",233,179,213,256,264,184,179
"11",184,178,208,216,278,177,189
"12",226,365,228,242,265,172,182
"13",206,179,217,247,300,209,200
"14",200,178,207,212,247,170,186
"15",236,195,234,243,275,176,177
"16",191,186,233,254,289,200,182
"17",237,193,244,234,257,179,197
"18",221,176,199,268,257,164,187
"19",208,169,202,218,254,169,177
"20",224,182,218,230,301,184,198
"21",206,183,218,273,274,187,209
"22",199,173,189,235,259,186,154
"23",236,179,236,268,284,176,167
"24",198,181,219,263,278,186,179
"25",197,189,217,238,273,168,185
"26",222,180,210,221,268,187,189
"27",200,181,215,274,260,198,198
"28",202,198,219,244,282,189,192
"29",173,190,226,241,292,182,191
"30",224,186,219,235,280,187,196
"31",248,181,252,271,286,210,199
"32",204,175,217,253,266,176,169
"33",222,175,210,223,284,195,188
"34",193,190,214,255,282,167,174
"35",239,195,211,227,263,172,204
"36",234,178,231,229,260,192,180
"37",254,172,221,240,259,178,184
"38",202,179,215,232,268,169,183
"39",164,178,213,241,263,175,169
"40",195,198,210,256,279,202,193
"41",201,185,223,256,276,189,184
"42",214,192,221,270,280,198,189
"43",203,175,197,251,277,180,181
"44",197,184,232,242,279,184,186
"45",199,199,199,236,263,163,191
"46",210,188,202,244,278,178,184
"47",212,170,190,244,257,172,161
"48",210,191,212,211,257,171,180
"49",205,170,202,238,239,173,167
"50",229,188,243,246,289,198,231
"51",235,193,211,274,351,181,201
"52",189,187,202,230,269,175,188
"53",216,176,236,222,272,179,171
"54",194,190,224,244,277,174,183
"55",248,204,252,266,292,204,218
"56",237,173,214,247,249,181,165
"57",193,180,200,267,360,177,176
"58",255,174,223,282,271,211,209
"59",196,191,201,256,261,169,169
"60",181,182,200,260,262,175,176
"61",220,200,207,267,285,200,199
"62",223,193,241,283,274,197,183
"63",186,176,213,256,733,185,164
"64",241,191,244,283,298,186,226
"65",220,186,190,230,243,171,188
"66",200,169,193,241,256,181,157
"67",257,181,228,244,272,188,180
"68",250,190,262,247,301,202,201
"69",203,268,216,259,272,191,204
"70",207,185,200,235,254,174,163
"71",224,167,230,223,284,189,179
"72",214,177,204,274,268,170,176
"73",209,179,204,211,256,156,173
"74",226,196,229,254,275,183,193
"75",224,186,210,244,282,191,198
"76",247,179,211,246,251,180,184
"77",212,184,206,254,267,165,191
"78",230,170,231,268,283,188,198
"79",209,186,215,249,270,170,177
"80",189,182,233,260,280,180,191
"81",247,209,234,259,294,215,214
"82",236,180,221,245,261,190,178
"83",228,181,206,221,239,175,170
"84",198,184,186,253,278,167,177
"85",232,184,223,226,268,176,186
"86",194,187,184,257,288,165,187
"87",191,194,227,252,280,201,203
"88",232,182,230,231,262,181,183
"89",172,179,202,212,256,174,180
"90",202,174,206,252,283,164,190
"91",204,165,186,247,259,181,185
"92",212,170,203,235,264,171,169
"93",219,198,222,247,289,187,201
"94",192,185,210,239,284,176,166
"95",227,1043,235,276,291,190,203
"96",247,178,217,263,270,192,193
"97",250,196,238,284,291,203,197
"98",211,180,187,224,384,171,181
"99",198,198,230,238,275,189,192
"100",222,193,228,270,279,186,210
"101",221,176,225,234,266,191,213
"102",202,175,196,253,264,180,201
"103",215,178,223,220,247,180,161
"104",248,200,246,249,270,209,207
"105",203,182,223,281,272,187,191
"106",228,199,245,265,284,199,193
"107",201,168,208,213,260,179,182
"108",218,184,198,241,258,170,178
"109",260,198,236,272,278,207,217
"110",221,172,199,244,253,168,168
"111",206,196,217,240,310,197,214
"112",216,192,232,262,267,187,174
"113",251,189,230,269,291,212,208
"114",207,171,189,218,265,171,191
"115",236,179,216,264,273,171,188
"116",234,180,216,233,280,179,217
"117",247,166,196,245,253,186,199
"118",237,191,234,264,283,191,194
"119",251,168,210,247,240,177,188
"120",191,183,232,275,277,200,178
"121",167,188,213,241,270,170,178
"122",187,185,194,260,260,169,171
"123",211,179,215,262,290,192,211
"124",238,193,215,291,295,204,201
"125",207,182,204,225,266,162,167
"126",217,189,212,230,278,184,195
"127",190,177,235,242,274,178,184
"128",225,183,239,289,279,211,200
"129",265,199,227,264,284,204,216
"130",213,204,235,258,277,206,204
"131",180,187,217,246,291,184,206
"132",241,192,252,248,296,191,212
"133",247,192,254,257,305,205,209
"134",168,192,210,239,256,173,159
"135",173,176,186,240,272,168,169
"136",221,185,229,238,281,196,181
"137",247,187,219,260,271,185,197
"138",196,182,192,259,262,162,165
"139",194,205,204,246,276,191,181
"140",230,169,203,251,242,196,170
"141",202,175,209,248,279,166,181
"142",235,174,214,222,263,183,191
"143",215,173,197,244,251,171,169
"144",262,181,221,246,253,198,189
"145",198,180,204,222,245,163,167
"146",225,177,224,264,246,190,188
"147",234,177,242,222,258,188,187
"148",238,171,207,236,259,185,195
"149",211,191,219,242,267,174,190
"150",239,186,209,269,281,180,184
"151",229,193,235,273,272,178,190
"152",220,184,216,267,287,186,190
"153",209,193,235,253,289,190,192
"154",248,187,245,281,305,208,196
"155",229,196,225,283,282,188,198
"156",209,190,221,250,265,176,183
"157",236,176,216,263,364,192,208
"158",230,190,233,253,290,197,207
"159",188,172,213,234,268,164,170
"160",208,184,213,277,285,200,195
"161",262,201,258,275,274,219,203
"162",207,186,201,246,292,188,197
"163",253,191,233,284,290,197,200
"164",230,187,243,287,279,195,205
"165",221,171,238,254,265,171,170
"166",242,182,215,241,258,168,193
"167",199,183,234,246,283,170,174
"168",253,201,208,240,257,190,195
"169",263,197,248,273,294,204,205
"170",207,182,224,267,301,190,205
"171",214,187,218,238,286,183,212
"172",221,200,240,263,279,193,211
"173",196,190,207,264,294,195,192
"174",227,193,218,236,282,188,182
"175",221,191,238,264,274,195,210
"176",199,174,213,278,282,172,184
"177",225,184,234,239,273,183,186
"178",254,187,221,276,293,208,197
"179",225,192,201,258,262,181,179
"180",207,190,211,290,288,192,186
"181",225,195,206,247,288,190,191
"182",187,187,213,227,280,168,165
"183",213,187,204,262,267,181,178
"184",183,186,197,264,263,159,169
"185",225,179,204,225,264,182,200
"186",209,198,214,264,284,191,194
"187",213,183,254,259,293,209,195
"188",212,184,235,241,277,182,191
"189",244,205,217,264,273,178,195
"190",202,177,204,226,276,171,165
"191",192,206,234,262,293,189,208
"192",198,176,200,248,250,178,159
"193",242,183,227,277,286,201,208
"194",219,186,217,256,275,192,198
"195",203,177,197,252,249,155,169
"196",209,189,181,256,295,165,186
"197",203,183,240,248,297,188,198
"198",238,189,252,241,294,205,204
"199",189,184,212,248,293,203,194
"200",215,163,183,240,268,172,174
"201",226,177,209,236,268,186,164
"202",237,178,235,245,281,188,202
"203",202,188,225,261,292,188,199
"204",222,187,231,238,248,172,182
"205",237,188,226,285,298,199,213
"206",238,188,215,256,286,183,185
"207",201,173,230,265,268,176,172
"208",200,192,233,253,273,186,199
"209",205,182,232,250,296,182,193
"210",205,178,195,249,270,170,179
"211",250,197,222,258,256,181,179
"212",190,191,205,224,279,170,195
"213",240,173,200,250,256,167,167
"214",204,178,194,215,271,179,184
"215",211,158,211,215,264,174,172
"216",186,187,216,234,268,171,180
"217",211,178,202,273,267,182,185
"218",231,178,214,268,275,175,179
"219",222,184,212,250,279,202,204
"220",210,176,208,218,270,191,181
"221",234,186,223,289,282,206,195
"222",240,177,231,268,267,172,189
"223",215,185,194,262,267,169,178
"224",183,182,195,263,278,174,172
"225",218,180,225,218,264,173,174
"226",206,182,233,229,293,188,189
"227",222,178,231,255,259,174,171
"228",239,178,198,231,248,170,168
"229",194,167,186,238,261,173,172
"230",188,186,208,230,278,163,179
"231",227,160,226,239,239,181,165
"232",211,477,220,270,278,198,179
"233",226,180,234,232,257,183,187
"234",237,191,248,250,290,214,199
"235",208,170,205,213,259,173,194
"236",209,191,236,240,277,169,171
"237",203,180,194,204,267,170,191
"238",226,188,220,279,283,187,193
"239",195,178,212,218,264,172,169
"240",178,202,232,253,264,183,192
"241",237,184,220,275,280,187,174
"242",178,178,217,238,270,181,186
"243",190,181,199,270,256,169,166
"244",228,189,195,235,244,177,175
"245",243,186,247,264,285,204,215
"246",252,191,233,287,278,208,209
"247",192,173,194,218,258,165,177
"248",188,194,218,239,277,172,169
"249",183,189,216,240,291,191,190
"250",175,176,208,215,245,166,162
"251",215,166,210,243,268,175,173
"252",217,179,204,258,261,171,175
"253",233,178,235,207,263,185,200
"254",223,176,230,220,245,181,180
"255",233,188,227,277,293,211,203
"256",221,195,222,266,293,198,217
"257",226,189,213,246,276,182,193
"258",213,172,210,237,257,165,184
"259",208,198,206,236,287,188,211
"260",261,173,211,244,237,167,187
