"","Chennai Super Kings","Delhi Capitals","Kings XI Punjab","Kolkata Knight Riders","Mumbai Indians","Rajasthan Royals","Royal Challengers Bangalore"
"1",264,166,188,331,172,237,388
"2",300,171,200,372,185,257,375
"3",306,151,193,347,173,240,359
"4",264,141,187,370,173,230,378
"5",271,152,211,327,186,236,355
"6",283,150,202,327,173,235,361
"7",299,159,190,327,212,258,382
"8",278,146,200,349,168,238,375
"9",299,151,195,347,187,254,370
"10",311,152,198,345,189,232,412
"11",299,170,220,358,218,237,378
"12",291,160,197,350,173,231,375
"13",275,135,184,356,185,230,361
"14",264,138,186,335,173,219,360
"15",315,158,210,366,185,242,385
"16",313,161,191,360,169,238,384
"17",280,171,204,334,173,238,376
"18",282,149,199,361,178,226,386
"19",315,167,204,360,155,234,368
"20",322,166,221,350,221,254,370
"21",256,173,201,335,172,238,404
"22",299,147,206,361,171,227,387
"23",279,164,190,334,171,245,373
"24",305,136,199,347,201,236,359
"25",285,163,211,354,181,261,370
"26",288,138,202,343,201,246,374
"27",292,153,199,387,188,251,384
"28",293,158,194,360,194,245,376
"29",289,179,208,334,196,236,382
"30",289,144,173,354,168,215,365
"31",297,173,197,339,180,254,380
"32",294,160,190,351,162,262,363
"33",293,139,183,359,179,231,366
"34",300,157,207,355,190,246,387
"35",257,152,210,340,168,228,364
"36",286,165,216,360,427,233,365
"37",312,146,198,345,221,224,385
"38",276,172,218,362,166,249,379
"39",292,157,207,368,176,241,390
"40",580,143,207,368,196,238,378
"41",270,160,195,371,170,224,379
"42",281,167,191,352,183,251,374
"43",268,150,188,344,195,228,379
"44",271,158,206,336,186,246,362
"45",268,295,194,323,157,230,375
"46",284,149,202,338,178,227,343
"47",319,150,212,381,212,667,376
"48",291,154,195,334,182,219,355
"49",284,142,209,370,182,245,362
"50",273,164,189,339,169,209,369
"51",287,161,208,355,155,232,380
"52",264,151,202,322,162,231,376
"53",329,152,196,346,172,244,392
"54",308,154,195,331,172,234,385
"55",277,152,198,341,174,247,371
"56",286,139,185,359,161,216,373
"57",286,147,204,341,419,247,379
"58",282,155,201,331,167,250,369
"59",437,146,215,342,196,220,370
"60",282,164,189,363,173,235,367
"61",295,159,193,329,192,222,358
"62",283,173,211,344,196,244,467
"63",287,154,193,351,201,239,385
"64",277,154,199,331,180,225,384
"65",281,173,203,349,185,255,386
"66",300,152,204,321,174,239,352
"67",291,167,211,334,194,240,374
"68",259,157,202,341,193,2037,359
"69",302,150,194,356,183,216,370
"70",266,157,205,347,171,236,380
"71",318,172,211,354,184,236,601
"72",286,638,245,336,188,240,386
"73",328,162,205,343,185,238,368
"74",280,168,221,342,184,273,386
"75",301,168,198,338,182,241,386
