,teams,V1b,V2wk,V3b,V4ars,V5ars,V6ars,V7ars,V8ar,V9ar,V10bo,V11bo,V12bo,V13bo,V14ar,V15s,V16s
v Afghanistan,v Afghanistan,NA,68,41,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA
v Australia,v Australia,126,178,102,36,95,139,82,42,15,12,15,19,1,NA,22,0
v Bangladesh,v Bangladesh,91,168,140,66,41,44,51,8,0,NA,23,NA,NA,12,10,NA
v Bermuda,v Bermuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Canada,v Canada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v England,v England,67,138,150,11,50,71,47,24,1,20,19,6,NA,62,4,NA
v Hong Kong,v Hong Kong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v India,v India,133,135,116,32,22,56,73,34,NA,35,31,6,NA,42,9,0
v Ireland,v Ireland,109,82,159,NA,NA,46,99,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Kenya,v Kenya,NA,NA,78,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Netherlands,v Netherlands,62,NA,113,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA
v New Zealand,v New Zealand,82,80,124,38,67,49,58,29,50,8,NA,NA,NA,28,4,NA
v Pakistan,v Pakistan,63,112,122,7,93,75,64,69,NA,16,26,1,NA,28,5,NA
v Scotland,v Scotland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v South Africa,v South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Sri Lanka,v Sri Lanka,185,128,154,67,50,117,97,38,31,23,12,6,8,26,1,NA
v U.A.E.,v U.A.E.,NA,26,12,NA,NA,49,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
v West Indies,v West Indies,73,71,153,5,NA,130,79,NA,NA,6,9,NA,NA,40,29,NA
v Zimbabwe,v Zimbabwe,121,84,122,42,NA,138,129,28,NA,60,NA,4,NA,NA,23,NA
v Afghanistan1,v Afghanistan,NA,68,41,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA
v Australia1,v Australia,54,31.77,33.28,30.25,95,59.41,36.68,35,10.66,6,36,19,1,NA,10.25,0
v Bangladesh1,v Bangladesh,63,59,62.12,55.5,41,30.33,40.16,6.5,0,NA,23.5,NA,NA,11,10,NA
v Bermuda1,v Bermuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Canada1,v Canada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v England1,v England,25.46,65.27,51.36,11,46.5,207,19.5,14,1,16.75,10.5,6,NA,35,5,NA
v Hong Kong1,v Hong Kong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v India1,v India,58,60.3,37.52,21.16,22,20.75,27.72,25,NA,8.9,20,10,NA,17.71,4.57,0
v Ireland1,v Ireland,47,41.5,88.5,NA,NA,60,151,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Kenya1,v Kenya,NA,NA,42.5,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Netherlands1,v Netherlands,62,NA,66.5,NA,NA,NA,190,NA,NA,NA,NA,NA,NA,NA,NA,NA
v New Zealand1,v New Zealand,42.28,34,39.15,38,67,22.5,25.85,59,23.66,2.8,NA,NA,NA,19,4,NA
v Pakistan1,v Pakistan,37.28,35.84,45.52,7,90,25.43,34.92,126,NA,7,9.66,1,NA,15,2.5,NA
v Scotland1,v Scotland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v South Africa1,v South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Sri Lanka1,v Sri Lanka,53,48.65,57.15,29.75,56,47.7,30.75,27.66,31,12,15,7,8,29,1,NA
v U.A.E.1,v U.A.E.,NA,26,12,NA,NA,49,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
v West Indies1,v West Indies,40.66,28,76.35,5,NA,67,53.33,NA,NA,9,10,NA,NA,18.66,14.5,NA
v Zimbabwe1,v Zimbabwe,48.57,45,69,34.66,NA,96.66,76.11,14,NA,37,NA,4,NA,NA,24,NA
