,1,2,3,4,5,6,7,8,9,10,11,12,Aggregate standing
Afghanistan,0,0,0,0.07,0.38,2.15,7.5,12.64,7.4,37.46,25.2,7.2,10
Australia,3.22,10.67,21.64,30.17,18.47,10.76,3.36,0.91,0.78,0.02,0,0,4
Bangladesh,0,0,0.03,0.24,0.68,2.8,14.36,34.88,34.24,11.98,0.77,0.02,9
England,0,0.02,0.01,0.15,0.71,2.89,14.45,34.94,33.96,12.18,0.69,0,8
India,46.09,31.39,16.61,4.98,0.82,0.11,0,0,0,0,0,0,1
Ireland,0,0,0,0,0,0,0.02,0.38,0.77,11.05,28.47,59.31,12
New Zealand,0.43,2.71,10.78,26.7,35.26,18.86,4.27,0.63,0.35,0.01,0,0,5
Pakistan,13.32,21.5,28.54,17.03,10.17,6.08,2.1,0.7,0.51,0.05,0,0,3
South Africa,36.91,33.38,19.43,7.2,2.55,0.49,0.04,0,0,0,0,0,2
Sri Lanka,0,0.04,1.52,9.95,23.77,38.59,16.62,4,4.48,0.93,0.1,0,6
West Indies,0.03,0.29,1.44,3.51,7.19,17.27,37.16,10.23,16.36,5.58,0.92,0.02,7
Zimbabwe,0,0,0,0,0,0,0.12,0.69,1.15,20.74,43.85,33.45,11
