,teams,V1ar,V2ars,V3s,V4ar,V5b,V6bo,V7bo,V8ars,V9wk,V10b,V11s,V12wk,V13bo,V14ar,V15bo,V16b,V17ar,V18ar,V19ars
v Afghanistan,v Afghanistan,45,10,0,14,NA,NA,2,39,109,58,26,67,0,NA,NA,NA,32,19,94
v Australia,v Australia,51,92,NA,21,86,1,1,21,68,1,19,40,9,43,0,NA,109,NA,NA
v Bangladesh,v Bangladesh,62,104,7,11,124,8,0,125,146,70,19,25,10,13,6,69,89,11,51
v Bermuda,v Bermuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Canada,v Canada,NA,110,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v England,v England,77,162,NA,50,61,0,1,104,72,176,43,63,0,49,0,38,42,52,NA
v Hong Kong,v Hong Kong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v India,v India,57,140,10,16,86,17,NA,139,123,65,40,89,34,92,6,31,119,21,38
v Ireland,v Ireland,54,36,0,11,28,7,NA,36,170,102,10,52,1,27,NA,148,94,43,46
v Kenya,v Kenya,NA,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Netherlands,v Netherlands,NA,80,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA
v New Zealand,v New Zealand,42,135,NA,101,14,15,12,54,23,76,27,1,14,59,0,NA,56,32,NA
v Pakistan,v Pakistan,68,124,NA,15,67,NA,2,7,71,47,44,34,24,42,NA,NA,30,14,NA
v Scotland,v Scotland,12,85,NA,24,NA,NA,NA,4,0,66,5,NA,0,NA,NA,NA,NA,NA,NA
v South Africa,v South Africa,56,152,NA,33,102,2,2,NA,NA,NA,NA,NA,2,64,NA,NA,67,40,NA
v Sri Lanka,v Sri Lanka,45,109,51,19,79,7,3,29,115,148,5,118,9,41,1,60,49,54,41
v U.A.E.,v U.A.E.,12,123,NA,NA,NA,NA,NA,127,35,31,0,NA,NA,7,NA,NA,NA,50,NA
v West Indies,v West Indies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Zimbabwe,v Zimbabwe,22,215,NA,9,100,NA,NA,13,101,64,8,NA,2,4,NA,NA,41,43,NA
v Afghanistan1,v Afghanistan,18.6,6,0,16,NA,NA,2,21.5,91,28.5,48,51.33,0,NA,NA,NA,17.5,10.5,38.5
v Australia1,v Australia,14.71,26.54,NA,15.25,19.64,1,1,21,68,1,19,40,19,27,0,NA,36.64,NA,NA
v Bangladesh1,v Bangladesh,23.14,33.05,6.5,11,28.75,8,0,39.57,94.75,28,12,25,5.6,5.16,6,65,29.4,7,23.8
v Bermuda1,v Bermuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Canada1,v Canada,NA,68.5,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v England1,v England,25.33,51,NA,17.42,25.28,0,0.33,60,27.25,38.5,25.66,31.5,0,25.66,0,38,18.66,45.66,NA
v Hong Kong1,v Hong Kong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v India1,v India,27.5,32.53,6.25,5.66,38.18,13.5,NA,45.45,53.3,33.25,12,58.6,24.57,33.1,2,20,28,17,19.83
v Ireland1,v Ireland,30.33,22.66,0,11,13.75,7,NA,16.66,41.83,72.33,10,56,1,30,NA,77,67,43,33.5
v Kenya1,v Kenya,NA,76.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Netherlands1,v Netherlands,NA,131,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA
v New Zealand1,v New Zealand,17.83,39.46,NA,101,14,8.66,12,28.33,6.5,28.66,7.75,1,14,78,0,NA,14.12,32,NA
v Pakistan1,v Pakistan,28,28.4,NA,14.5,25.33,NA,3,7,30.25,24.5,88,34,10.4,45,NA,NA,13.25,12.33,NA
v Scotland1,v Scotland,12,85,NA,24,NA,NA,NA,4,0,66,5,NA,0,NA,NA,NA,NA,NA,NA
v South Africa1,v South Africa,29.66,30.78,NA,11.4,41.57,2,2,NA,NA,NA,NA,NA,2,24.6,NA,NA,32.1,15,NA
v Sri Lanka1,v Sri Lanka,18.87,29.38,35,14.16,31.72,7,3,29,52.5,87.5,7,52.5,17,41,1,21.25,9.42,15.8,20.33
v U.A.E.1,v U.A.E.,12,123,NA,NA,NA,NA,NA,127,35,31,0,NA,NA,7,NA,NA,NA,50,NA
v West Indies1,v West Indies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Zimbabwe1,v Zimbabwe,32,61.96,NA,9,93,NA,NA,13,63.66,30.33,8,NA,2,4,NA,NA,21.33,44,NA
