"","v Afghanistan","v Australia","v Bangladesh","v Bermuda","v Canada","v England","v Hong Kong","v India","v Ireland","v Kenya","v Netherlands","v New Zealand","v Pakistan","v Scotland","v South Africa","v Sri Lanka","v U.A.E.","v West Indies"
"1",227,162,245,318,283,244,202,247,244,333,351,405,221,239,221,217,368,283
"2",253,149,230,309,296,217,192,236,245,317,346,401,249,246,216,196,331,269
"3",263,162,252,303,308,240,196,250,259,325,358,403,277,228,204,198,347,277
"4",237,162,220,288,293,210,199,221,214,315,311,381,231,244,173,226,361,258
"5",265,158,232,311,300,243,217,233,246,315,334,404,279,250,189,200,338,269
"6",243,149,226,314,308,242,182,233,258,340,329,368,265,254,209,225,334,272
"7",233,160,209,294,303,226,202,224,242,333,312,384,263,230,190,227,329,288
"8",232,156,230,311,295,238,185,250,259,342,351,378,239,237,211,207,364,280
"9",236,160,259,314,295,251,201,253,262,344,354,401,242,243,220,219,364,261
"10",269,159,227,302,289,233,154,236,225,328,332,385,205,245,172,219,347,267
"11",250,155,231,305,285,234,205,237,261,311,335,390,264,237,199,211,327,278
"12",244,146,230,308,269,232,184,229,250,347,357,368,220,221,221,221,373,273
"13",257,150,234,315,294,253,182,244,251,338,359,404,247,235,241,231,372,298
"14",251,165,213,301,267,230,182,248,225,322,317,387,252,226,177,191,343,297
"15",249,160,233,306,298,239,216,225,244,330,350,406,292,234,192,216,338,247
"16",243,151,243,315,301,246,204,239,263,351,351,389,297,243,194,221,339,259
"17",236,151,252,306,306,230,217,225,218,334,344,405,273,246,220,234,347,268
"18",267,159,212,285,275,215,194,228,240,325,302,387,280,235,178,162,334,264
"19",268,158,232,289,300,226,198,241,225,330,298,379,267,229,187,195,334,269
"20",242,132,231,308,296,234,202,261,242,328,337,376,223,245,217,226,362,270
"21",275,154,221,316,292,232,212,223,239,325,338,403,272,231,202,202,340,295
"22",267,146,210,303,305,230,193,219,240,324,334,392,272,222,209,209,344,268
"23",260,151,230,297,284,234,212,228,243,312,338,382,274,249,210,196,338,263
"24",260,163,252,301,293,252,196,249,254,362,353,391,250,253,241,232,362,280
"25",261,153,220,309,298,231,196,231,266,339,346,388,258,235,213,205,335,280
"26",252,155,254,316,292,237,183,238,244,336,337,384,275,251,212,207,336,294
"27",230,155,215,306,311,237,208,248,244,321,342,387,241,269,219,221,364,262
"28",259,162,232,317,293,247,186,235,240,336,347,417,277,241,214,211,348,298
"29",276,150,255,308,310,235,227,251,244,338,348,380,277,253,208,219,341,267
"30",243,155,210,310,268,211,191,229,259,335,310,352,206,219,196,203,346,285
"31",260,159,219,308,271,222,183,231,217,310,326,381,272,237,170,191,315,278
"32",255,165,227,312,319,235,200,240,260,338,360,377,215,249,220,215,385,263
"33",222,156,242,299,287,228,222,251,274,342,331,365,237,251,210,223,363,269
